"지표선택별",2013. 01,2013. 02,2013. 03,2013. 04,2013. 05,2013. 06,2013. 07,2013. 08,2013. 09,2013. 10,2013. 11,2013. 12,2014. 01,2014. 02,2014. 03,2014. 04,2014. 05,2014. 06,2014. 07,2014. 08,2014. 09,2014. 10,2014. 11,2014. 12,2015. 01,2015. 02,2015. 03,2015. 04,2015. 05,2015. 06,2015. 07,2015. 08,2015. 09,2015. 10,2015. 11,2015. 12,2016. 01,2016. 02,2016. 03,2016. 04,2016. 05,2016. 06,2016. 07,2016. 08,2016. 09,2016. 10,2016. 11,2016. 12,2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12,2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12,2019. 01,2019. 02,2019. 03,2019. 04,2019. 05,2019. 06,2019. 07,2019. 08,2019. 09,2019. 10,2019. 11,2019. 12,2020. 01
"경제심리지수(원계열)",92.5,94.6,97.0,96.5,95.8,94.8,94.0,93.7,94.5,96.2,96.4,96.3,99.1,101.5,99.8,101.3,99.6,95.7,93.6,96.0,99.0,93.9,95.6,94.6,96.4,101.5,99.7,102.2,100.5,89.1,93.3,94.9,94.5,95.1,94.9,91.4,91.4,90.0,91.8,95.0,92.9,92.6,94.0,96.2,95.7,94.2,93.7,92.0,94.2,96.2,98.8,98.4,99.5,98.6,97.7,98.9,97.5,101.0,101.0,100.7,98.1,99.8,96.3,98.3,100.7,99.0,93.7,94.9,97.8,93.2,92.2,92.4,89.8,95.6,94.7,95.8,92.1,92.8,89.6,88.8,91.7,91.1,91.9,92.9,95.7
"경제심리지수(순환변동치)",92.3,92.6,93.0,93.5,94.0,94.6,95.2,95.8,96.5,97.1,97.6,98.0,98.2,98.2,98.0,97.7,97.4,97.2,97.1,97.0,97.1,97.2,97.2,97.4,97.4,97.4,97.2,96.9,96.4,95.9,95.5,95.0,94.6,94.0,93.4,92.7,92.0,91.6,91.5,91.8,92.3,93.0,93.7,94.3,94.7,95.0,95.2,95.5,95.8,96.2,96.6,97.2,97.8,98.3,98.9,99.3,99.6,99.8,99.8,99.6,99.2,98.7,98.1,97.6,97.2,96.8,96.3,95.8,95.2,94.7,94.1,93.6,93.1,92.7,92.4,92.1,91.9,91.7,91.7,91.8,92.1,92.5,93.0,93.7,94.3
