,BJD_CODE,KAPT_NAME,KAPT_CODE,BJD_NAME
,4139010100,은계어반리더스아파트,A10025100,경기도 시흥시 대야동
9,4817013100,포레나신진주아파트,A10025102,경상남도 진주시 가좌동
,4115011200,쌍용더플래티넘고산엔에이치에프,A10025103,경기도 의정부시 고산동
2,1174010300,고덕센트럴 아이파크,A10025104,서울특별시 강동구 상일동
,4215011400,강릉아이파크,A10025105,강원도 강릉시 송정동
,4518012700,정읍 첨단Lh행복주택아파트,A10025106,전라북도 정읍시 신정동
,4213033023,반도유보라아이비파크1단지아파트,A10025107,강원도 원주시 지정면 가곡리
,4127110300,e-편한세상 상록아파트,A10025108,경기도 안산상록구 사동
5,2617010100,지원더뷰오션2차,A10025109,부산광역시 동구 초량동
1,4717011000,신원아침도시 에듀포레,A10025110,경상북도 안동시 용상동
,2914011900,화정동 도나우프리 아파트,A10025111,광주광역시 서구 화정동
0,1174010300,고덕롯데캐슬베네루체,A10025112,서울특별시 강동구 상일동
,4115010100,한원힐트리움 더테라스,A10025113,경기도 의정부시 의정부동
4,1153011200,항동중흥S클래스베르데카운티,A10025115,서울특별시 구로구 항동
15,1154510200,이편한세상독산더타워아파트,A10025116,서울특별시 금천구 독산동
,4213033023,롯데캐슬골드파크1차아파트,A10025117,강원도 원주시 지정면 가곡리
0,4812110200,중동유니시티4단지,A10025118,경상남도 창원의창구 중동
,4213033023,롯데캐슬골드파크2차아파트,A10025119,강원도 원주시 지정면 가곡리
16,1156013300,지밸리소홈,A10025122,서울특별시 영등포구 대림동
,4511114100,효천리버클래스,A10025123,전라북도 전주완산구 효자동2가
,4418010500,보령 명천시티프라디움,A10025124,충청남도 보령시 명천동
1,4812710400,메트로시티석전,A10025125,경상남도 창원마산회원구 석전동
15,2729011500,상인역모아엘가파크뷰,A10025126,대구광역시 달서구 상인동
,4215037022,강릉영진코아루비치테라스,A10025128,강원도 강릉시 연곡면 영진리
,2917010100,중흥동 동우아스트로아파트,A10025129,광주광역시 북구 중흥동
2,1141012000,DMC에코자이,A10025130,서울특별시 서대문구 남가좌동
4,2623010400,범일역이즈아파트,A10025131,부산광역시 부산진구 범천동
3,4827010800,밀양강푸르지오,A10025132,경상남도 밀양시 가곡동
26,1135010500,상계역센트럴푸르지오아파트,A10025133,서울특별시 노원구 상계동
,4311112400,동남칸타빌더테라스2단지,A10025134,충청북도 청주상당구 용암동
16,2647010200,시청역 비스타동원아파트,A10025135,부산광역시 연제구 연산동
,4161025027,광주역우방아이유쉘아파트,A10025136,경기도 광주시 오포읍 양벌리
7,1126010600,신내글로리움아파트,A10025137,서울특별시 중랑구 신내동
,2920010900,우산동 동부센트레빌,A10025138,광주광역시 광산구 우산동
,4311112400,칸타빌더테라스1차,A10025139,충청북도 청주상당구 용암동
,4217010100,동해 ES아뜨리움아파트,A10025141,강원도 동해시 천곡동
,4136011100,별내우미린스타포레아파트,A10025142,경기도 남양주시 별내동
,4611015800,에메랄드 퀸 주상복합아파트,A10025143,전라남도 목포시 상동
0,4717011300,강변늘푸른타운,A10025145,경상북도 안동시 운흥동
0,5011025926,제주 더오름카운티원,A10025146,제주특별자치도 제주시 조천읍 대흘리
1,4824010400,삼천포예미지아파트,A10025149,경상남도 사천시 동금동
,4128113200,고양향동LH1단지,A10025150,경기도 고양덕양구 향동동
,4122033029,고덕국제신도시 제일풍경채아파트,A10025151,경기도 평택시 고덕면 여염리
0,4833010400,양산 지안스로가아파트,A10025152,경상남도 양산시 북부동
,4119010800,중동해링턴플레이스,A10025153,경기도 부천시 중동
0,2644011000,명지화전지구우방아이유쉘아파트,A10025154,부산광역시 강서구 화전동
,4148025622,파주법원LH1단지,A10025155,경기도 파주시 법원읍 법원리
,4311311400,지웰시티 푸르지오 아파트,A10025156,충청북도 청주흥덕구 복대동
2,4719035025,구미확장단지골드디움아파트,A10025158,경상북도 구미시 산동면 신당리
22,1126010100,한양수자인사가정파크아파트,A10025159,서울특별시 중랑구 면목동
6,4833012000,양산두산위브1차 아파트,A10025160,경상남도 양산시 덕계동
,4511312100,송천광신프로그레스아파트,A10025161,전라북도 전주덕진구 송천동1가
,4128110900,지축역 북한산 유보라아파트,A10025162,경기도 고양덕양구 지축동
2,4831031025,서희스타힐스오션시티아파트,A10025163,경상남도 거제시 일운면 소동리
,4477025322,서천코아루천년가아파트,A10025164,충청남도 서천군 서천읍 사곡리
,4122011200,송탄역 서희스타힐스아파트,A10025165,경기도 평택시 신장동
1,1141011800,북한산 두산 위브,A10025166,서울특별시 서대문구 홍은동
1,4825032021,김해주촌두산위브더제니스,A10025167,경상남도 김해시 주촌면 선지리
,2920011600,첨단대라수3차 주상복합,A10025168,광주광역시 광산구 쌍암동
,4161025025,오포추자서희스타힐스아파트,A10025169,경기도 광주시 오포읍 추자리
,4128110900,지축역센트럴푸르지오,A10025170,경기도 고양덕양구 지축동
14,2632010500,윤창BH타운,A10025171,부산광역시 북구 구포동
5,4817013100,스카이시티프라디움,A10025172,경상남도 진주시 가좌동
,3114010300,대공원호반베르디움,A10025173,울산광역시 남구 두왕동
7,1174010700,힐스테이트암사,A10025174,서울특별시 강동구 암사동
,4519012100,남명더라우아파트,A10025176,전라북도 남원시 노암동
,4150034022,이천마장 행복주택 3단지,A10025177,경기도 이천시 마장면 양촌리
,4146311100,힉스유타워 아파트,A10025178,경기도 용인기흥구 영덕동
,4139010100,시흥 은계 LH 2단지 아파트,A10025179,경기도 시흥시 대야동
1,4729010500,남천리버뷰우방아이유쉘,A10025180,경상북도 경산시 상방동
8,2635010600,해운대 LCT 더샵아파트,A10025181,부산광역시 해운대구 중동
,4418010500,보령명천예미지2차아파트,A10025182,충청남도 보령시 명천동
,4159013600,동탄2 풍림아이원아파트,A10025183,경기도 화성시 장지동
,4122012700,평택 소사벌 효성해링턴코트,A10025184,경기도 평택시 죽백동
1,1171010300,잠실올림픽공원아이파크,A10025185,서울특별시 송파구 풍납동
4,4711325046,포항초곡호반베르디움아파트,A10025186,경상북도 포항북구 흥해읍 초곡리
,4143010900,인덕원푸르지오 엘센트로아파트,A10025188,경기도 의왕시 포일동
,4311311700,이랜드타운힐스 싱글스위트 청주,A10025189,충청북도 청주흥덕구 강서동
,3020011400,도안LH 행복2단지,A10025190,대전광역시 유성구 원신흥동
,4682025036,해남파크사이드2차아파트,A10025191,전라남도 해남군 해남읍 구교리
0,1117013100,나인원 한남,A10025192,서울특별시 용산구 한남동
3,1153011200,항동 한양수자인 에듀힐스,A10025193,서울특별시 구로구 항동
3,2726010200,만촌삼정그린코아에듀파크,A10025194,대구광역시 수성구 만촌동
,4137010200,오산시티자이2차아파트,A10025195,경기도 오산시 부산동
,4122010500,동문굿모닝힐맘시티1단지,A10025196,경기도 평택시 칠원동
0,2771026530,국가산단 서한이다음,A10025197,대구광역시 달성군 현풍읍 대리
,4122011700,평택BT온유안앨리츠,A10025198,경기도 평택시 합정동
,2915511100,효천1지구 중흥에스클래스 리버티 ,A10025199,광주광역시 남구 임암동
,4141010100,동도센트리움,A10025200,경기도 군포시 당동
6,4728011000,문경점촌코아루아파트,A10025202,경상북도 문경시 모전동
18,1168010300,디에이치 아너힐즈,A10025203,서울특별시 강남구 개포동
,4211012300,e편한세상 춘천 한숲시티아파트,A10025205,강원도 춘천시 퇴계동
,4511312300,세움 펠리피아 2차 아파트,A10025206,전라북도 전주덕진구 반월동
17,2635010300,센텀트루엘아파트 2단지,A10025207,부산광역시 해운대구 반여동
18,2635010300,센텀트루엘아파트1단지,A10025208,부산광역시 해운대구 반여동
,2920011600,첨단 대라수2차 주상복합,A10025209,광주광역시 광산구 쌍암동
0,5011012200,노형 해모로 루엔 아파트,A10025210,제주특별자치도 제주시 노형동
,3120012600,울산송정 금강펜테리움그린테라스2차,A10025211,울산광역시 북구 송정동
28,2635010500,해운대비스타동원,A10025214,부산광역시 해운대구 우동
,4413310800,불당 오딧세이,A10025215,충청남도 천안서북구 불당동
4,4825013200,율하시티프라디움아파트,A10025216,경상남도 김해시 장유동
,4159026221,남양뉴타운 LH10단지 ,A10025217,경기도 화성시 남양읍 남양리
0,5013010500,동호아트리움,A10025218,제주특별자치도 서귀포시 동홍동
3,4833012000,동양산우성스마트시티뷰,A10025219,경상남도 양산시 덕계동
,4213011700,중흥S클래스,A10025220,강원도 원주시 반곡동
,3017010800,괴정나이스팰리스,A10025221,대전광역시 서구 괴정동
32,2820011000,인천논현푸르지오아파트,A10025222,인천광역시 남동구 논현동
0,1114013300,충무로엘크루메트로시티2,A10025223,서울특별시 중구 충무로5가
7,2826010800,루원더퍼스트아파트,A10025224,인천광역시 서구 가정동
15,2817710500,주안지웰에스테이트,A10025225,인천광역시 미추홀구 주안동
11,4833011900,양산 KCC 스위첸 아파트 ,A10025226,경상남도 양산시 평산동
0,1123010600,동대문더퍼스트데시앙아파트,A10025227,서울특별시 동대문구 장안동
,4146510100,풍덕천동 한샘 더랜드마크,A10025228,경기도 용인수지구 풍덕천동
,4313010700,호암두진하트리움아파트,A10025229,충청북도 충주시 호암동
,3611010100,수루배마을4단지,A10025230,세종특별자치시  반곡동
6,2635010500,마린시티자이,A10025231,부산광역시 해운대구 우동
,3020011300,유성숲오투그란데3차,A10025232,대전광역시 유성구 덕명동
,4115010200,르네상스시티,A10025233,경기도 의정부시 호원동
3,4688025024,장성해광샹그릴라아파트,A10025234,전라남도 장성군 장성읍 영천리
0,2632010300,금정산LH뉴웰시티아파트,A10025235,부산광역시 북구 만덕동
,3120012500,송정지웰푸르지오,A10025236,울산광역시 북구 화봉동
2,4833011800,양산서희스타힐스아파트,A10025237,경상남도 양산시 주진동
,3611010300,호려울마을7단지,A10025238,세종특별자치시  보람동
,4278025021,철원석미모닝파크2차아파트,A10025239,강원도 철원군 철원읍 화지리
,4313010700,충주호암더휴NHF7단지,A10025240,충청북도 충주시 호암동
2,1130510100,꿈의숲 해링턴 플레이스 아파트,A10025241,서울특별시 강북구 미아동
10,2720010200,앞산태왕아너스 ,A10025242,대구광역시 남구 봉덕동
,4511313100,전주만성에코르1단지,A10025243,전라북도 전주덕진구 만성동
,4141010900,금강펜테리움 센트럴파크3차아파트,A10025244,경기도 군포시 도마교동
3,1129013800,래미안퍼스트하이,A10025245,서울특별시 성북구 장위동
7,2811014500,영종하늘도시KCC스위첸,A10025246,인천광역시 중구 중산동
,4682025021,해남코아루더베스트아파트,A10025247,전라남도 해남군 해남읍 해리
8,4831011300,해뜰안애아파트,A10025248,경상남도 거제시 양정동
,4128510200,일산2차 아이파크,A10025251,경기도 고양일산동구 중산동
,4375025022,진천양우내안애해오르미아파트,A10025252,충청북도 진천군 진천읍 신정리
,4146310100,이안 두드림기흥역,A10025253,경기도 용인기흥구 신갈동
,2920010900,광주 우산LH1단지,A10025254,광주광역시 광산구 우산동
,4413111100,청당 코오롱 하늘채아파트 ,A10025255,충청남도 천안동남구 청당동
3,2811014500,영종국제도시 화성파크드림,A10025256,인천광역시 중구 중산동
6,4729012600,경산사동팰리스부영1단지,A10025257,경상북도 경산시 사동
25,2647010100,아시아드코오롱하늘채,A10025258,부산광역시 연제구 거제동
4,1129013800,석계역 한일노벨리아시티,A10025259,서울특별시 성북구 장위동
,4122010500,동문굿모닝힐맘시티4단지,A10025260,경기도 평택시 칠원동
,4511111900,대양아리스타,A10025261,전라북도 전주완산구 태평동
,4311313800,서청주파크자이,A10025262,충청북도 청주흥덕구 비하동
0,1174010200,고덕 그라시움 아파트,A10025263,서울특별시 강동구 고덕동
,4159014000,송산그린시티 금강펜테리움센트럴파크,A10025264,경기도 화성시 새솔동
,4167012000,여주kcc스위첸,A10025265,경기도 여주시 천송동
,4122011900,지제더샵센트럴파크,A10025266,경기도 평택시 동삭동
5,4827010200,쌍용 더 플래티넘 밀양아파트,A10025267,경상남도 밀양시 내이동
,4128110400,삼송3차아이파크아파트,A10025268,경기도 고양덕양구 원흥동
,4313010700,충주호암힐데스아파트,A10025269,충청북도 충주시 호암동
,4159025321,e편한세상 신봉담,A10025270,경기도 화성시 봉담읍 상리
,4111514100,인계리치안 도시형생활주택,A10025271,경기도 수원팔달구 인계동
,4159014000,송산화성대방노블랜드리버스위트아파트,A10025272,경기도 화성시 새솔동
,4122033029,평택고덕신동아파밀리에,A10025274,경기도 평택시 고덕면 여염리
,4128510400,힐스테이트 킨텍스 레이크뷰,A10025275,경기도 고양일산동구 장항동
,4159013100,동탄2중흥s클래스더테라스,A10025276,경기도 화성시 영천동
,4221010600,속초교동블루핀아파트,A10025277,강원도 속초시 교동
,4615031022,중흥S-클래스에듀힐스아파트,A10025278,전라남도 순천시 해룡면 신대리
11,1168010400,청담아이파크아파트,A10025280,서울특별시 강남구 청담동
,4150034021,이천 마장 호반베르디움2차,A10025281,경기도 이천시 마장면 오천리
,3114010800,힐스테이트수암 2단지,A10025282,울산광역시 남구 야음동
1,1129013900,래미안아트리치 ,A10025283,서울특별시 성북구 석관동
16,2726010100,범어센트럴푸르지오 아파트,A10025285,대구광역시 수성구 범어동
8,4825010700,삼계서희스타힐스아파트,A10025286,경상남도 김해시 삼계동
,3014011200,드림스테이,A10025287,대전광역시 중구 용두동
,4115011000,e편한세상 녹양역아파트,A10025288,경기도 의정부시 가능동
0,4831011300,거제2차 아이파크,A10025289,경상남도 거제시 양정동
,4213011000,메리플 밸리 사랑으로 부영,A10025290,강원도 원주시 단계동
0,2771026222,대구옥포 르상트레빌 ,A10025291,대구광역시 달성군 옥포읍 교항리
,3611010900,가온마을9단지아파트,A10025292,세종특별자치시  다정동
,2917012600,힐스테이트본촌,A10025293,광주광역시 북구 본촌동
,2914010600,농성 SK뷰 센트럴 아파트,A10025295,광주광역시 서구 농성동
,4128110400,고양원흥마을lh12단지,A10025296,경기도 고양덕양구 원흥동
,3114010800,힐스테이트 수암 1단지,A10025297,울산광역시 남구 야음동
15,4833025323,양산코오롱하늘채아파트,A10025298,경상남도 양산시 물금읍 가촌리
,4146510700,상현더샵파크사이드,A10025299,경기도 용인수지구 상현동
,4128510400,킨텍스 원시티 아파트,A10025300,경기도 고양일산동구 장항동
,4139012900,네이처뷰아파트,A10025301,경기도 시흥시 장현동
8,1153011200,항동하버라인4단지아파트,A10025302,서울특별시 구로구 항동
,4215012500,강릉 입암코아루오투리움 아파트,A10025303,강원도 강릉시 입암동
2,4715010800,김천삼도뷰엔빌W아파트 2단지,A10025304,경상북도 김천시 신음동
,4159014000,송산그린시티대방노블랜드더센트럴,A10025305,경기도 화성시 새솔동
,4136011200,다산역 경기행복주택아파트,A10025306,경기도 남양주시 다산동
,2920011200,첨단금호어울림더테라스,A10025308,광주광역시 광산구 비아동
,4161011000,힐스테이트 태전2차 에듀포레 11블럭 아파트,A10025309,경기도 광주시 태전동
2,1138010700,백련산 sk뷰 아이파크,A10025310,서울특별시 은평구 응암동
,4122010500,평택지제역동문굿모닝힐맘시티2단지,A10025311,경기도 평택시 칠원동
,4159013600,동탄호수공원아이파크 아파트,A10025312,경기도 화성시 장지동
,3017011200,더프라임시티,A10025313,대전광역시 서구 둔산동
1,4715010800,김천삼도뷰엔빌W1단지,A10025314,경상북도 김천시 신음동
,4161011000,태전파크자이13BL아파트,A10025315,경기도 광주시 태전동
,4161011000,태전파크자이14BL 아파트,A10025317,경기도 광주시 태전동
,3611010700,SR파크센텀,A10025319,세종특별자치시  나성동
,4613010400,여수엑스포 골드클래스아파트,A10025320,전라남도 여수시 관문동
19,2626010800,온천삼정그린코아더베스트,A10025321,부산광역시 동래구 온천동
,4611015900,천년가맘스카운티,A10025322,전라남도 목포시 용해동
11,4825013000,힐스테이트김해아파트,A10025323,경상남도 김해시 관동동
,4159025925,화성발안 LH1단지,A10025324,경기도 화성시 향남읍 구문천리
,2917010100,광주역다사로움아파트,A10025325,광주광역시 북구 중흥동
3,4833010600,양산유탑유블레스하늘리에아파트,A10025326,경상남도 양산시 신기동
,3017010100,복수센트럴자이아파트,A10025327,대전광역시 서구 복수동
,4128110900,고양지축LH3단지 아파트 ,A10025328,경기도 고양덕양구 지축동
9,2729012300,대구대곡2 수목원풍경그린 아파트,A10025329,대구광역시 달서구 대곡동
,3611010100,수루배마을1단지아파트,A10025330,세종특별자치시  반곡동
,4136011200,다산자연&e편한세상 3차아파트 ,A10025331,경기도 남양주시 다산동
,4161011000,힐스테이트 태전2차 에듀포레 10블럭,A10025332,경기도 광주시 태전동
,4128113200,DMC해링턴플레이스NHF아파트,A10025333,경기도 고양덕양구 향동동
,4115010100,승윤노블리안시티2,A10025334,경기도 의정부시 의정부동
,4313010700,우미린에듀시티,A10025335,충청북도 충주시 호암동
,4117310400,평촌더샵아이파크아파트,A10025336,경기도 안양동안구 호계동
8,2720010200,봉덕화성파크드림 아파트,A10025337,대구광역시 남구 봉덕동
,4683025326,영암삼호대불산단 중흥S-클래스 리버티아파트,A10025338,전라남도 영암군 삼호읍 용앙리
,4145011500,하남감일스윗시티12단지,A10025339,경기도 하남시 감이동
,4211011200,코아루웰라움아파트,A10025340,강원도 춘천시 효자동
,4313038526,서충주신도시 코아루더테라스,A10025341,충청북도 충주시 중앙탑면 용전리
0,2626010100,e편한세상동래명장,A10025342,부산광역시 동래구 명장동
17,2644010400,명지삼정그린코아더베스트,A10025343,부산광역시 강서구 명지동
,4213011200,이안원주어반파크,A10025344,강원도 원주시 태장동
,3611010100,수루배마을6단지아파트,A10025346,세종특별자치시  반곡동
,4111313500,호매실금호 어울림 에듀포레,A10025347,경기도 수원권선구 호매실동
,4221010800,속초효성해링턴플레이스아파트,A10025348,강원도 속초시 조양동
0,2632010500,구포2차봄여름가을겨울,A10025349,부산광역시 북구 구포동
,4113111200,호반써밋판교밸리,A10025350,경기도 성남수정구 고등동
,4122011200,송탄역 대양아리스타2,A10025351,경기도 평택시 신장동
,4150034021,호반 베르디움 B3 더 퍼스트,A10025353,경기도 이천시 마장면 오천리
,4136010100,호평오네뜨센트럴아파트,A10025354,경기도 남양주시 호평동
,4211012000,춘천후평우미린뉴시티,A10025356,강원도 춘천시 후평동
,4311332025,리버파크자이 아파트,A10025357,충청북도 청주흥덕구 옥산면 가락리
0,2650010500,남천금호어울림더비치,A10025358,부산광역시 수영구 남천동
0,2617010100,e편한세상부산항,A10025359,부산광역시 동구 초량동
,4159013100,동탄파크퍼스트리움,A10025360,경기도 화성시 영천동
,4159012900,중흥S-클래스 더 테라스 리버파크1,A10025361,경기도 화성시 오산동
,4413310800,천안불당LH1단지,A10025362,충청남도 천안서북구 불당동
,4122033029,고덕신도시 자연앤자이아파트,A10025363,경기도 평택시 고덕면 여염리
,4141010900,LH송정마을,A10025364,경기도 군포시 도마교동
,4413325626,직산한양수자인아이림아파트,A10025365,충청남도 천안서북구 직산읍 삼은리
,4418010500,더퍼스트예미지아파트,A10025366,충청남도 보령시 명천동
1,4782025027,청도코아루블루핀아파트,A10025367,경상북도 청도군 화양읍 범곡리
8,4817012600,진주평거 우방아이유쉘 스카이팰리스,A10025368,경상남도 진주시 평거동
,4421036021,서산금호어울림에듀퍼스트아파트,A10025369,충청남도 서산시 성연면 일람리
16,2811014700,영종하늘도시유승한내들,A10025370,인천광역시 중구 운서동
3,1114016200,신당KCC스위첸아파트,A10025372,서울특별시 중구 신당동
,4137011100,서동탄역더샵파크시티,A10025374,경기도 오산시 외삼미동
38,1165010800,지웰홈스 서초,A10025375,서울특별시 서초구 서초동
,4146510300,동천 파크 자이 아파트 ,A10025376,경기도 용인수지구 동천동
,4139013200,배곧호반써밋플레이스c2아파트,A10025377,경기도 시흥시 정왕동
,4420025324,센텀시티한양수자인아파트,A10025378,충청남도 아산시 배방읍 공수리
,4150010900,이천증포 대원칸타빌아파트,A10025379,경기도 이천시 증포동
1,2617010200,협성휴포레부산진역오션뷰아파트,A10025380,부산광역시 동구 수정동
,4115010200,호원동 엘리시아,A10025382,경기도 의정부시 호원동
,3611010100,수루배마을2단지아파트,A10025383,세종특별자치시  반곡동
,4159014000,송산 세영리첼 에듀파크아파트,A10025384,경기도 화성시 새솔동
,2911012600,용산 리슈빌아파트,A10025385,광주광역시 동구 용산동
5,1153011200,항동하버라인 11단지 아파트,A10025386,서울특별시 구로구 항동
6,1153011200,항동하버라인2단지,A10025387,서울특별시 구로구 항동
,4413310200,프라지움11차 아파트,A10025388,충청남도 천안서북구 성정동
,4141010900,군포송정LH3단지,A10025389,경기도 군포시 도마교동
,4128113200,DMC하우스디NHF,A10025390,경기도 고양덕양구 향동동
,4113111200,고등마을아파트,A10025391,경기도 성남수정구 고등동
,4521011000,김제 하우스디 아파트,A10025392,전라북도 김제시 옥산동
,4136011200,다산자연앤e편한세상2차,A10025393,경기도 남양주시 다산동
,3120012500,울산송정LH1단지,A10025395,울산광역시 북구 화봉동
,4139011800,시흥장현 리슈빌더스테이아파트,A10025396,경기도 시흥시 능곡동
23,1126010600,신내우디안4단지 아파트,A10025397,서울특별시 중랑구 신내동
,3120010600,U-스타시티일동미라주더스타3단지,A10025398,울산광역시 북구 중산동
7,2818510600,송도 SK VIEW 아파트,A10025399,인천광역시 연수구 송도동
,3111010300,번영로 서한이다음(1단지),A10025400,울산광역시 중구 복산동
,4115010100,아이콘스타1차 로데오,A10025401,경기도 의정부시 의정부동
,4139011800,시흥장현 LH4단지,A10025402,경기도 시흥시 능곡동
0,1121510700,아스하임4차,A10025404,서울특별시 광진구 화양동
,4115010100,아이콘스타센트럴,A10025405,경기도 의정부시 의정부동
3,4812915000,진해남문리젠시빌란트,A10025406,경상남도 창원진해구 남문동
,4115010100,아이콘스타 리버뷰,A10025407,경기도 의정부시 의정부동
,4139013200,배곧호반써밋플레이스C1아파트,A10025408,경기도 시흥시 정왕동
,4127310700,초지역메이저타운푸르지오메트로단지,A10025409,경기도 안산단원구 초지동
2,1123010900,휘경동 sk뷰 아파트,A10025410,서울특별시 동대문구 휘경동
,4146510600,성복역 롯데캐슬 골드타운,A10025412,경기도 용인수지구 성복동
0,4827025321,수산사랑채뷰아파트,A10025413,경상남도 밀양시 하남읍 수산리
2,1174010100,래미안솔베뉴,A10025415,서울특별시 강동구 명일동
,4128113200,DMC호반베르디움 더포레3단지,A10025416,경기도 고양덕양구 향동동
,2911012600,광주 용산LH 1단지,A10025417,광주광역시 동구 용산동
1,1165010600,래미안 신반포 리오센트,A10025418,서울특별시 서초구 잠원동
7,2723013000,서희스타힐스테이,A10025419,대구광역시 북구 사수동
1,4729011000,경산 펜타힐즈푸르지오,A10025420,경상북도 경산시 중산동
,3111010800,우정코아루웰메이드,A10025421,울산광역시 중구 우정동
29,1162010100,이편한세상 서울대입구2단지,A10025422,서울특별시 관악구 봉천동
1,1162010100,e편한세상서울대입구1단지아파트,A10025423,서울특별시 관악구 봉천동
,4311311300,청주 가경 아이파크아파트,A10025425,충청북도 청주흥덕구 가경동
,4571025021,삼례동신,A10025426,전라북도 완주군 삼례읍 삼례리
,2914011900,화정엘리체퍼스티지,A10025427,광주광역시 서구 화정동
0,1162010100,e편한세상서울대입구 3단지,A10025428,서울특별시 관악구 봉천동
,4128113200,DMC호반베르디움 더포레2단지,A10025429,경기도 고양덕양구 향동동
,4122033000,고덕파라곤,A10025431,경기도 평택시 고덕면
,4159025325,봉담한신더휴에듀파크아파트,A10025432,경기도 화성시 봉담읍 와우리
7,2650010100,수영sk뷰 1단지,A10025433,부산광역시 수영구 망미동
8,2623010900,서면2차 봄여름가을겨울아파트,A10025434,부산광역시 부산진구 당감동
,4136011200,다산신안인스빌퍼스트리버,A10025435,경기도 남양주시 다산동
,4115010500,베르우스M,A10025436,경기도 의정부시 용현동
,4159025323,화성봉담2 LH4단지(행복주택),A10025437,경기도 화성시 봉담읍 수영리
,4511114100,효천 우미린 더 퍼스트아파트,A10025438,전라북도 전주완산구 효자동2가
,4122012300,평택효성해링턴플레이스1단지,A10025439,경기도 평택시 소사동
,4122012300,평택효성해링턴플레이스2단지,A10025440,경기도 평택시 소사동
,4128113200,DMC호반베르디움더포레4단지,A10025441,경기도 고양덕양구 향동동
52,2818510600,힐스테이트 레이크송도,A10025443,인천광역시 연수구 송도동
3,4812916400,부산신항 사랑으로 부영6단지,A10025444,경상남도 창원진해구 용원동
,3120012500,울산송정 금강펜테리움그린테라스1차 ,A10025445,울산광역시 북구 화봉동
14,2823710100,에코파인,A10025446,인천광역시 부평구 부평동
9,2626010800,두비앙에코힐아파트,A10025448,부산광역시 동래구 온천동
,4117310400,평촌대성유니드,A10025449,경기도 안양동안구 호계동
,3017011600,관저더샵2차아파트,A10025450,대전광역시 서구 관저동
,3611010800,새뜸마을13단지,A10025451,세종특별자치시  새롬동
1,4812110200,창원 중동 유니시티 2단지 ,A10025452,경상남도 창원의창구 중동
,2911012600,용산모아엘가에듀파크,A10025453,광주광역시 동구 용산동
2,4812110200,창원중동유니시티1단지,A10025454,경상남도 창원의창구 중동
7,2729011000,죽전역코오롱하늘채,A10025455,대구광역시 달서구 장기동
2,1114016200,신당 파인힐 하나유보라,A10025456,서울특별시 중구 신당동
,4127310800,초지역메이저타운-에코단지,A10025457,경기도 안산단원구 원곡동
,4127310700,초지역 메이저타운 푸르지오 파크단지,A10025458,경기도 안산단원구 초지동
0,4874025023,창녕 코아루더파크 아파트,A10025459,경상남도 창녕군 창녕읍 말흘리
2,1129013800,래미안장위포레카운티아파트,A10025461,서울특별시 성북구 장위동
,3171026223,덕하신일해피트리,A10025462,울산광역시 울주군 청량읍 상남리
8,2626010800,동래효성해링턴플레이스,A10025463,부산광역시 동래구 온천동
8,2626010400,온천천경동리인타워,A10025464,부산광역시 동래구 낙민동
,4146310500,용인보라해링턴플레이스아파트,A10025465,경기도 용인기흥구 보라동
,4613013400,여수웅천꿈에그린2단지,A10025466,전라남도 여수시 웅천동
,4145010900,미사강변 호반 써밋 아파트,A10025469,경기도 하남시 망월동
,2911012600,용산대성베르힐,A10025470,광주광역시 동구 용산동
,4420010700,신원더파크2차아파트,A10025471,충청남도 아산시 법곡동
,4159013600,화성동탄2 NHF 엘크루 아파트,A10025473,경기도 화성시 장지동
,4136011200,다산 금강펜테리움 리버테라스2차아파트,A10025474,경기도 남양주시 다산동
4,4817013700,진주혁신 중흥 s-클래스(12단지),A10025475,경상남도 진주시 충무공동
,4159026221,남양시티프라디움3차,A10025476,경기도 화성시 남양읍 남양리
,2911012500,내남지구 진아리채,A10025477,광주광역시 동구 내남동
,4137010300,오산 원동 한양수자인아파트,A10025478,경기도 오산시 원동
,4136025321,장현 행복주택2단지,A10025480,경기도 남양주시 진접읍 장현리
,4146510300,동천자이2차아파트,A10025481,경기도 용인수지구 동천동
,4111710200,광교 중흥S-클래스 아파트,A10025483,경기도 수원영통구 원천동
,2915511100,효천시티프라디움,A10025485,광주광역시 남구 임암동
,3611010100,수루배마을3단지,A10025486,세종특별자치시  반곡동
,3611010900,가온마을4단지,A10025487,세종특별자치시  다정동
,4155025021,서해그랑블아파트,A10025488,경기도 안성시 공도읍 양기리
,3611025034,세종서창행복주택아파트,A10025489,세종특별자치시  조치원읍 서창리
,4611016000,라송센트럴카운티3차아파트,A10025491,전라남도 목포시 석현동
2,4825012700,장유경동리인하이스트,A10025492,경상남도 김해시 신문동
,3020014500,대전봉산LH3단지아파트,A10025493,대전광역시 유성구 봉산동
5,4825013200,율하자이힐스테이트아파트,A10025494,경상남도 김해시 장유동
,4421010700,서산 센트럴코아루,A10025495,충청남도 서산시 석림동
,2914011800,상무한국아델리움아파트,A10025496,광주광역시 서구 쌍촌동
,3611010900,가온마을11단지(세종지웰푸르지오),A10025497,세종특별자치시  다정동
9,4719010300,도량롯데캐슬골드파크,A10025498,경상북도 구미시 도량동
1,2638010500,사하 리버팰리스 주상복합,A10025499,부산광역시 사하구 장림동
,4613013400,꿈에그린1단지아파트,A10025501,전라남도 여수시 웅천동
