,CODE_HEAT,SUBWAY_STATION,SUBWAY_LINE,DISPOSAL_TYPE,CODE_ECON,KAPTD_CCCNT,WELFARE_FACILITY,KAPT_BCOMPANY,KAPT_USEDATE,KAPTD_WTIMEBUS,KAPTD_WTIMESUB,CODE_HALL,CODE_SALE,EDUCATION_FACILITY,KAPT_CODE
0,개별난방,독립문,3호선,"도포식,독이식",단일계약,58,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",현대산업개발,2000-10-21,5분이내,5분이내,복도식,임대,초등학교(독립문초등학교) 중학교(대신중고교) 고등학교(대신고등학교),A11008001
0,개별난방,", ","3호선, 3호선",분무식,단일계약,70,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",현대산업개발,2015-08-28,5~10분이내,5~10분이내,계단식,분양,-,A10027708
0,개별난방,독립문,3호선,-,종합계약,248,"관리사무소, 노인정, 어린이놀이터",현대산업개발,2008-07-25,10~15분이내,5~10분이내,계단식,분양,"초등학교(독립문초, 매봉초) 중학교(대신중교) 고등학교(대신고교, 배화여고) 대학교(배화여대)",A11081302
0,개별난방,회현,4호선,분무식,종합계약,231,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간, 자전거보관소",SK건설,2010-01-11,5분이내,5분이내,계단식,분양,초등학교(리라초),A10088101
0,중앙난방,회현,4호선,"분무식,독이식",종합계약,234,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",(주)롯데건설,2011-11-18,5~10분이내,5분이내,복도식,분양,"초등학교(리라,  남산초교)",A10088102
0,개별난방,명동역,4호선,독이식,단일계약,146,"관리사무소, 어린이놀이터, 휴게시설, 커뮤니티공간",쌍용건설(주),2010-08-05,5분이내,5분이내,계단식,분양,초등학교(남산초) 중학교(덕수중) 고등학교(리라아트고) 대학교(숭의여자),A10072501
0,개별난방,-,"2호선, 3호선, 4호선, 5호선","도포식,분무식,독이식",종합계약,266,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소, 기타",GS건설(주),2009-12-21,5분이내,5분이내,복도식,분양,중학교() 대학교(),A10071301
0,개별난방,충무로,"3호선, 4호선",-,단일계약,64,관리사무소,알수 없음,1970-05-23,5~10분이내,5분이내,복도식,분양,중학교(덕수중학교),A10086301
0,개별난방,-,"2호선, 3호선, 4호선, 5호선",분무식,단일계약,43,관리사무소,대우조선해양건설,2016-06-10,5분이내,5~10분이내,복도식,분양,-,A10025223
0,개별난방,-,"3호선, 4호선, 5호선",-,단일계약,20,관리사무소,오래되서 모름,1968-05-30,5~10분이내,5~10분이내,복도식,분양,중학교(),A10028201
