월(Monthly),LEVEL1,LEVEL2,LEVEL3,값,증감,증감율,구성비,누계,누계구성비
2006-07,동수별,구조별,기타,15,15,15,0,0,0
2006-07,동수별,용도별,주거용,3290,3290,3290,0,0,0
2006-07,동수별,용도별,상업용,3363,3363,3363,0,0,0
2006-07,동수별,용도별,공업용,1967,1967,1967,0,0,0
2006-07,동수별,용도별,교육및사회,536,536,536,0,0,0
2006-07,동수별,용도별,기타,2869,2869,2869,0,0,0
2006-07,연면적별,합계,합계,6674062,6674062,6674062,0,0,0
2006-07,연면적별,구조별,철근및철골조,6546881,6546881,6546881,0,0,0
2006-07,연면적별,구조별,조적조,99391,99391,99391,0,0,0
2006-07,연면적별,구조별,목조,26770,26770,26770,0,0,0
2006-07,연면적별,구조별,기타,1020,1020,1020,0,0,0
2006-07,연면적별,용도별,주거용,1877027,1877027,1877027,0,0,0
2006-07,연면적별,용도별,상업용,1664484,1664484,1664484,0,0,0
2006-07,연면적별,용도별,공업용,1133680,1133680,1133680,0,0,0
2006-07,연면적별,용도별,교육및사회,967010,967010,967010,0,0,0
2006-07,연면적별,용도별,기타,1031861,1031861,1031861,0,0,0
2006-08,동수별,합계,합계,13469,13469,13469,0,0,0
2006-08,동수별,구조별,철근및철골조,11582,11582,11582,0,0,0
2006-08,동수별,구조별,조적조,1437,1437,1437,0,0,0
2006-08,동수별,구조별,목조,427,427,427,0,0,0
2006-08,동수별,구조별,기타,23,23,23,0,0,0
2006-08,동수별,용도별,주거용,4103,4103,4103,0,0,0
2006-08,동수별,용도별,상업용,3755,3755,3755,0,0,0
2006-08,동수별,용도별,공업용,2198,2198,2198,0,0,0
2006-08,동수별,용도별,교육및사회,704,704,704,0,0,0
2006-08,동수별,용도별,기타,2709,2709,2709,0,0,0
2006-08,연면적별,합계,합계,7493863,7493863,7493863,0,0,0
2006-08,연면적별,구조별,철근및철골조,7349190,7349190,7349190,0,0,0
2006-08,연면적별,구조별,조적조,106582,106582,106582,0,0,0
2006-08,연면적별,구조별,목조,37332,37332,37332,0,0,0
2006-08,연면적별,구조별,기타,759,759,759,0,0,0
2006-08,연면적별,용도별,주거용,1996641,1996641,1996641,0,0,0
2006-08,연면적별,용도별,상업용,2418800,2418800,2418800,0,0,0
