기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2012	총계	총계	1,555,281	1,658,928	473,458	473,458	595,842	595,842	485,981	589,628
2012	종로구	소계	26,001	29,398	4,935	4,935	12,530	15,681	8,536	8,782
2012	종로구	사직동	1,811	1,979	415	417	924	997	472	565
2012	종로구	삼청동	452	548	92	132	214	280	146	136
2012	종로구	부암동	1,714	1,827	401	352	825	962	488	513
2012	종로구	평창동	2,535	2,685	462	368	1,286	1,434	787	883
2012	종로구	무악동	1,206	1,254	177	135	761	824	268	295
2012	종로구	교남동	1,326	2,189	208	243	721	1,351	397	595
2012	종로구	가회동	780	926	149	207	385	488	246	231
2012	종로구	종로1.2.3.4가동	1,732	1,677	180	231	844	891	708	555
2012	종로구	종로5·6가동	1,038	1,055	225	204	447	511	366	340
2012	종로구	이화동	1,632	1,877	247	383	699	955	686	539
2012	종로구	창신1동	948	1,202	279	324	385	571	284	307
2012	종로구	창신2동	1,161	1,567	339	338	519	799	303	430
2012	종로구	창신3동	1,022	1,229	287	258	534	640	201	331
2012	종로구	숭인1동	1,162	1,367	323	250	527	739	312	378
2012	종로구	숭인2동	1,633	1,708	211	178	936	984	486	546
2012	종로구	청운효자동	2,248	2,444	507	523	1,051	1,145	690	776
2012	종로구	혜화동	3,601	3,864	433	392	1,472	2,110	1,696	1,362
2012	중구	소계	24,872	25,198	4,832	4,832	13,064	13,252	6,976	7,114
2012	중구	소공동	422	380	20	31	256	202	146	147
2012	중구	회현동	1,235	996	85	65	784	616	366	315
2012	중구	명동	572	603	36	71	339	308	197	224
2012	중구	필동	845	893	115	147	390	428	340	318
2012	중구	장충동	1,154	1,189	199	246	392	496	563	447
2012	중구	광희동	1,002	1,094	183	220	471	525	348	349
2012	중구	을지로동	387	440	27	43	207	225	153	172
2012	중구	신당1동	1,279	1,616	378	573	517	621	384	422
2012	중구	신당2동	2,552	2,836	691	782	1,124	1,265	737	789
2012	중구	신당3동	2,845	3,066	326	567	1,710	1,509	809	990
2012	중구	신당4동	2,234	2,430	585	708	1,103	1,138	546	584
2012	중구	신당5동	2,614	1,636	648	464	1,457	804	509	368
2012	중구	신당6동	3,385	1,664	1,154	452	1,644	785	587	427
2012	중구	황학동	2,002	2,311	291	331	1,143	1,301	568	679
2012	중구	중림동	2,344	4,044	94	132	1,527	3,029	723	883
2012	용산구	소계	36,702	41,248	8,504	8,504	16,106	18,001	12,092	14,743
2012	용산구	후암동	2,763	3,072	820	681	1,089	1,258	854	1,133
2012	용산구	용산2가동	1,509	1,917	411	475	546	666	552	776
2012	용산구	남영동	1,675	1,706	436	417	652	733	587	556
2012	용산구	원효로2동	2,090	2,274	608	479	945	1,000	537	795
2012	용산구	효창동	1,842	1,967	615	493	808	911	419	563
2012	용산구	용문동	1,871	2,307	563	645	803	958	505	704
2012	용산구	이촌1동	3,279	3,634	602	641	1,703	1,836	974	1,157
2012	용산구	이촌2동	968	1,204	244	276	415	483	309	445
2012	용산구	이태원1동	1,413	1,552	443	493	520	565	450	494
2012	용산구	이태원2동	1,529	1,788	371	439	672	722	486	627
2012	용산구	서빙고동	2,180	2,371	471	475	795	810	914	1,086
2012	용산구	보광동	2,580	2,945	778	622	912	1,104	890	1,219
2012	용산구	청파동	3,872	4,599	448	608	1,881	2,266	1,543	1,725
2012	용산구	원효로1동	2,479	2,577	697	609	1,095	1,099	687	869
2012	용산구	한강로동	2,822	2,990	492	521	1,304	1,431	1,026	1,038
2012	용산구	한남동	3,830	4,345	505	630	1,966	2,159	1,359	1,556
2012	성동구	소계	48,010	50,610	12,882	12,882	21,433	22,444	13,695	15,284
2012	성동구	왕십리2동	2,550	2,881	748	801	1,095	1,276	707	804
2012	성동구	마장동	3,323	3,669	841	778	1,306	1,690	1,176	1,201
2012	성동구	사근동	2,084	2,252	301	503	507	799	1,276	950
2012	성동구	행당1동	2,578	2,723	804	802	1,025	1,081	749	840
2012	성동구	행당2동	3,241	3,534	908	870	1,434	1,513	899	1,151
2012	성동구	응봉동	2,521	2,674	880	860	1,067	1,097	574	717
2012	성동구	금호1가동	2,265	2,467	983	1,076	837	826	445	565
2012	성동구	금호4가동	3,290	3,552	1,008	1,386	1,536	1,319	746	847
2012	성동구	성수1가1동	2,633	2,952	698	872	1,240	1,162	695	918
2012	성동구	성수1가2동	2,897	3,207	637	664	1,298	1,393	962	1,150
2012	성동구	성수2가1동	2,679	3,152	633	536	1,189	1,451	857	1,165
2012	성동구	성수2가3동	2,081	2,034	419	375	982	972	680	687
2012	성동구	송정동	1,681	1,873	189	204	963	1,028	529	641
2012	성동구	용답동	2,183	2,490	270	184	1,213	1,497	700	809
2012	성동구	왕십리도선동	1,978	1,968	625	542	753	794	600	632
2012	성동구	금호2.3가동	6,777	3,882	2,544	1,038	3,080	1,826	1,153	1,018
2012	성동구	옥수동	3,249	5,300	394	1,391	1,908	2,720	947	1,189
2012	광진구	소계	58,688	61,194	17,181	17,181	22,632	22,889	18,875	21,124
2012	광진구	화양동	5,135	5,151	652	1,003	1,709	2,177	2,774	1,971
2012	광진구	군자동	3,625	3,772	739	851	1,502	1,632	1,384	1,289
2012	광진구	중곡1동	2,771	2,954	940	899	1,128	1,099	703	956
2012	광진구	중곡2동	3,631	3,702	1,383	1,169	1,285	1,346	963	1,187
2012	광진구	중곡3동	2,829	3,229	820	887	1,306	1,416	703	926
2012	광진구	중곡4동	4,616	4,662	1,666	1,500	1,791	1,700	1,159	1,462
2012	광진구	능동	2,258	2,322	625	700	805	807	828	815
2012	광진구	구의1동	4,158	4,479	1,238	1,381	1,463	1,482	1,457	1,616
2012	광진구	구의2동	4,101	3,749	1,598	1,180	1,463	1,233	1,040	1,336
2012	광진구	구의3동	4,437	5,037	1,394	1,543	1,767	1,719	1,276	1,775
2012	광진구	광장동	5,733	4,377	1,415	912	2,651	1,886	1,667	1,579
2012	광진구	자양1동	3,831	4,409	1,394	1,573	1,157	1,353	1,280	1,483
2012	광진구	자양2동	3,833	4,394	1,374	1,311	1,322	1,404	1,137	1,679
2012	광진구	자양3동	4,342	4,714	1,181	1,194	1,904	1,938	1,257	1,582
2012	광진구	자양4동	3,388	4,243	762	1,078	1,379	1,697	1,247	1,468
2012	동대문구	소계	51,643	54,915	13,798	13,798	20,956	22,422	16,889	18,695
2012	동대문구	회기동	2,317	2,407	532	592	673	860	1,112	955
2012	동대문구	휘경1동	2,982	3,468	941	1,029	921	1,291	1,120	1,148
2012	동대문구	휘경2동	4,727	3,845	1,423	997	1,754	1,343	1,550	1,505
2012	동대문구	청량리동	2,996	3,143	962	879	1,134	1,244	900	1,020
2012	동대문구	용신동	4,826	5,186	677	809	2,507	2,678	1,642	1,699
2012	동대문구	제기동	4,192	4,438	860	869	1,819	2,109	1,513	1,460
2012	동대문구	전농1동	3,274	3,783	1,035	1,181	1,183	1,381	1,056	1,221
2012	동대문구	전농2동	2,587	2,685	1,000	885	967	942	620	858
2012	동대문구	답십리1동	2,883	3,382	865	996	1,293	1,369	725	1,017
2012	동대문구	답십리2동	3,345	3,964	1,174	1,309	1,316	1,429	855	1,226
2012	동대문구	장안1동	5,177	5,206	1,190	1,103	2,512	2,183	1,475	1,920
2012	동대문구	장안2동	4,374	4,601	1,409	1,330	1,827	1,777	1,138	1,494
2012	동대문구	이문1동	5,069	5,712	1,149	1,338	1,622	2,300	2,298	2,074
2012	동대문구	이문2동	2,894	3,095	581	481	1,428	1,516	885	1,098
2012	중랑구	소계	60,157	66,109	23,447	23,447	20,288	20,098	16,422	22,564
2012	중랑구	면목2동	3,750	4,337	1,505	1,628	1,255	1,317	990	1,392
2012	중랑구	면목4동	3,289	4,223	792	1,120	1,520	1,798	977	1,305
2012	중랑구	면목5동	2,078	2,277	960	988	687	624	431	665
2012	중랑구	면목7동	3,486	4,042	1,221	1,300	1,336	1,465	929	1,277
2012	중랑구	상봉1동	3,180	3,587	1,408	1,369	919	889	853	1,329
2012	중랑구	상봉2동	3,463	3,671	1,317	1,386	1,078	1,026	1,068	1,259
2012	중랑구	중화1동	3,099	3,426	1,298	1,302	1,009	1,011	792	1,113
2012	중랑구	중화2동	4,019	4,788	1,483	1,625	1,388	1,537	1,148	1,626
2012	중랑구	묵1동	5,354	5,351	1,587	1,252	2,267	1,996	1,500	2,103
2012	중랑구	묵2동	3,149	3,262	1,078	1,070	1,233	1,095	838	1,097
2012	중랑구	망우3동	2,976	3,351	1,492	1,618	771	738	713	995
2012	중랑구	신내1동	3,845	4,216	1,796	1,456	1,091	1,144	958	1,616
2012	중랑구	신내2동	2,956	3,465	1,084	1,084	1,006	1,109	866	1,272
2012	중랑구	면목본동	5,516	6,011	2,305	2,352	1,823	1,779	1,388	1,880
2012	중랑구	면목3.8동	4,459	4,999	1,945	2,149	1,354	1,322	1,160	1,528
2012	중랑구	망우본동	5,538	5,103	2,176	1,748	1,551	1,248	1,811	2,107
2012	성북구	소계	67,929	73,180	19,958	19,958	28,461	30,263	19,510	22,959
