기간	자치구	동	구분	구분	구분	구분	구분	구분	구분	구분
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2014	합계	합계	1,573,594	1,661,425	495,401	495,401	602,622	602,622	475,571	563,402
2014	종로구	소계	24,191	27,484	4,507	4,507	11,243	14,657	8,441	8,320
2014	종로구	사직동	1,694	1,840	377	360	833	1,003	484	477
2014	종로구	삼청동	339	498	64	126	151	228	124	144
2014	종로구	부암동	1,540	1,733	446	372	723	843	371	518
2014	종로구	평창동	2,512	2,705	450	419	1,391	1,448	671	838
2014	종로구	무악동	1,051	1,276	116	133	671	812	264	331
2014	종로구	교남동	805	1,237	151	141	379	709	275	387
2014	종로구	가회동	655	815	116	154	324	412	215	249
2014	종로구	종로1.2.3.4가동	1,951	1,892	190	224	808	996	953	672
2014	종로구	종로5·6가동	870	1,032	155	212	354	487	361	333
2014	종로구	이화동	1,624	1,828	277	276	733	993	614	559
2014	종로구	창신1동	919	1,044	288	305	376	457	255	282
2014	종로구	창신2동	897	1,365	282	374	371	605	244	386
2014	종로구	창신3동	990	1,270	289	267	426	738	275	265
2014	종로구	숭인1동	1,085	1,344	356	297	481	780	248	267
2014	종로구	숭인2동	2,026	1,938	268	151	1,017	1,174	741	613
2014	종로구	청운효자동	1,996	2,284	413	479	941	1,123	642	682
2014	종로구	혜화동	3,237	3,383	269	217	1,264	1,849	1,704	1,317
2014	중구	소계	20,105	22,972	3,967	3,967	10,018	12,323	6,120	6,682
2014	중구	소공동	330	402	35	26	186	257	109	119
2014	중구	회현동	895	995	50	61	550	595	295	339
2014	중구	명동	461	660	37	88	254	373	170	199
2014	중구	필동	829	935	105	132	391	469	333	334
2014	중구	장충동	1,008	1,257	159	196	335	588	514	473
2014	중구	광희동	799	995	172	170	350	526	277	299
2014	중구	을지로동	300	403	36	38	162	227	102	138
2014	중구	신당5동	1,672	1,693	493	393	774	905	405	395
2014	중구	황학동	2,469	2,500	318	314	1,383	1,541	768	645
2014	중구	중림동	1,502	1,910	56	70	942	1,228	504	612
2014	중구	신당동	1,160	1,447	309	480	466	603	385	364
2014	중구	다산동	2,305	2,685	646	616	983	1,292	676	777
2014	중구	약수동	2,557	2,784	388	387	1,421	1,528	748	869
2014	중구	청구동	2,086	2,353	560	509	1,027	1,190	499	654
2014	중구	동화동	1,732	1,953	603	487	794	1,001	335	465
2014	용산구	소계	35,618	40,635	8,454	8,454	15,452	18,266	11,712	13,915
2014	용산구	후암동	2,547	3,004	823	645	941	1,274	783	1,085
2014	용산구	용산2가동	1,519	1,959	418	573	544	676	557	710
2014	용산구	남영동	1,797	1,718	414	400	778	761	605	557
2014	용산구	원효로2동	2,039	2,284	619	482	880	1,097	540	705
2014	용산구	효창동	1,683	1,911	498	492	792	924	393	495
2014	용산구	용문동	1,876	2,004	629	509	762	895	485	600
2014	용산구	이촌1동	3,041	3,532	562	631	1,630	1,760	849	1,141
2014	용산구	이촌2동	1,326	1,661	419	401	542	630	365	630
2014	용산구	이태원1동	1,276	1,621	394	533	474	628	408	460
2014	용산구	이태원2동	1,361	1,891	319	476	569	822	473	593
2014	용산구	서빙고동	2,447	2,609	455	469	837	946	1,155	1,194
2014	용산구	보광동	2,391	2,839	758	617	892	1,204	741	1,018
2014	용산구	청파동	3,459	4,012	495	496	1,495	1,998	1,469	1,518
2014	용산구	원효로1동	2,949	2,660	649	622	1,430	1,230	870	808
2014	용산구	한강로동	2,570	2,788	525	528	1,217	1,348	828	912
2014	용산구	한남동	3,337	4,142	477	580	1,669	2,073	1,191	1,489
2014	성동구	소계	46,521	51,349	12,336	12,336	21,559	23,717	12,626	15,296
2014	성동구	왕십리2동	2,444	2,892	845	849	992	1,257	607	786
2014	성동구	마장동	3,410	3,880	965	719	1,340	1,880	1,105	1,281
2014	성동구	사근동	3,074	2,351	635	451	1,043	860	1,396	1,040
2014	성동구	행당1동	2,334	4,654	752	1,980	925	1,678	657	996
2014	성동구	행당2동	3,075	3,618	890	897	1,388	1,697	797	1,024
2014	성동구	응봉동	2,336	2,634	1,022	806	863	1,078	451	750
2014	성동구	금호1가동	1,748	2,518	688	998	677	972	383	548
2014	성동구	금호4가동	2,431	2,794	736	745	1,075	1,267	620	782
2014	성동구	성수1가1동	2,553	3,058	758	802	1,143	1,335	652	921
2014	성동구	성수1가2동	2,639	3,235	660	754	1,172	1,413	807	1,068
2014	성동구	성수2가1동	2,397	2,923	596	545	1,139	1,451	662	927
2014	성동구	성수2가3동	2,242	2,286	513	454	1,055	1,101	674	731
2014	성동구	송정동	1,626	1,900	230	198	949	1,119	447	583
2014	성동구	용답동	2,367	2,582	218	137	1,392	1,646	757	799
2014	성동구	왕십리도선동	5,124	2,173	1,316	501	2,898	1,004	910	668
2014	성동구	금호2.3가동	3,379	4,024	1,031	968	1,577	1,897	771	1,159
2014	성동구	옥수동	3,342	3,827	481	532	1,931	2,062	930	1,233
2014	광진구	소계	56,778	64,189	18,540	18,540	20,616	24,713	17,622	20,936
2014	광진구	화양동	5,254	5,438	620	1,016	1,603	2,255	3,031	2,167
2014	광진구	군자동	3,653	3,913	847	873	1,545	1,782	1,261	1,258
2014	광진구	중곡1동	2,647	3,094	935	1,003	1,033	1,212	679	879
2014	광진구	중곡2동	3,636	4,328	1,405	1,534	1,291	1,489	940	1,305
2014	광진구	중곡3동	2,785	3,281	931	935	1,191	1,456	663	890
2014	광진구	중곡4동	4,741	5,036	1,931	1,515	1,743	1,945	1,067	1,576
2014	광진구	능동	2,283	2,330	728	658	823	906	732	766
2014	광진구	구의1동	4,342	4,446	1,706	1,348	1,331	1,606	1,305	1,492
2014	광진구	구의2동	3,569	4,986	1,454	1,852	1,183	1,557	932	1,577
2014	광진구	구의3동	4,707	4,768	1,889	1,291	1,579	1,851	1,239	1,626
2014	광진구	광장동	4,590	5,062	1,008	1,156	2,065	2,236	1,517	1,670
2014	광진구	자양1동	3,774	4,632	1,503	1,723	1,111	1,461	1,160	1,448
2014	광진구	자양2동	3,987	4,295	1,658	1,315	1,258	1,443	1,071	1,537
2014	광진구	자양3동	3,691	4,483	1,143	1,215	1,584	1,893	964	1,375
2014	광진구	자양4동	3,119	4,097	782	1,106	1,276	1,621	1,061	1,370
2014	동대문구	소계	57,915	59,658	18,216	18,216	23,219	22,990	16,480	18,452
2014	동대문구	회기동	2,189	2,417	561	629	606	915	1,022	873
2014	동대문구	휘경1동	2,830	3,174	889	989	832	1,113	1,109	1,072
2014	동대문구	휘경2동	3,759	4,236	1,170	1,202	1,175	1,547	1,414	1,487
2014	동대문구	청량리동	2,921	3,228	994	864	1,135	1,228	792	1,136
2014	동대문구	용신동	4,978	5,346	797	1,011	2,492	2,630	1,689	1,705
2014	동대문구	제기동	3,982	4,242	919	903	1,672	1,911	1,391	1,428
2014	동대문구	전농1동	4,098	5,332	1,526	2,095	1,337	1,757	1,235	1,480
2014	동대문구	전농2동	2,620	2,924	1,233	1,273	836	811	551	840
2014	동대문구	답십리1동	9,518	3,944	3,413	1,510	4,760	1,506	1,345	928
2014	동대문구	답십리2동	3,752	5,382	1,601	2,501	1,401	1,647	750	1,234
2014	동대문구	장안1동	5,296	5,884	1,566	1,828	2,396	2,276	1,334	1,780
2014	동대문구	장안2동	4,912	5,038	1,960	1,715	1,866	1,766	1,086	1,557
2014	동대문구	이문1동	4,362	5,359	980	1,159	1,346	2,241	2,036	1,959
2014	동대문구	이문2동	2,698	3,152	607	537	1,365	1,642	726	973
2014	중랑구	소계	69,157	68,497	27,759	27,759	25,390	19,459	16,008	21,279
2014	중랑구	면목2동	3,720	4,085	1,556	1,646	1,271	1,158	893	1,281
2014	중랑구	면목4동	3,062	3,667	759	953	1,424	1,505	879	1,209
2014	중랑구	면목5동	1,902	2,250	846	1,015	643	665	413	570
2014	중랑구	면목7동	3,525	4,145	1,231	1,472	1,432	1,400	862	1,273
2014	중랑구	상봉1동	4,363	3,847	2,008	1,808	1,406	833	949	1,206
2014	중랑구	상봉2동	3,717	4,019	1,345	1,806	1,255	945	1,117	1,268
2014	중랑구	중화1동	3,138	3,500	1,375	1,483	998	917	765	1,100
2014	중랑구	중화2동	3,799	4,654	1,404	1,888	1,357	1,302	1,038	1,464
2014	중랑구	묵1동	4,877	6,180	1,523	2,039	2,121	2,215	1,233	1,926
2014	중랑구	묵2동	3,117	3,686	1,194	1,468	1,197	1,182	726	1,036
2014	중랑구	망우3동	3,022	3,486	1,592	1,817	778	695	652	974
2014	중랑구	신내1동	12,977	4,259	5,731	1,498	5,615	1,265	1,631	1,496
2014	중랑구	신내2동	3,110	3,893	1,167	1,642	1,142	1,098	801	1,153
2014	중랑구	면목본동	5,447	6,188	2,218	2,675	1,852	1,640	1,377	1,873
2014	중랑구	면목3.8동	4,558	5,045	1,936	2,270	1,545	1,421	1,077	1,354
2014	중랑구	망우본동	4,823	5,593	1,874	2,279	1,354	1,218	1,595	2,096
2014	성북구	소계	65,082	76,521	20,926	20,926	26,278	32,828	17,878	22,767
2014	성북구	돈암1동	2,229	2,288	900	783	809	856	520	649
