국제수지 계정별,2012. 12 월,2013. 01 월,2013. 02 월,2013. 03 월,2013. 04 월,2013. 05 월,2013. 06 월,2013. 07 월,2013. 08 월,2013. 09 월,2013. 10 월,2013. 11 월,2013. 12 월,2014. 01 월,2014. 02 월,2014. 03 월,2014. 04 월,2014. 05 월,2014. 06 월,2014. 07 월,2014. 08 월,2014. 09 월,2014. 10 월,2014. 11 월,2014. 12 월,2015. 01 월,2015. 02 월,2015. 03 월,2015. 04 월,2015. 05 월,2015. 06 월,2015. 07 월,2015. 08 월,2015. 09 월,2015. 10 월,2015. 11 월,2015. 12 월,2016. 01 월,2016. 02 월,2016. 03 월,2016. 04 월,2016. 05 월,2016. 06 월,2016. 07 월,2016. 08 월,2016. 09 월,2016. 10 월,2016. 11 월,2016. 12 월,2017. 01 월,2017. 02 월,2017. 03 월,2017. 04 월,2017. 05 월,2017. 06 월,2017. 07 월,2017. 08 월,2017. 09 월,2017. 10 월,2017. 11 월,2017. 12 월,2018. 01 월,2018. 02 월,2018. 03 월,2018. 04 월,2018. 05 월,2018. 06 월,2018. 07 월,2018. 08 월,2018. 09 월,2018. 10 월,2018. 11 월,2018. 12 월,2019. 01 월,2019. 02 월,2019. 03 월,2019. 04 월,2019. 05 월,2019. 06 월,2019. 07 월,2019. 08 월,2019. 09 월,2019. 10 월,2019. 11 월,2013. 1/4,2013. 2/4,2013. 3/4,2013. 4/4,2014. 1/4,2014. 2/4,2014. 3/4,2014. 4/4,2015. 1/4,2015. 2/4,2015. 3/4,2015. 4/4,2016. 1/4,2016. 2/4,2016. 3/4,2016. 4/4,2017. 1/4,2017. 2/4,2017. 3/4,2017. 4/4,2018. 1/4,2018. 2/4,2018. 3/4,2018. 4/4,2019. 1/4,2019. 2/4,2019. 3/4,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년
정부서비스수지,-25.4,2.4,-4.2,37.1,-10.6,31.2,-6.8,4.7,31.2,39.1,-19.3,30.8,-5.1,-11.2,-12.2,-11.7,-12.1,40.9,-10.1,69.7,20.6,25.5,14.6,37.1,-49.3,-17.1,-2.8,-59.6,-27.3,13.3,-47.9,-20.4,12.9,-4.3,-2.3,-17.2,-110.9,-55.6,-10.2,-108.4,-2,-18.6,-113.4,-7.8,-8.1,-12.2,-37.2,-19.4,-77.5,-29.6,-39.9,-151.3,-12.2,-9.1,-46.9,-44,-61.6,-112.8,54.7,-100.1,-148.4,-84.9,-9.5,-60.1,-74.5,-37.9,-104.2,-55,-38.9,-93.4,-60.6,-45.5,-132.7,-108.6,-34.7,-81.3,-62.8,-33.5,-58.5,-84.1,-38.2,-104.9,-49.7,-12.2,35.3,13.8,75,6.4,-35.1,18.7,115.8,2.4,-79.5,-61.9,-11.8,-130.4,-174.2,-134,-28.1,-134.1,-220.8,-68.2,-218.4,-193.8,-154.5,-216.6,-187.3,-238.8,-224.6,-154.8,-227.2,282.6,130.5,101.8,-283.6,-470.4,-701.2,-797.2
본원소득수지,1165,1016.8,529.7,-126.3,-598.4,621.5,1315,859.2,558.4,533.1,1176.1,540.9,1092,219.7,-426.3,-343.6,-1846.1,699.8,1949.9,753.7,902.3,159.7,925.8,1246.4,918.1,2882.7,1160.3,153.5,-3191.8,-157.3,1126.9,874.9,517.9,375,587.6,698.6,-573.7,1328.6,816.7,-810,-3515.9,1530,1819.6,388.6,1023.3,987.7,764.8,338,-104.3,1206.7,755.2,-402.4,-4669.9,36.4,1527.1,1534.5,592.1,1813.7,1547.2,272.6,1123.7,1543.5,1553.1,-1008.4,-5269.2,900.8,1361.4,1692.5,444.3,1047.4,1414.7,341.8,880,1678.8,454.6,-614.6,-4183.3,1294.7,2067.5,2468.3,2022.4,1538.7,1826.9,967,1420.2,1338.1,1950.7,2809,-550.2,803.6,1815.7,3090.3,4196.5,-2222.2,1767.8,712.5,1335.3,-166.3,2399.6,998.5,1559.5,-3106.4,3940.3,2943.5,2088.2,-3007,3184.2,2636.5,1518.8,-821.1,6029.4,10732.9,7518,5159.4,4454.6,4567.1,5336.9,4901.9
급료및임금수지,-99.8,-53.7,-44.3,-56.4,-73.3,-54.1,-41.7,-79.4,-79.2,-97.7,-99.4,-57,-103.5,-88.2,-57.1,-68,-122.6,-61.5,-80.8,-65.4,-78.2,-58.3,-59.4,-26,-70.1,-32.1,-31.6,-7.9,-49.5,-31.9,-24.2,-10.5,-36.4,-22,-73.9,-38.6,-43.6,21.9,-44.5,-76.3,-71.6,-33,-70.4,-174.3,-226.8,-108.3,-52.2,-22,-19.1,-43.1,-90.6,-148.9,-94.4,-107.5,-79.1,-102.8,-60.5,-47.5,-58.9,-151.7,-222.6,-451.8,-55.8,-76.7,-65.6,-57,-40.4,-87.2,-131,-38.3,-53.5,-57.6,-59.8,-24.7,-32.7,-54.6,-51,-46.6,-66.9,-40.1,-47.4,-42,-75.3,-70.7,-154.4,-169.1,-256.3,-259.9,-213.3,-264.9,-201.9,-155.5,-71.6,-105.6,-68.9,-156.1,-98.9,-175,-509.4,-93.3,-282.6,-281,-210.8,-433.2,-584.3,-163,-256.5,-170.9,-112,-164.5,-129.5,-796.6,-839.7,-835.6,-402.2,-876.6,-1207.6,-1174.7
투자소득수지,1264.8,1070.5,574,-69.9,-525.1,675.6,1356.7,938.6,637.6,630.8,1275.5,597.9,1195.5,307.9,-369.2,-275.6,-1723.5,761.3,2030.7,819.1,980.5,218,985.2,1272.4,988.2,2914.8,1191.9,161.4,-3142.3,-125.4,1151.1,885.4,554.3,397,661.5,737.2,-530.1,1306.7,861.2,-733.7,-3444.3,1563,1890,562.9,1250.1,1096,817,360,-85.2,1249.8,845.8,-253.5,-4575.5,143.9,1606.2,1637.3,652.6,1861.2,1606.1,424.3,1346.3,1995.3,1608.9,-931.7,-5203.6,957.8,1401.8,1779.7,575.3,1085.7,1468.2,399.4,939.8,1703.5,487.3,-560,-4132.3,1341.3,2134.4,2508.4,2069.8,1580.7,1902.2,1037.7,1574.6,1507.2,2207,3068.9,-336.9,1068.5,2017.6,3245.8,4268.1,-2116.6,1836.7,868.6,1434.2,8.7,2909,1091.8,1842.1,-2825.4,4151.1,3376.7,2672.5,-2844,3440.7,2807.4,1630.8,-656.6,6158.9,11529.5,8357.7,5995,4856.8,5443.7,6544.5,6076.6
직접투자소득수지,603.7,231.9,-13,-571.3,0,69.4,787.8,310.9,175.6,152.6,757.1,402.6,890.6,-109.8,-621.1,-765.1,-250.5,609.3,1465.7,54.3,526.2,-285.3,218,740,274.1,2122.7,544.4,-235.2,-1302.2,-705.9,554.5,133.7,138.8,-121.8,35.6,189.8,-1152.4,630,288.1,-1220.5,-1242.9,583.4,961,-263.4,608.3,449.4,-10.8,-168.5,-737.6,420.3,152.3,-945.3,-1879.6,-441.1,195.5,460.7,245.4,811.6,704.3,-38.8,366.1,676.9,730.7,-1891.6,-2110.6,510.5,-7.7,365.2,464.6,229.9,319.7,54.2,-226.7,502.2,-358,-1600.2,-1491.9,671.5,741.1,709.7,1845.3,427.4,686.3,612.1,-352.4,857.2,639.1,2050.3,-1496,1824.5,295.2,1232.1,2431.9,-1453.6,150.7,-927,-302.4,301.5,794.3,-916.9,-372.7,-2125.2,1517.7,1031.6,-484,-1607.8,1059.7,147.2,-1456,-79.3,2982.4,4897.9,3194.2,1855.8,202,-123.5,51.4,-884.9
증권투자소득수지,-75.3,-55.5,-54.1,-202.1,-1310.5,26.5,-43.3,-209.7,-64.4,-257.9,-176.1,-323.5,-233.9,-329,-250.5,-241.9,-2194.5,-369.4,-40.2,44.8,-52.9,-253,-7.7,28.8,50.5,100.8,68.3,-292.1,-2540.8,125.6,127.9,193.4,59,-81.8,39.6,165.1,192,12.9,75.6,4.7,-2693.2,530.7,536.2,314.3,147.2,141.8,109.6,97.9,285.3,199.3,180.1,146.1,-3128.1,118.5,905.1,559.6,-38.5,466.1,369,39.9,630.7,534.9,437.4,548.6,-3594.9,-82.9,918.1,778,-351,330.5,501.8,-154.3,655.6,538.8,358.4,541.7,-3365.6,57.9,850.2,1095.2,-198.5,436,604.4,32.6,-311.7,-1327.3,-532,-733.5,-821.4,-2604.1,-261.1,71.6,-123,-2287.3,170.6,396.7,93.2,-1626.3,603.3,492.8,525.5,-2104.5,987.2,1039.6,1520.9,-2759.7,757.5,1003.1,1438.9,-2457.5,1332.7,-2182.5,-2904.5,-3615,-1843,-437,447.8,521.8
기타투자소득수지,736.4,894.1,641.1,703.5,785.4,579.7,612.2,837.4,526.4,736.1,694.5,518.8,538.8,746.7,502.4,731.4,721.5,521.4,605.2,720,507.2,756.3,774.9,503.6,663.6,691.3,579.2,688.7,700.7,454.9,468.7,558.3,356.5,600.6,586.3,382.3,430.3,663.8,497.5,482.1,491.8,448.9,392.8,512,494.6,504.8,718.2,430.6,367.1,630.2,513.4,545.7,432.2,466.5,505.6,617,445.7,583.5,532.8,423.2,349.5,783.5,440.8,411.3,501.9,530.2,491.4,636.5,461.7,525.3,646.7,499.5,510.9,662.5,486.9,498.5,725.2,611.9,543.1,703.5,423,717.3,611.5,393,2238.7,1977.3,2099.9,1752.1,1980.5,1848.1,1983.5,1942.1,1959.2,1624.3,1515.4,1398.9,1643.4,1333.5,1511.4,1515.9,1689.3,1404.3,1646.2,1305.5,1635.6,1523.5,1623.5,1657.1,1647.9,1880.2,1843.8,8814.1,8068,7754.2,6497.8,6004.2,6045.3,6439.7
이전소득수지,-774.7,-490.3,-261.7,-76.2,-190.2,-169.6,-186.5,-292.7,-322.4,-708.3,-400.4,-380.8,-710.2,-335.6,-164.1,-320.3,-898.3,-388.8,-387.5,-389.8,-518.3,-343.5,-262.4,-115.3,-860.8,-623.3,-227.9,-399.3,-496.9,-443.7,-259.2,-188.5,-119.3,-544.2,-437.7,-186.1,-1059.1,-457.8,20.6,-534,-522.8,-146.9,-542.9,-625.6,-950.8,-819,-391.2,-214.6,-581.7,-317.9,-550.5,-16.5,-577.6,-642.7,-411,-683.2,-791,-996.2,-472.6,-660.3,-845.3,-1670.2,-396.2,-683.7,-672.5,-728.3,-564,-666,-663,-438,-408.3,-522.5,-740.1,-600.8,-485.7,-583.7,-549.3,-671.7,-532.1,-518.4,-235.1,-216.6,-309.2,-489.2,-828.2,-546.3,-1323.4,-1491.4,-820,-1674.6,-1251.6,-1238.5,-1250.5,-1199.8,-852,-1682.9,-971.2,-1212.6,-2395.4,-1187.5,-884.9,-1631.3,-2470.4,-1978.2,-2750.1,-1964.8,-1767,-1670.9,-1670.2,-1753.1,-970.1,-5474.1,-4189.3,-4984.7,-4985.2,-5766.7,-6964.8,-8152.8
일반정부이전소득수지,-368.9,-59,-145.8,13.3,-133,-80.2,-123.7,-69.1,-108.8,-230.5,-116.4,-92.8,-425.3,15.6,-43.7,-107.7,-172.3,-15,-159.2,-54.8,-178.2,-68.3,-74.2,-52.5,-313.3,-76.9,-108.9,-216.4,81.6,-152.2,-67.1,-150.5,-84.1,-116.9,-58.1,-57.9,-396.8,-102.4,22.7,-166.3,-166.1,-30.3,-182.1,-67.8,-165.9,-159.6,-80.1,11,-291.8,111.4,-112.9,705.8,-81.5,-174.9,-88.3,-180.5,-60.1,-79.5,-76.1,-117.4,-179.6,-24.9,-114.8,-216.9,-97.8,-171.4,-81.4,-157.3,-102.7,-117.6,-114.9,-101.7,-315.9,-80.5,-72.5,-229.2,-197.1,-271.2,-102.4,-196.4,-91.5,-0.5,-96.2,-183.1,-191.5,-336.9,-408.4,-634.5,-135.8,-346.5,-301.3,-440,-402.2,-137.7,-351.5,-512.8,-246,-378.5,-393.3,-360.9,704.3,-344.7,-320.1,-373.1,-356.6,-350.6,-377.6,-532.5,-382.2,-570.7,-288.4,-1986.6,-1571.3,-1223.6,-1404.2,-1378.7,-333.6,-1617.3
기타부문이전소득수지,-405.8,-431.3,-115.9,-89.5,-57.2,-89.4,-62.8,-223.6,-213.6,-477.8,-284,-288,-284.9,-351.2,-120.4,-212.6,-726,-373.8,-228.3,-335,-340.1,-275.2,-188.2,-62.8,-547.5,-546.4,-119,-182.9,-578.5,-291.5,-192.1,-38,-35.2,-427.3,-379.6,-128.2,-662.3,-355.4,-2.1,-367.7,-356.7,-116.6,-360.8,-557.8,-784.9,-659.4,-311.1,-225.6,-289.9,-429.3,-437.6,-722.3,-496.1,-467.8,-322.7,-502.7,-730.9,-916.7,-396.5,-542.9,-665.7,-1645.3,-281.4,-466.8,-574.7,-556.9,-482.6,-508.7,-560.3,-320.4,-293.4,-420.8,-424.2,-520.3,-413.2,-354.5,-352.2,-400.5,-429.7,-322,-143.6,-216.1,-213,-306.1,-636.7,-209.4,-915,-856.9,-684.2,-1328.1,-950.3,-798.5,-848.3,-1062.1,-500.5,-1170.1,-725.2,-834.1,-2002.1,-826.6,-1589.2,-1286.6,-2150.3,-1605.1,-2393.5,-1614.2,-1389.4,-1138.4,-1288,-1182.4,-681.7,-3487.5,-2618,-3761.1,-3581,-4388,-6631.2,-6535.5
자본수지,-2.6,-8,-2.9,8.2,-1.6,-11,-14.9,1.1,18.2,-6.5,-2,0,-7.6,-3,3.5,-2.6,2.6,-4.3,-2.6,-6.3,11.2,-1.3,-1.1,-0.8,-4.2,-13,-1.7,-7.3,-8.7,-1.6,-15.3,-29.9,1.5,2.2,-5.4,18.8,0.2,-2.6,-2.3,-3.2,-5,1,-3,5.8,17.2,-9.1,-6.3,-35,-3.7,42.9,-2,-1.7,-26.4,-1.9,-32.1,17.1,-21.8,-1.2,-7.4,38.8,-31.1,-6.1,-13.3,1.7,47.7,11.8,-6.7,-6.7,-3.9,73.3,82.3,-9.5,146.1,-29.4,-14.8,5.4,-19.5,37.1,-2.4,-3.6,-0.6,-5.4,-14.7,-4.6,-2.7,-27.5,12.8,-9.6,-2.1,-4.3,3.6,-6.1,-22,-25.6,-26.2,13.6,-8.1,-7,13.9,-45,39.2,-60.4,-5.9,0.3,-17.7,52.8,62.7,218.9,-38.8,15.2,-9.6,-41.7,-27,-8.9,-60.2,-46.2,-26.8,316.7
