기간	자치구	동	세대	계	계	계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	동	세대	인구	남자	여자	인구	남자	여자	인구	남자	여자	세대당인구	65세이상고령자
2009.1/4	송파구	풍납2동	11,511	29,935	14,557	15,378	29,853	14,527	15,326	82	30	52	2.59	2,100
2009.1/4	송파구	거여1동	5,977	16,568	8,428	8,140	16,234	8,304	7,930	334	124	210	2.72	1,174
2009.1/4	송파구	거여2동	11,706	30,545	15,464	15,081	30,415	15,413	15,002	130	51	79	2.6	2,400
2009.1/4	송파구	마천1동	7,974	19,932	10,151	9,781	19,474	9,994	9,480	458	157	301	2.44	1,793
2009.1/4	송파구	마천2동	8,867	23,819	12,096	11,723	23,695	12,045	11,650	124	51	73	2.67	2,166
2009.1/4	송파구	방이1동	6,225	18,005	8,882	9,123	17,401	8,603	8,798	604	279	325	2.8	1,202
2009.1/4	송파구	방이2동	11,217	26,130	12,799	13,331	26,029	12,760	13,269	101	39	62	2.32	1,773
2009.1/4	송파구	오륜동	6,415	21,197	10,332	10,865	21,154	10,316	10,838	43	16	27	3.3	1,214
2009.1/4	송파구	오금동	14,365	39,777	19,857	19,920	39,466	19,701	19,765	311	156	155	2.75	2,959
2009.1/4	송파구	송파1동	11,612	28,478	13,692	14,786	27,781	13,365	14,416	697	327	370	2.39	1,931
2009.1/4	송파구	송파2동	7,002	20,924	10,320	10,604	20,847	10,287	10,560	77	33	44	2.98	1,393
2009.1/4	송파구	석촌동	16,061	36,872	18,109	18,763	36,012	17,702	18,310	860	407	453	2.24	2,404
2009.1/4	송파구	삼전동	15,566	35,434	17,012	18,422	35,044	16,847	18,197	390	165	225	2.25	2,064
2009.1/4	송파구	가락본동	11,561	30,643	15,262	15,381	29,924	14,923	15,001	719	339	380	2.59	1,948
2009.1/4	송파구	가락1동	6,444	15,996	7,862	8,134	15,964	7,847	8,117	32	15	17	2.48	1,122
2009.1/4	송파구	가락2동	12,575	36,557	18,112	18,445	36,435	18,055	18,380	122	57	65	2.9	2,080
2009.1/4	송파구	문정1동	8,476	23,344	11,470	11,874	22,955	11,295	11,660	389	175	214	2.71	1,585
2009.1/4	송파구	문정2동	5,587	16,675	8,162	8,513	16,626	8,138	8,488	49	24	25	2.98	1,693
2009.1/4	송파구	장지동	13,231	35,611	17,525	18,086	35,479	17,466	18,013	132	59	73	2.68	2,463
2009.1/4	송파구	잠실본동	14,267	32,249	15,293	16,956	31,272	14,851	16,421	977	442	535	2.19	1,911
2009.1/4	송파구	잠실4동	10,508	29,878	14,604	15,274	29,703	14,517	15,186	175	87	88	2.83	2,091
2009.1/4	송파구	잠실6동	5,951	17,467	8,432	9,035	17,453	8,425	9,028	14	7	7	2.93	1,432
