기간	자치구	동	세대	계	계	계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	동	세대	인구	남자	여자	인구	남자	여자	인구	남자	여자	세대당인구	65세이상고령자
2008.2/4	합계	합계	4,075,336	10,450,784	5,185,567	5,265,217	10,196,863	5,062,784	5,134,079	253,921	122,783	131,138	2.5	869,676
2008.2/4	종로구	합계	73,746	178,131	88,895	89,236	169,362	84,703	84,659	8,769	4,192	4,577	2.3	19,565
2008.2/4	종로구	청운동	1,661	4,829	2,459	2,370	4,681	2,396	2,285	148	63	85	2.82	509
2008.2/4	종로구	효자동	4,823	12,205	5,887	6,318	12,104	5,857	6,247	101	30	71	2.51	1,421
2008.2/4	종로구	사직동	4,274	10,113	4,818	5,295	9,597	4,548	5,049	516	270	246	2.25	1,301
2008.2/4	종로구	삼청동	1,736	3,948	1,915	2,033	3,808	1,838	1,970	140	77	63	2.19	586
2008.2/4	종로구	부암동	4,584	11,923	5,926	5,997	11,598	5,772	5,826	325	154	171	2.53	1,416
2008.2/4	종로구	평창동	7,014	19,760	9,592	10,168	19,384	9,408	9,976	376	184	192	2.76	2,246
2008.2/4	종로구	무악동	3,083	8,518	4,112	4,406	8,446	4,080	4,366	72	32	40	2.74	831
2008.2/4	종로구	교남동	4,378	9,354	4,558	4,796	9,120	4,449	4,671	234	109	125	2.08	1,047
2008.2/4	종로구	가회동	2,502	6,011	2,900	3,111	5,833	2,821	3,012	178	79	99	2.33	782
2008.2/4	종로구	종로1.2.3.4가동	4,350	8,493	4,727	3,766	7,145	4,033	3,112	1,348	694	654	1.64	1,184
2008.2/4	종로구	종로5·6가동	3,023	6,900	3,649	3,251	6,532	3,486	3,046	368	163	205	2.16	825
2008.2/4	종로구	이화동	4,520	10,512	5,096	5,416	9,549	4,635	4,914	963	461	502	2.11	923
2008.2/4	종로구	혜화동	5,620	12,950	6,281	6,669	12,292	5,995	6,297	658	286	372	2.19	1,235
2008.2/4	종로구	명륜3가동	3,715	7,376	3,996	3,380	6,760	3,722	3,038	616	274	342	1.82	782
2008.2/4	종로구	창신1동	3,452	8,504	4,342	4,162	7,058	3,635	3,423	1,446	707	739	2.04	793
2008.2/4	종로구	창신2동	5,032	12,375	6,274	6,101	11,936	6,069	5,867	439	205	234	2.37	1,205
2008.2/4	종로구	창신3동	3,166	8,772	4,437	4,335	8,691	4,402	4,289	81	35	46	2.75	799
2008.2/4	종로구	숭인1동	2,840	7,298	3,597	3,701	6,695	3,304	3,391	603	293	310	2.36	693
2008.2/4	종로구	숭인2동	3,973	8,290	4,329	3,961	8,133	4,253	3,880	157	76	81	2.05	987
2008.2/4	중구	합계	58,045	138,934	69,314	69,620	130,540	65,195	65,345	8,394	4,119	4,275	2.25	14,965
2008.2/4	중구	소공동	527	1,614	882	732	995	505	490	619	377	242	1.89	112
2008.2/4	중구	회현동	2,630	5,355	2,933	2,422	4,540	2,463	2,077	815	470	345	1.73	714
2008.2/4	중구	명동	1,301	3,420	1,601	1,819	2,804	1,231	1,573	616	370	246	2.16	446
2008.2/4	중구	필동	2,300	5,055	2,637	2,418	4,661	2,446	2,215	394	191	203	2.03	599
2008.2/4	중구	장충동	2,936	6,299	3,126	3,173	5,846	2,945	2,901	453	181	272	1.99	634
2008.2/4	중구	광희동	2,668	5,996	3,170	2,826	4,965	2,685	2,280	1,031	485	546	1.86	690
2008.2/4	중구	을지로동	1,193	1,957	1,138	819	1,835	1,084	751	122	54	68	1.54	316
2008.2/4	중구	신당1동	3,965	10,307	5,116	5,191	8,247	4,194	4,053	2,060	922	1,138	2.08	872
2008.2/4	중구	신당2동	7,070	16,980	8,371	8,609	16,702	8,239	8,463	278	132	146	2.36	1,674
2008.2/4	중구	신당3동	8,098	20,136	9,729	10,407	19,895	9,618	10,277	241	111	130	2.46	2,228
2008.2/4	중구	신당4동	6,408	16,473	7,995	8,478	16,300	7,920	8,380	173	75	98	2.54	1,741
2008.2/4	중구	신당5동	4,413	10,080	5,083	4,997	9,806	4,959	4,847	274	124	150	2.22	1,155
2008.2/4	중구	신당6동	4,647	12,025	5,895	6,130	11,847	5,817	6,030	178	78	100	2.55	1,190
2008.2/4	중구	황학동	4,293	9,914	5,042	4,872	9,132	4,665	4,467	782	377	405	2.13	1,038
2008.2/4	중구	중림동	5,596	13,323	6,596	6,727	12,965	6,424	6,541	358	172	186	2.32	1,556
2008.2/4	용산구	합계	105,612	249,475	122,775	126,700	236,737	116,121	120,616	12,738	6,654	6,084	2.22	26,345
2008.2/4	용산구	후암동	8,752	20,515	10,198	10,317	19,926	9,934	9,992	589	264	325	2.26	2,082
2008.2/4	용산구	용산2가동	5,799	14,045	7,040	7,005	13,132	6,507	6,625	913	533	380	2.25	1,502
2008.2/4	용산구	남영동	4,446	7,977	4,567	3,410	7,456	4,321	3,135	521	246	275	1.67	921
2008.2/4	용산구	원효로1동	4,645	10,653	5,376	5,277	10,186	5,155	5,031	467	221	246	2.16	1,023
2008.2/4	용산구	원효로2동	6,223	16,445	7,916	8,529	16,216	7,816	8,400	229	100	129	2.58	1,604
2008.2/4	용산구	효창동	4,126	10,690	5,251	5,439	10,549	5,189	5,360	141	62	79	2.53	1,131
2008.2/4	용산구	용문동	4,747	12,825	6,303	6,522	12,641	6,221	6,420	184	82	102	2.63	1,279
2008.2/4	용산구	이촌1동	9,877	28,787	13,742	15,045	26,862	12,672	14,190	1,925	1,070	855	2.69	2,856
2008.2/4	용산구	이촌2동	4,404	10,548	5,046	5,502	10,506	5,026	5,480	42	20	22	2.35	1,200
2008.2/4	용산구	이태원1동	4,355	10,370	5,094	5,276	8,523	4,032	4,491	1,847	1,062	785	1.95	1,174
2008.2/4	용산구	이태원2동	5,170	11,720	5,608	6,112	11,350	5,395	5,955	370	213	157	2.17	1,521
2008.2/4	용산구	서빙고동	4,804	11,880	5,790	6,090	11,377	5,543	5,834	503	247	256	2.35	1,543
2008.2/4	용산구	보광동	8,884	19,389	9,435	9,954	18,600	9,013	9,587	789	422	367	2.08	2,027
