기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2018.4/4	영등포구	영등포동	16,274	26,111	14,372	11,739	25,350	14,018	11,332	761	354	407	1.56	3,224
2018.4/4	영등포구	도림동	9,304	22,178	11,328	10,850	18,985	9,585	9,400	3,193	1,743	1,450	2.04	3,140
2018.4/4	영등포구	문래동	12,443	32,255	15,963	16,292	32,002	15,833	16,169	253	130	123	2.57	4,233
2018.4/4	동작구	소계	177,176	409,385	198,458	210,927	396,203	192,533	203,670	13,182	5,925	7,257	2.24	59,479
2018.4/4	동작구	노량진2동	7,200	14,307	7,335	6,972	13,203	6,767	6,436	1,104	568	536	1.83	2,518
2018.4/4	동작구	상도1동	21,007	48,317	23,386	24,931	46,169	22,544	23,625	2,148	842	1,306	2.2	6,334
2018.4/4	동작구	상도2동	12,024	27,767	13,326	14,441	27,341	13,159	14,182	426	167	259	2.27	3,973
2018.4/4	동작구	상도3동	11,647	26,181	12,602	13,579	25,735	12,391	13,344	446	211	235	2.21	4,001
2018.4/4	동작구	상도4동	13,205	30,264	14,859	15,405	29,836	14,670	15,166	428	189	239	2.26	4,511
2018.4/4	동작구	사당1동	12,639	24,064	11,548	12,516	23,359	11,203	12,156	705	345	360	1.85	3,357
2018.4/4	동작구	사당3동	10,758	26,762	13,021	13,741	26,435	12,872	13,563	327	149	178	2.46	4,092
2018.4/4	동작구	사당4동	6,889	15,091	7,238	7,853	14,875	7,135	7,740	216	103	113	2.16	2,353
2018.4/4	동작구	사당5동	5,716	13,207	6,430	6,777	13,055	6,368	6,687	152	62	90	2.28	1,935
2018.4/4	동작구	대방동	16,909	40,360	19,249	21,111	39,915	19,031	20,884	445	218	227	2.36	5,127
2018.4/4	동작구	신대방1동	9,866	27,214	13,310	13,904	24,244	11,686	12,558	2,970	1,624	1,346	2.46	3,372
2018.4/4	동작구	신대방2동	9,171	21,076	10,161	10,915	20,744	10,012	10,732	332	149	183	2.26	2,816
2018.4/4	동작구	흑석동	13,365	33,231	15,875	17,356	30,617	14,978	15,639	2,614	897	1,717	2.29	5,138
2018.4/4	동작구	노량진1동	14,838	32,802	16,257	16,545	32,444	16,097	16,347	358	160	198	2.19	5,198
2018.4/4	동작구	사당2동	11,942	28,742	13,861	14,881	28,231	13,620	14,611	511	241	270	2.36	4,754
2018.4/4	관악구	소계	262,222	520,040	260,742	259,298	501,957	252,160	249,797	18,083	8,582	9,501	1.91	72,249
2018.4/4	관악구	보라매동	12,042	26,398	12,921	13,477	25,230	12,371	12,859	1,168	550	618	2.1	4,028
2018.4/4	관악구	청림동	6,603	16,527	8,137	8,390	16,384	8,073	8,311	143	64	79	2.48	2,568
2018.4/4	관악구	행운동	16,795	30,438	14,776	15,662	29,876	14,552	15,324	562	224	338	1.78	3,987
