계정항목코드별,"M2(평잔,원계열)",양도성예금증서,매출어음,CMA,수익증권,건축,선행종합지수(2015=100),소비자물가등락률(%),제조업 재고율지수(2015=100%),상품수지(백만달러),경상수지(백만달러),연체율_기업대출,연체율_가계대출,주택담보대출 대출금리,잔액기준금리_가계대출_고정금리대출
2016. 05,2312801.2,20317.1,644.6,46375,177741.4,6028631,103,0.8,101.7,"10,237.70","10,491.00",1.2,0.4,3.53,32.9
2016. 06,2334256.2,20496.3,584.7,45897.7,179042.2,6982710,103.4,0.7,101.2,"12,413.10","12,409.70",1.1,0.3,3.5,33.5
2016. 07,2352245.1,19562.1,527.4,46300.5,183100.6,6128001,103.8,0.4,100.8,"10,486.80","8,831.80",1.3,0.3,3.48,34.1
2016. 08,2377323.1,20119.5,463,46362.6,185445,6355725,104.3,0.5,102.3,"6,791.00","5,410.10",1.4,0.4,3.44,34.7
2016. 09,2383040.5,19558.6,403.3,46669.1,184982.4,6424468,104.8,1.3,101.1,"9,894.60","7,517.50",1.3,0.3,3.43,34.6
2016. 10,2391059.2,20012.7,355.6,46312.5,185921.2,6750631,105.3,1.5,101.6,"8,874.90","7,476.80",1.3,0.3,3.42,34.6
2016. 11,2406393.5,20509.1,316.4,45447.5,184473.4,7361829,105.8,1.5,97.5,"9,453.10","7,873.30",1,0.3,3.44,34.6
2016. 12,2414040.9,21033.6,316.8,47118.3,181816.6,8268552,106.3,1.3,94.4,"8,702.60","7,361.50",0.8,0.3,3.48,34.5
2017. 01,2417807.6,21421.6,337.4,48642.2,181206,5815397,106.9,2.2,95.6,"6,687.50","3,401.70",0.8,0.3,3.56,34.5
2017. 02,2420285.6,21305.8,340.9,48322.2,178253.5,6161792,107.3,2.1,97.7,"9,432.30","7,438.60",0.9,0.3,3.55,34.5
2017. 03,2436994.7,20898.8,346.2,47951.4,178005.5,7529998,107.8,2.3,95.5,"8,579.60","5,140.30",0.8,0.3,3.6,34.7
2017. 04,2450220.9,20712.6,322.7,49921.4,175615.9,7425116,108.3,2,99.6,"10,925.80","3,184.00",0.9,0.3,3.62,34.7
2017. 05,2454386.7,22523.6,314.7,49797.2,174504,7374350,108.8,2,102.8,"7,675.60","4,262.10",0.9,0.3,3.63,34.6
2017. 06,2470861.1,24228.8,322.4,49507.6,175190.2,8277981,109.3,1.8,100,"8,702.40","7,008.90",0.7,0.3,3.59,34.7
2017. 07,2472110.4,25876.9,320.1,49358.3,176775.1,7488312,109.7,2.2,100.6,"9,920.70","7,467.40",0.7,0.3,3.61,34.5
2017. 08,2485629.9,26703.5,306,49046.4,176560.7,7522253,110.1,2.5,101.5,"8,647.30","6,139.40",0.8,0.3,3.59,34.5
2017. 09,2492388.2,26895.6,303.7,48485.8,180717.5,8049091,110.4,2,99.1,"14,522.70","12,337.70",0.7,0.3,3.62,34.2
2017. 10,2504594.2,26403.4,302.7,47856.9,179788,7150091,110.8,1.8,102.5,"9,417.90","6,890.00",0.7,0.3,3.62,33.9
2017. 11,2521786.3,25296.7,301.1,47010.5,179703.6,7894074,111.2,1.2,101.4,"11,165.60","7,474.30",0.7,0.3,3.62,33.5
2017. 12,2527641.3,25121.8,324.3,47834.6,183376.8,8711800,111.4,1.4,105.9,"7,915.50","4,486.50",0.6,0.2,3.67,33.2
2018. 01,2551196,25004.9,335.9,48604.1,183070.7,6864630,111.7,0.8,104.5,"7,338.00","2,556.90",0.7,0.3,3.74,32.9
2018. 02,2570764.6,24343,342.1,47668,183247.6,6186518,112,1.3,105.8,"4,793.30","3,226.70",0.7,0.3,3.77,32.7
2018. 03,2578361.8,24769.7,357.2,47823,184552.4,7174824,112.2,1.2,107.4,"9,216.50","5,210.40",0.9,0.3,3.77,32.1
2018. 04,2590840.7,24556.4,341.8,47265.4,188845.4,7561548,112.3,1.5,107.5,"9,402.20","1,490.40",0.9,0.3,3.79,31.7
2018. 05,2600274.3,25042.6,320.1,45023.6,186191.2,7384325,112.7,1.5,103.9,"10,550.20","8,792.30",1,0.3,3.75,31.2
