기간	자치구	동	성별	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)	인구이동(동별)
기간	자치구	동	성별	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	구내이동	구내이동	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동
기간	자치구	동	성별	총전입(⑦=①+③+⑤)	총전출(⑧=②+④+⑥)	전입(①)	전출(②)	전입(③)	전출(④)	전입(⑤)	전출(⑥)
2005	성동구	성수2가제3동	소계	2,375	2,765	487	632	1,129	1,301	759	832
2005	성동구	송정동	소계	2,321	3,065	267	241	1,293	1,873	761	951
2005	성동구	용답동	소계	2,458	3,166	238	215	1,428	1,945	792	1,006
2005	광진구	계	계	70,132	77,036	20,416	20,416	27,390	31,738	22,326	24,882
2005	광진구	노유제1동	소계	2,636	2,995	727	958	995	1,143	914	894
2005	광진구	노유제2동	소계	2,200	2,766	665	867	885	1,081	650	818
2005	광진구	화양동	소계	5,457	5,773	799	1,066	2,014	2,615	2,644	2,092
2005	광진구	군자동	소계	4,032	4,895	753	1,043	1,790	2,308	1,489	1,544
2005	광진구	중곡제1동	소계	3,617	4,081	1,151	1,171	1,443	1,705	1,023	1,205
2005	광진구	중곡제2동	소계	4,262	4,757	1,573	1,353	1,652	2,001	1,037	1,403
2005	광진구	중곡제3동	소계	3,643	4,204	1,045	944	1,673	2,109	925	1,151
2005	광진구	중곡제4동	소계	5,486	6,149	1,729	1,650	2,341	2,674	1,416	1,825
2005	광진구	능동	소계	2,537	2,810	776	845	970	1,112	791	853
2005	광진구	구의제1동	소계	5,233	5,479	1,500	1,399	1,897	2,081	1,836	1,999
2005	광진구	구의제2동	소계	4,435	4,575	1,447	1,299	1,718	1,676	1,270	1,600
2005	광진구	구의제3동	소계	5,917	6,296	1,838	1,531	2,308	2,690	1,771	2,075
2005	광진구	광장동	소계	5,808	5,902	1,288	1,268	2,488	2,546	2,032	2,088
2005	광진구	자양제1동	소계	5,001	5,314	1,741	1,696	1,622	1,885	1,638	1,733
2005	광진구	자양제2동	소계	4,926	5,489	1,696	1,603	1,732	2,023	1,498	1,863
2005	광진구	자양제3동	소계	4,942	5,551	1,688	1,723	1,862	2,089	1,392	1,739
2005	동대문구	계	계	76,336	75,764	24,404	24,404	31,038	29,630	20,894	21,730
2005	동대문구	신설동	소계	1,854	1,939	374	356	883	954	597	629
2005	동대문구	용두제1동	소계	1,738	2,302	429	784	734	874	575	644
2005	동대문구	용두제2동	소계	2,529	2,366	591	692	1,110	1,091	828	583
2005	동대문구	제기제1동	소계	2,327	2,676	680	806	963	1,139	684	731
2005	동대문구	제기제2동	소계	3,861	3,136	887	497	1,715	1,598	1,259	1,041
2005	동대문구	전농제1동	소계	2,988	2,509	1,286	870	1,134	928	568	711
2005	동대문구	전농제2동	소계	1,425	1,560	496	616	415	486	514	458
2005	동대문구	전농제3동	소계	3,197	3,993	1,245	1,476	1,198	1,586	754	931
2005	동대문구	전농제4동	소계	2,267	2,836	1,016	1,170	681	931	570	735
2005	동대문구	답십리제1동	소계	1,751	2,196	732	879	589	770	430	547
2005	동대문구	답십리제2동	소계	2,462	2,830	961	1,075	961	1,052	540	703
2005	동대문구	답십리제3동	소계	1,314	1,492	481	598	526	521	307	373
2005	동대문구	답십리제4동	소계	3,047	2,693	1,244	1,192	1,221	789	582	712
2005	동대문구	답십리제5동	소계	1,765	2,123	456	705	776	866	533	552
2005	동대문구	장안제1동	소계	3,870	3,427	1,269	1,299	1,681	1,223	920	905
2005	동대문구	장안제2동	소계	7,810	2,036	2,647	818	4,094	660	1,069	558
2005	동대문구	장안제3동	소계	3,566	3,129	972	1,086	1,811	1,173	783	870
2005	동대문구	장안제4동	소계	2,726	3,342	1,055	1,628	1,031	964	640	750
2005	동대문구	청량리제1동	소계	2,356	2,635	869	787	862	985	625	863
2005	동대문구	청량리제2동	소계	1,891	2,115	635	721	726	787	530	607
2005	동대문구	회기동	소계	2,742	2,930	773	802	847	1,135	1,122	993
2005	동대문구	휘경제1동	소계	3,566	4,009	1,127	1,166	1,179	1,580	1,260	1,263
2005	동대문구	휘경제2동	소계	4,419	4,784	1,386	1,419	1,620	1,799	1,413	1,566
2005	동대문구	이문제1동	소계	2,669	3,345	837	941	890	1,418	942	986
2005	동대문구	이문제2동	소계	4,303	4,768	1,165	1,300	1,313	1,823	1,825	1,645
