날짜,현재가,변동 %,,,
2017년 08월 20일,"2,378.51",0.85%,,,
2017년 08월 13일,"2,358.37",1.67%,,,
2017년 08월 06일,"2,319.71",-3.16%,,,
2017년 07월 30일,"2,395.45",-0.23%,,,
2017년 07월 23일,"2,400.99",-2.00%,,,
2017년 07월 16일,"2,450.06",1.47%,,,
2017년 07월 09일,"2,414.63",1.46%,,,
2017년 07월 02일,"2,379.87",-0.50%,,,
2017년 06월 25일,"2,391.79",0.55%,,,
2017년 06월 18일,"2,378.60",0.71%,,,
2017년 06월 11일,"2,361.83",-0.83%,,,
2017년 06월 04일,"2,381.69",0.42%,,,
2017년 05월 28일,"2,371.72",0.70%,,,
2017년 05월 21일,"2,355.30",2.92%,,,
2017년 05월 14일,"2,288.48",0.11%,,,
2017년 05월 07일,"2,286.02",2.00%,,,
2017년 04월 30일,"2,241.24",1.62%,,,
2017년 04월 23일,"2,205.44",1.87%,,,
2017년 04월 16일,"2,165.04",1.41%,,,
2017년 04월 09일,"2,134.88",-0.78%,,,
2017년 04월 02일,"2,151.73",-0.39%,,,
2017년 03월 26일,"2,160.23",-0.40%,,,
2017년 03월 19일,"2,168.95",0.20%,,,
2017년 03월 12일,"2,164.58",3.21%,,,
2017년 03월 05일,"2,097.35",0.89%,,,
2017년 02월 26일,"2,078.75",-0.73%,,,
2017년 02월 19일,"2,094.12",0.65%,,,
2017년 02월 12일,"2,080.58",0.27%,,,
2017년 02월 05일,"2,075.08",0.09%,,,
2017년 01월 29일,"2,073.16",-0.50%,,,
2017년 01월 22일,"2,083.59",0.87%,,,
2017년 01월 15일,"2,065.61",-0.54%,,,
2017년 01월 08일,"2,076.79",1.35%,,,
2017년 01월 01일,"2,049.12",1.12%,,,
2016년 12월 25일,"2,026.46",-0.46%,,,
2016년 12월 18일,"2,035.90",-0.31%,,,
2016년 12월 11일,"2,042.24",0.87%,,,
2016년 12월 04일,"2,024.69",2.74%,,,
2016년 11월 27일,"1,970.61",-0.19%,,,
2016년 11월 20일,"1,974.46",-0.01%,,,
2016년 11월 13일,"1,974.58",-0.50%,,,
2016년 11월 06일,"1,984.43",0.12%,,,
2016년 10월 30일,"1,982.02",-1.85%,,,
2016년 10월 23일,"2,019.42",-0.67%,,,
2016년 10월 16일,"2,033.00",0.51%,,,
2016년 10월 09일,"2,022.66",-1.52%,,,
2016년 10월 02일,"2,053.80",0.50%,,,
2016년 09월 25일,"2,043.63",-0.51%,,,
2016년 09월 18일,"2,054.07",2.74%,,,
2016년 09월 11일,"1,999.36",-1.89%,,,
2016년 09월 04일,"2,037.87",-0.02%,,,
2016년 08월 28일,"2,038.31",0.04%,,,
2016년 08월 21일,"2,037.50",-0.91%,,,
2016년 08월 14일,"2,056.24",0.28%,,,
2016년 08월 07일,"2,050.47",1.61%,,,
2016년 07월 31일,"2,017.94",0.09%,,,
2016년 07월 24일,"2,016.19",0.29%,,,
2016년 07월 17일,"2,010.34",-0.34%,,,
2016년 07월 10일,"2,017.26",2.76%,,,
2016년 07월 03일,"1,963.10",-1.22%,,,
2016년 06월 26일,"1,987.32",3.22%,,,
2016년 06월 19일,"1,925.24",-1.44%,,,
2016년 06월 12일,"1,953.40",-3.18%,,,
2016년 06월 05일,"2,017.63",1.60%,,,
2016년 05월 29일,"1,985.84",0.85%,,,
2016년 05월 22일,"1,969.17",1.10%,,,
2016년 05월 15일,"1,947.67",-0.98%,,,
2016년 05월 08일,"1,966.99",-0.49%,,,
2016년 05월 01일,"1,976.71",-0.87%,,,
2016년 04월 24일,"1,994.15",-1.06%,,,
2016년 04월 17일,"2,015.49",0.04%,,,
2016년 04월 10일,"2,014.71",2.16%,,,
