날짜,현재가,변동 %,,,
2009년 07월 12일,"1,440.10",0.80%,,,
2009년 07월 05일,"1,428.62",0.60%,,,
2009년 06월 28일,"1,420.04",1.83%,,,
2009년 06월 21일,"1,394.53",0.81%,,,
2009년 06월 14일,"1,383.34",-3.17%,,,
2009년 06월 07일,"1,428.59",2.43%,,,
2009년 05월 31일,"1,394.71",-0.08%,,,
2009년 05월 24일,"1,395.89",-0.56%,,,
2009년 05월 17일,"1,403.75",0.86%,,,
2009년 05월 10일,"1,391.73",-1.44%,,,
2009년 05월 03일,"1,412.13",3.12%,,,
2009년 04월 26일,"1,369.36",1.13%,,,
2009년 04월 19일,"1,354.10",1.89%,,,
2009년 04월 12일,"1,329.00",-0.53%,,,
2009년 04월 05일,"1,336.04",4.07%,,,
2009년 03월 29일,"1,283.75",3.74%,,,
2009년 03월 22일,"1,237.51",5.69%,,,
2009년 03월 15일,"1,170.94",3.99%,,,
2009년 03월 08일,"1,126.03",6.73%,,,
2009년 03월 01일,"1,055.03",-0.75%,,,
2009년 02월 22일,"1,063.03",-0.27%,,,
2009년 02월 15일,"1,065.95",-10.61%,,,
2009년 02월 08일,"1,192.44",-1.47%,,,
2009년 02월 01일,"1,210.26",4.14%,,,
2009년 01월 25일,"1,162.11",6.28%,,,
2009년 01월 18일,"1,093.40",-3.68%,,,
2009년 01월 11일,"1,135.20",-3.87%,,,
2009년 01월 04일,"1,180.96",2.04%,,,
2008년 12월 28일,"1,157.40",3.54%,,,
2008년 12월 21일,"1,117.86",-5.34%,,,
2008년 12월 14일,"1,180.97",6.99%,,,
2008년 12월 07일,"1,103.82",7.36%,,,
2008년 11월 30일,"1,028.13",-4.46%,,,
2008년 11월 23일,"1,076.07",7.21%,,,
2008년 11월 16일,"1,003.73",-7.77%,,,
2008년 11월 09일,"1,088.26",-4.07%,,,
2008년 11월 02일,"1,134.49",1.93%,,,
2008년 10월 26일,"1,113.06",18.57%,,,
2008년 10월 19일,938.75,-20.49%,,,
2008년 10월 12일,"1,180.67",-4.90%,,,
2008년 10월 05일,"1,241.47",-12.55%,,,
2008년 09월 28일,"1,419.65",-3.84%,,,
2008년 09월 21일,"1,476.33",1.41%,,,
2008년 09월 14일,"1,455.78",-1.50%,,,
2008년 09월 07일,"1,477.92",5.24%,,,
2008년 08월 31일,"1,404.38",-4.74%,,,
2008년 08월 24일,"1,474.24",-1.51%,,,
2008년 08월 17일,"1,496.91",-4.79%,,,
2008년 08월 10일,"1,572.19",0.22%,,,
2008년 08월 03일,"1,568.72",-0.32%,,,
2008년 07월 27일,"1,573.77",-1.51%,,,
2008년 07월 20일,"1,597.93",5.82%,,,
2008년 07월 13일,"1,509.99",-3.67%,,,
2008년 07월 06일,"1,567.51",-0.66%,,,
2008년 06월 29일,"1,577.94",-6.32%,,,
2008년 06월 22일,"1,684.45",-2.69%,,,
2008년 06월 15일,"1,731.00",-0.94%,,,
2008년 06월 08일,"1,747.35",-4.64%,,,
2008년 06월 01일,"1,832.31",-1.06%,,,
2008년 05월 25일,"1,852.02",1.32%,,,
2008년 05월 18일,"1,827.94",-3.23%,,,
2008년 05월 11일,"1,888.88",3.57%,,,
2008년 05월 04일,"1,823.70",-1.33%,,,
2008년 04월 27일,"1,848.27",1.29%,,,
2008년 04월 20일,"1,824.68",2.98%,,,
2008년 04월 13일,"1,771.90",-0.44%,,,
2008년 04월 06일,"1,779.71",0.75%,,,
2008년 03월 30일,"1,766.49",3.80%,,,
2008년 03월 23일,"1,701.83",3.41%,,,
2008년 03월 16일,"1,645.69",2.84%,,,
2008년 03월 09일,"1,600.26",-3.83%,,,
2008년 03월 02일,"1,663.97",-2.78%,,,
2008년 02월 24일,"1,711.62",1.49%,,,
2008년 02월 17일,"1,686.45",-0.49%,,,
2008년 02월 10일,"1,694.77",-0.11%,,,
2008년 02월 03일,"1,696.57",3.80%,,,
2008년 01월 27일,"1,634.53",-3.42%,,,
2008년 01월 20일,"1,692.41",-2.44%,,,
2008년 01월 13일,"1,734.72",-2.67%,,,
2008년 01월 06일,"1,782.27",-4.38%,,,
2007년 12월 30일,"1,863.90",-1.75%,,,
2007년 12월 23일,"1,897.13",1.00%,,,
2007년 12월 16일,"1,878.32",-0.88%,,,
2007년 12월 09일,"1,895.05",-2.03%,,,
2007년 12월 02일,"1,934.32",1.49%,,,
2007년 11월 25일,"1,906.00",7.51%,,,
2007년 11월 18일,"1,772.88",-7.96%,,,
2007년 11월 11일,"1,926.20",-3.23%,,,
2007년 11월 04일,"1,990.47",-1.43%,,,
2007년 10월 28일,"2,019.34",-0.43%,,,
2007년 10월 21일,"2,028.06",2.94%,,,
2007년 10월 14일,"1,970.10",-2.78%,,,
2007년 10월 07일,"2,026.44",1.52%,,,
2007년 09월 30일,"1,996.03",2.55%,,,
2007년 09월 23일,"1,946.48",1.42%,,,
2007년 09월 16일,"1,919.26",2.63%,,,
2007년 09월 09일,"1,870.02",-0.79%,,,
2007년 09월 02일,"1,884.90",0.62%,,,
2007년 08월 26일,"1,873.24",4.57%,,,
2007년 08월 19일,"1,791.33",9.36%,,,
2007년 08월 12일,"1,638.07",-10.41%,,,
2007년 08월 05일,"1,828.49",-2.57%,,,
2007년 07월 29일,"1,876.80",-0.34%,,,
2007년 07월 22일,"1,883.22",-5.06%,,,
2007년 07월 15일,"1,983.54",1.05%,,,
2007년 07월 08일,"1,962.93",5.48%,,,
2007년 07월 01일,"1,861.01",6.73%,,,
2007년 06월 24일,"1,743.60",-1.55%,,,
2007년 06월 17일,"1,770.98",-0.07%,,,
2007년 06월 10일,"1,772.26",2.60%,,,
2007년 06월 03일,"1,727.28",0.64%,,,
2007년 05월 27일,"1,716.24",4.36%,,,
2007년 05월 20일,"1,644.56",2.00%,,,
2007년 05월 13일,"1,612.25",0.54%,,,
2007년 05월 06일,"1,603.56",2.28%,,,
2007년 04월 29일,"1,567.74",1.63%,,,
2007년 04월 22일,"1,542.52",0.62%,,,
2007년 04월 15일,"1,533.08",0.81%,,,
2007년 04월 08일,"1,520.78",2.47%,,,
2007년 04월 01일,"1,484.15",2.18%,,,
2007년 03월 25일,"1,452.55",0.36%,,,
2007년 03월 18일,"1,447.38",1.37%,,,
2007년 03월 11일,"1,427.88",0.30%,,,
2007년 03월 04일,"1,423.58",0.64%,,,
2007년 02월 25일,"1,414.47",-3.77%,,,
2007년 02월 18일,"1,469.88",1.45%,,,
2007년 02월 11일,"1,448.81",1.48%,,,
2007년 02월 04일,"1,427.68",1.03%,,,
2007년 01월 28일,"1,413.14",3.05%,,,
2007년 01월 21일,"1,371.33",0.79%,,,
2007년 01월 14일,"1,360.56",-2.00%,,,
2007년 01월 07일,"1,388.37",0.19%,,,
2006년 12월 31일,"1,385.76",-3.40%,,,
2006년 12월 24일,"1,434.46",-0.21%,,,
2006년 12월 17일,"1,437.49",1.10%,,,
2006년 12월 10일,"1,421.87",2.26%,,,
2006년 12월 03일,"1,390.43",-3.06%,,,
2006년 11월 26일,"1,434.36",0.89%,,,
2006년 11월 19일,"1,421.73",0.67%,,,
2006년 11월 12일,"1,412.22",1.18%,,,
2006년 11월 05일,"1,395.73",0.86%,,,
2006년 10월 29일,"1,383.88",1.08%,,,
2006년 10월 22일,"1,369.09",0.36%,,,
2006년 10월 15일,"1,364.24",1.16%,,,
2006년 10월 08일,"1,348.60",-0.25%,,,
2006년 10월 01일,"1,352.00",-1.42%,,,
2006년 09월 24일,"1,371.41",1.71%,,,
2006년 09월 17일,"1,348.38",-0.93%,,,
2006년 09월 10일,"1,361.10",0.46%,,,
2006년 09월 03일,"1,354.89",-0.13%,,,
2006년 08월 27일,"1,356.67",2.06%,,,
2006년 08월 20일,"1,329.35",-0.13%,,,
2006년 08월 13일,"1,331.10",3.02%,,,
2006년 08월 06일,"1,292.10",-0.95%,,,
2006년 07월 30일,"1,304.51",0.57%,,,
2006년 07월 23일,"1,297.07",2.02%,,,
2006년 07월 16일,"1,271.33",1.29%,,,
2006년 07월 09일,"1,255.13",-1.48%,,,
2006년 07월 02일,"1,273.93",-1.64%,,,
2006년 06월 25일,"1,295.15",5.42%,,,
2006년 06월 18일,"1,228.62",-2.66%,,,
2006년 06월 11일,"1,262.19",2.15%,,,
2006년 06월 04일,"1,235.65",-5.61%,,,
2006년 05월 28일,"1,309.04",-1.01%,,,
2006년 05월 21일,"1,322.43",-3.63%,,,
2006년 05월 14일,"1,372.29",-5.04%,,,
2006년 05월 07일,"1,445.20",0.29%,,,
2006년 04월 30일,"1,441.02",1.50%,,,
2006년 04월 23일,"1,419.73",-2.18%,,,
2006년 04월 16일,"1,451.31",1.30%,,,
2006년 04월 09일,"1,432.72",2.16%,,,
2006년 04월 02일,"1,402.36",3.15%,,,
2006년 03월 26일,"1,359.60",2.90%,,,
2006년 03월 19일,"1,321.23",-1.48%,,,
2006년 03월 12일,"1,341.12",1.59%,,,
2006년 03월 05일,"1,320.07",-0.67%,,,
2006년 02월 26일,"1,328.95",-2.70%,,,
2006년 02월 19일,"1,365.82",2.48%,,,
2006년 02월 12일,"1,332.73",-0.19%,,,
2006년 02월 05일,"1,335.23",0.13%,,,
2006년 01월 29일,"1,333.50",-3.69%,,,
2006년 01월 22일,"1,384.56",4.51%,,,
2006년 01월 15일,"1,324.78",-6.46%,,,
2006년 01월 08일,"1,416.28",0.25%,,,
2006년 01월 01일,"1,412.78",2.42%,,,
