기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
1972	서울특별시	8월	합계	93,423	84,391	67,159	…	…	…	26,264	17,232	9,032
1972	서울특별시	8월	남자	49,170	44,819	35,181	…	…	…	13,989	9,638	4,351
1972	서울특별시	8월	여자	44,253	39,572	31,978	…	…	…	12,275	7,594	4,681
1972	서울특별시	9월	합계	101,576	93,152	74,226	…	…	…	27,350	18,926	8,424
1972	서울특별시	9월	남자	52,551	48,566	37,930	…	…	…	14,621	10,636	3,985
1972	서울특별시	9월	여자	49,025	44,586	36,296	…	…	…	12,729	8,290	4,439
1972	서울특별시	10월	합계	117,985	112,232	91,356	…	…	…	26,629	20,876	5,753
1972	서울특별시	10월	남자	60,787	58,460	46,665	…	…	…	14,122	11,795	2,327
1972	서울특별시	10월	여자	57,198	53,772	44,691	…	…	…	12,507	9,081	3,426
1972	서울특별시	11월	합계	122,264	117,344	95,089	…	…	…	27,175	22,255	4,920
1972	서울특별시	11월	남자	62,609	60,781	48,691	…	…	…	13,918	12,090	1,828
1972	서울특별시	11월	여자	59,655	56,563	46,398	…	…	…	13,257	10,165	3,092
1972	서울특별시	12월	합계	96,110	88,814	70,959	…	…	…	25,151	17,855	7,296
1972	서울특별시	12월	남자	48,630	45,448	35,843	…	…	…	12,787	9,605	3,182
1972	서울특별시	12월	여자	47,480	43,366	35,116	…	…	…	12,364	8,250	4,114
1973	서울특별시	합계	합계	1,831,858	1,647,268	1,345,508	…	…	…	486,350	301,760	184,590
1973	서울특별시	합계	남자	947,358	854,352	688,713	…	…	…	258,645	165,639	93,006
1973	서울특별시	합계	여자	884,500	792,916	656,795	…	…	…	227,705	136,121	91,584
1973	서울특별시	1월	합계	138,184	126,499	103,353	…	…	…	34,831	23,146	11,685
1973	서울특별시	1월	남자	70,630	64,720	52,427	…	…	…	18,203	12,293	5,910
1973	서울특별시	1월	여자	67,554	61,779	50,926	…	…	…	16,628	10,853	5,775
1973	서울특별시	2월	합계	169,238	146,936	115,862	…	…	…	53,376	31,074	22,302
1973	서울특별시	2월	남자	86,368	75,370	58,890	…	…	…	27,478	16,480	10,998
1973	서울특별시	2월	여자	82,870	71,566	56,972	…	…	…	25,898	14,594	11,304
