기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2019.3/4	합계	합계	4,315,921	10,025,927	4,887,068	5,138,859	9,740,398	4,751,696	4,988,702	285,529	135,372	150,157	2.26	1,468,146
2019.3/4	종로구	소계	73,942	162,860	78,523	84,337	151,767	73,952	77,815	11,093	4,571	6,522	2.05	27,394
2019.3/4	종로구	사직동	4,557	9,700	4,375	5,325	9,415	4,215	5,200	285	160	125	2.07	1,773
2019.3/4	종로구	삼청동	1,397	3,013	1,443	1,570	2,771	1,327	1,444	242	116	126	1.98	650
2019.3/4	종로구	부암동	4,268	10,525	5,002	5,523	10,017	4,765	5,252	508	237	271	2.35	1,754
2019.3/4	종로구	평창동	7,518	18,830	8,817	10,013	18,677	8,743	9,934	153	74	79	2.48	3,220
2019.3/4	종로구	무악동	3,177	8,745	4,078	4,667	8,697	4,060	4,637	48	18	30	2.74	1,402
2019.3/4	종로구	교남동	4,581	10,779	5,021	5,758	10,624	4,945	5,679	155	76	79	2.32	1,558
2019.3/4	종로구	가회동	2,056	4,487	2,090	2,397	4,380	2,029	2,351	107	61	46	2.13	916
2019.3/4	종로구	종로1.2.3.4가동	5,275	8,630	4,955	3,675	7,331	4,370	2,961	1,299	585	714	1.39	1,916
2019.3/4	종로구	종로5·6가동	3,231	5,717	3,142	2,575	5,215	2,873	2,342	502	269	233	1.61	1,102
2019.3/4	종로구	이화동	4,473	8,566	3,939	4,627	7,924	3,735	4,189	642	204	438	1.77	1,368
2019.3/4	종로구	창신1동	2,937	6,098	3,268	2,830	5,248	2,821	2,427	850	447	403	1.79	1,216
2019.3/4	종로구	창신2동	4,119	9,825	4,996	4,829	8,613	4,410	4,203	1,212	586	626	2.09	1,701
2019.3/4	종로구	창신3동	2,898	7,322	3,606	3,716	7,163	3,532	3,631	159	74	85	2.47	1,197
