"행정구역","2008년01월_총인구수","2008년01월_세대수","2008년01월_세대당 인구","2008년02월_총인구수","2008년02월_세대수","2008년02월_세대당 인구","2008년03월_총인구수","2008년03월_세대수","2008년03월_세대당 인구","2008년04월_총인구수","2008년04월_세대수","2008년04월_세대당 인구","2008년05월_총인구수","2008년05월_세대수","2008년05월_세대당 인구","2008년06월_총인구수","2008년06월_세대수","2008년06월_세대당 인구","2008년07월_총인구수","2008년07월_세대수","2008년07월_세대당 인구","2008년08월_총인구수","2008년08월_세대수","2008년08월_세대당 인구","2008년09월_총인구수","2008년09월_세대수","2008년09월_세대당 인구","2008년10월_총인구수","2008년10월_세대수","2008년10월_세대당 인구","2008년11월_총인구수","2008년11월_세대수","2008년11월_세대당 인구","2008년12월_총인구수","2008년12월_세대수","2008년12월_세대당 인구","2009년01월_총인구수","2009년01월_세대수","2009년01월_세대당 인구","2009년02월_총인구수","2009년02월_세대수","2009년02월_세대당 인구","2009년03월_총인구수","2009년03월_세대수","2009년03월_세대당 인구","2009년04월_총인구수","2009년04월_세대수","2009년04월_세대당 인구","2009년05월_총인구수","2009년05월_세대수","2009년05월_세대당 인구","2009년06월_총인구수","2009년06월_세대수","2009년06월_세대당 인구","2009년07월_총인구수","2009년07월_세대수","2009년07월_세대당 인구","2009년08월_총인구수","2009년08월_세대수","2009년08월_세대당 인구","2009년09월_총인구수","2009년09월_세대수","2009년09월_세대당 인구","2009년10월_총인구수","2009년10월_세대수","2009년10월_세대당 인구","2009년11월_총인구수","2009년11월_세대수","2009년11월_세대당 인구","2009년12월_총인구수","2009년12월_세대수","2009년12월_세대당 인구","2010년01월_총인구수","2010년01월_세대수","2010년01월_세대당 인구","2010년02월_총인구수","2010년02월_세대수","2010년02월_세대당 인구","2010년03월_총인구수","2010년03월_세대수","2010년03월_세대당 인구","2010년04월_총인구수","2010년04월_세대수","2010년04월_세대당 인구","2010년05월_총인구수","2010년05월_세대수","2010년05월_세대당 인구","2010년06월_총인구수","2010년06월_세대수","2010년06월_세대당 인구","2010년07월_총인구수","2010년07월_세대수","2010년07월_세대당 인구","2010년08월_총인구수","2010년08월_세대수","2010년08월_세대당 인구","2010년09월_총인구수","2010년09월_세대수","2010년09월_세대당 인구","2010년10월_총인구수","2010년10월_세대수","2010년10월_세대당 인구","2010년11월_총인구수","2010년11월_세대수","2010년11월_세대당 인구","2010년12월_총인구수","2010년12월_세대수","2010년12월_세대당 인구"
"전국  (0000000000000)","49,297,732","18,721,576","      2.63","49,329,973","18,758,432","      2.63","49,324,670","18,769,915","      2.63","49,355,153","18,800,520","      2.63","49,380,296","18,825,958","      2.62","49,387,462","18,843,468","      2.62","49,416,162","18,874,775","      2.62","49,441,742","18,901,557","      2.62","49,469,003","18,933,297","      2.61","49,495,874","18,965,400","      2.61","49,516,085","18,988,564","      2.61","49,540,367","19,005,339","      2.61","49,552,045","19,002,793","      2.61","49,577,741","19,035,367","      2.60","49,596,381","19,053,290","      2.60","49,593,665","19,051,754","      2.60","49,618,780","19,072,645","      2.60","49,642,216","19,103,524","      2.60","49,665,471","19,132,048","      2.60","49,688,156","19,160,503","      2.59","49,711,355","19,192,676","      2.59","49,736,280","19,222,752","      2.59","49,759,141","19,247,090","      2.59","49,773,145","19,261,292","      2.58","49,810,609","19,286,364","      2.58","49,835,331","19,310,612","      2.58","49,862,894","19,333,457","      2.58","49,889,125","19,355,075","      2.58","49,913,379","19,372,533","      2.58","49,934,126","19,388,588","      2.58","49,955,240","19,403,604","      2.57","49,976,963","19,423,315","      2.57","50,001,273","19,437,869","      2.57","50,475,351","19,845,601","      2.54","50,495,462","19,857,428","      2.54","50,515,666","19,865,179","      2.54"
"서울특별시  (1100000000)","10,201,656","4,054,493","      2.52","10,212,056","4,063,444","      2.51","10,206,136","4,064,117","      2.51","10,206,862","4,070,294","      2.51","10,204,867","4,074,917","      2.50","10,196,863","4,075,336","      2.50","10,196,644","4,080,453","      2.50","10,197,320","4,084,567","      2.50","10,198,705","4,089,495","      2.49","10,200,440","4,094,350","      2.49","10,199,174","4,096,637","      2.49","10,200,827","4,097,562","      2.49","10,207,304","4,097,606","      2.49","10,221,170","4,105,460","      2.49","10,225,908","4,107,632","      2.49","10,218,707","4,101,230","      2.49","10,222,778","4,103,180","      2.49","10,226,685","4,106,591","      2.49","10,229,471","4,109,330","      2.49","10,230,476","4,113,510","      2.49","10,228,160","4,116,591","      2.48","10,224,788","4,119,041","      2.48","10,217,035","4,118,444","      2.48","10,208,302","4,116,660","      2.48","10,213,153","4,120,522","      2.48","10,214,085","4,123,243","      2.48","10,208,670","4,121,193","      2.48","10,203,549","4,119,628","      2.48","10,197,997","4,117,385","      2.48","10,194,327","4,116,225","      2.48","10,191,949","4,115,216","      2.48","10,189,598","4,115,724","      2.48","10,186,556","4,114,216","      2.48","10,328,915","4,231,995","      2.44","10,319,500","4,227,785","      2.44","10,312,545","4,224,181","      2.44"
"부산광역시  (2600000000)","3,587,154","1,302,391","      2.75","3,585,593","1,304,171","      2.75","3,580,784","1,303,348","      2.75","3,579,486","1,304,963","      2.74","3,577,179","1,305,456","      2.74","3,573,520","1,305,575","      2.74","3,572,177","1,306,862","      2.73","3,571,113","1,307,764","      2.73","3,570,292","1,308,991","      2.73","3,568,314","1,310,342","      2.72","3,566,639","1,311,302","      2.72","3,564,577","1,311,724","      2.72","3,562,642","1,310,710","      2.72","3,562,040","1,313,050","      2.71","3,560,925","1,314,555","      2.71","3,555,949","1,313,045","      2.71","3,554,770","1,314,508","      2.70","3,553,483","1,316,378","      2.70","3,551,777","1,317,919","      2.69","3,550,445","1,319,384","      2.69","3,549,442","1,321,022","      2.69","3,548,189","1,322,677","      2.68","3,546,127","1,323,704","      2.68","3,543,030","1,323,771","      2.68","3,542,631","1,325,267","      2.67","3,541,701","1,326,820","      2.67","3,539,345","1,327,498","      2.67","3,537,482","1,328,630","      2.66","3,535,620","1,329,358","      2.66","3,534,822","1,330,551","      2.66","3,534,094","1,331,626","      2.65","3,532,906","1,332,804","      2.65","3,532,335","1,333,622","      2.65","3,572,497","1,371,410","      2.60","3,570,381","1,371,751","      2.60","3,567,910","1,371,346","      2.60"
"대구광역시  (2700000000)","2,494,690","885,410","      2.82","2,495,863","886,796","      2.81","2,492,589","886,308","      2.81","2,492,844","887,087","      2.81","2,492,893","887,599","      2.81","2,491,589","887,349","      2.81","2,492,048","888,625","      2.80","2,492,697","889,848","      2.80","2,493,335","891,440","      2.80","2,493,479","892,849","      2.79","2,494,041","894,280","      2.79","2,492,724","894,969","      2.79","2,493,192","895,374","      2.78","2,494,446","897,472","      2.78","2,494,030","898,598","      2.78","2,491,901","897,593","      2.78","2,491,566","898,542","      2.77","2,491,478","899,997","      2.77","2,491,579","901,531","      2.76","2,491,856","902,921","      2.76","2,492,401","904,304","      2.76","2,492,960","905,890","      2.75","2,492,917","906,779","      2.75","2,489,781","906,470","      2.75","2,491,683","907,991","      2.74","2,492,118","909,208","      2.74","2,490,791","909,443","      2.74","2,489,935","910,126","      2.74","2,489,585","910,768","      2.73","2,490,724","911,797","      2.73","2,490,870","912,516","      2.73","2,491,206","913,539","      2.73","2,492,042","914,373","      2.73","2,512,923","933,966","      2.69","2,512,684","934,494","      2.69","2,511,676","934,598","      2.69"
"인천광역시  (2800000000)","2,668,424","997,976","      2.67","2,672,234","1,000,370","      2.67","2,674,242","1,001,175","      2.67","2,678,797","1,003,780","      2.67","2,681,953","1,005,724","      2.67","2,684,524","1,007,585","      2.66","2,687,508","1,009,869","      2.66","2,688,542","1,011,078","      2.66","2,689,531","1,012,444","      2.66","2,689,737","1,013,104","      2.65","2,690,513","1,013,834","      2.65","2,692,696","1,014,755","      2.65","2,693,123","1,014,274","      2.66","2,693,408","1,015,152","      2.65","2,694,708","1,015,562","      2.65","2,693,722","1,014,383","      2.66","2,695,783","1,015,846","      2.65","2,697,339","1,017,397","      2.65","2,699,001","1,018,860","      2.65","2,700,791","1,020,317","      2.65","2,703,325","1,022,386","      2.64","2,706,114","1,024,473","      2.64","2,708,884","1,026,305","      2.64","2,710,579","1,026,936","      2.64","2,714,309","1,028,849","      2.64","2,716,783","1,030,316","      2.64","2,718,704","1,030,635","      2.64","2,720,738","1,031,821","      2.64","2,722,708","1,032,900","      2.64","2,724,315","1,033,964","      2.63","2,725,973","1,034,876","      2.63","2,727,366","1,035,986","      2.63","2,728,709","1,036,696","      2.63","2,754,569","1,058,472","      2.60","2,756,076","1,059,122","      2.60","2,758,296","1,059,664","      2.60"
"광주광역시  (2900000000)","1,414,877","504,514","      2.80","1,416,514","505,337","      2.80","1,415,682","505,326","      2.80","1,416,303","505,888","      2.80","1,416,751","506,327","      2.80","1,417,096","506,956","      2.80","1,418,387","508,108","      2.79","1,419,651","508,972","      2.79","1,420,770","510,116","      2.79","1,421,879","511,325","      2.78","1,422,584","512,052","      2.78","1,422,702","513,021","      2.77","1,423,519","512,952","      2.78","1,424,862","514,167","      2.77","1,425,103","514,772","      2.77","1,425,334","515,049","      2.77","1,426,498","515,900","      2.77","1,427,194","517,135","      2.76","1,428,595","518,685","      2.75","1,429,974","519,842","      2.75","1,431,675","521,740","      2.74","1,432,465","522,411","      2.74","1,433,389","523,242","      2.74","1,433,640","524,093","      2.74","1,435,300","524,774","      2.74","1,436,506","525,757","      2.73","1,436,323","526,105","      2.73","1,436,374","526,486","      2.73","1,437,314","527,307","      2.73","1,439,031","528,185","      2.72","1,440,381","528,968","      2.72","1,442,029","529,909","      2.72","1,443,391","530,853","      2.72","1,453,494","539,383","      2.69","1,454,784","540,221","      2.69","1,454,636","540,875","      2.69"
"대전광역시  (3000000000)","1,476,476","526,393","      2.80","1,477,556","527,121","      2.80","1,476,338","526,884","      2.80","1,477,032","527,496","      2.80","1,477,420","527,917","      2.80","1,477,153","527,995","      2.80","1,478,285","528,616","      2.80","1,479,584","529,355","      2.80","1,479,824","529,990","      2.79","1,480,444","530,811","      2.79","1,480,967","531,466","      2.79","1,480,895","531,682","      2.79","1,481,516","531,775","      2.79","1,481,851","532,856","      2.78","1,482,240","533,292","      2.78","1,481,512","532,910","      2.78","1,481,825","533,377","      2.78","1,482,157","534,204","      2.77","1,482,636","534,934","      2.77","1,484,172","536,058","      2.77","1,484,719","536,961","      2.77","1,485,041","537,662","      2.76","1,485,291","538,174","      2.76","1,484,180","538,100","      2.76","1,484,849","538,866","      2.76","1,485,820","539,689","      2.75","1,486,922","540,978","      2.75","1,487,266","541,598","      2.75","1,487,985","542,177","      2.74","1,488,152","542,390","      2.74","1,488,909","542,997","      2.74","1,490,147","543,836","      2.74","1,490,950","544,471","      2.74","1,502,476","554,760","      2.71","1,503,563","555,421","      2.71","1,503,664","555,768","      2.71"
"울산광역시  (3100000000)","1,101,448","381,843","      2.88","1,102,917","382,870","      2.88","1,103,247","383,509","      2.88","1,104,556","384,450","      2.87","1,105,655","385,159","      2.87","1,106,051","385,442","      2.87","1,107,260","386,268","      2.87","1,108,356","387,200","      2.86","1,109,295","388,011","      2.86","1,110,740","388,876","      2.86","1,111,492","389,310","      2.86","1,112,407","389,735","      2.85","1,112,579","389,634","      2.86","1,112,502","390,282","      2.85","1,112,790","390,906","      2.85","1,112,664","390,851","      2.85","1,113,192","391,430","      2.84","1,113,761","392,031","      2.84","1,114,164","392,552","      2.84","1,114,265","392,976","      2.84","1,114,357","393,306","      2.83","1,114,748","393,792","      2.83","1,115,110","394,309","      2.83","1,114,866","394,364","      2.83","1,115,625","394,972","      2.82","1,115,138","395,224","      2.82","1,114,829","395,663","      2.82","1,115,174","396,135","      2.82","1,115,806","396,915","      2.81","1,116,189","397,402","      2.81","1,116,589","397,701","      2.81","1,116,798","397,998","      2.81","1,117,166","398,374","      2.80","1,124,250","404,547","      2.78","1,125,152","405,043","      2.78","1,126,298","405,501","      2.78"
"경기도  (4100000000)","11,122,132","4,192,984","      2.65","11,138,154","4,202,192","      2.65","11,144,564","4,204,362","      2.65","11,164,324","4,214,771","      2.65","11,182,935","4,224,675","      2.65","11,194,861","4,231,393","      2.65","11,212,042","4,241,665","      2.64","11,228,502","4,251,427","      2.64","11,244,759","4,261,760","      2.64","11,261,364","4,272,292","      2.64","11,276,397","4,280,197","      2.63","11,292,264","4,284,475","      2.64","11,300,278","4,283,844","      2.64","11,314,204","4,290,863","      2.64","11,320,860","4,289,568","      2.64","11,335,127","4,295,282","      2.64","11,347,524","4,299,820","      2.64","11,359,140","4,306,247","      2.64","11,372,226","4,313,111","      2.64","11,386,340","4,321,512","      2.63","11,402,705","4,332,099","      2.63","11,419,314","4,341,829","      2.63","11,439,405","4,352,141","      2.63","11,460,610","4,359,467","      2.63","11,484,241","4,370,068","      2.63","11,506,199","4,379,970","      2.63","11,530,894","4,389,044","      2.63","11,551,813","4,397,904","      2.63","11,571,684","4,405,757","      2.63","11,589,717","4,413,120","      2.63","11,606,318","4,419,637","      2.63","11,623,584","4,427,169","      2.63","11,639,429","4,433,136","      2.63","11,747,198","4,516,834","      2.60","11,766,189","4,522,713","      2.60","11,786,622","4,527,282","      2.60"
"강원도  (4200000000)","1,503,425","595,111","      2.53","1,503,656","596,425","      2.52","1,503,459","597,641","      2.52","1,503,995","598,960","      2.51","1,504,619","600,063","      2.51","1,505,842","601,594","      2.50","1,506,425","602,580","      2.50","1,506,605","603,187","      2.50","1,507,200","604,201","      2.49","1,507,620","605,201","      2.49","1,508,263","606,317","      2.49","1,508,575","606,950","      2.49","1,507,799","606,401","      2.49","1,507,016","607,061","      2.48","1,508,858","609,786","      2.47","1,508,734","610,132","      2.47","1,509,035","610,763","      2.47","1,509,484","612,079","      2.47","1,509,860","612,929","      2.46","1,510,371","613,815","      2.46","1,510,674","614,706","      2.46","1,511,290","615,726","      2.45","1,512,003","616,746","      2.45","1,512,870","617,693","      2.45","1,512,088","617,461","      2.45","1,511,079","617,789","      2.45","1,512,483","620,378","      2.44","1,512,825","621,302","      2.43","1,513,135","621,994","      2.43","1,513,116","622,617","      2.43","1,513,147","623,042","      2.43","1,514,378","624,593","      2.42","1,515,439","625,530","      2.42","1,529,231","638,207","      2.40","1,529,839","639,016","      2.39","1,529,818","639,001","      2.39"
