"행정구역(시군구)별","이동규모별","항목","단위","2019. 04 월",
"전국","계","총전입","건","394600",
"전국","계","총전출","건","394600",
"전국","계","순이동","건","0",
"전국","계","시도내-시군구내이동","건","129791",
"전국","계","시도내-시군구간전입","건","114605",
"전국","계","시도내-시군구간전출","건","114605",
"전국","계","시도간전입","건","150204",
"전국","계","시도간전출","건","150204",
"전국","1인","총전입","건","290692",
"전국","1인","총전출","건","290692",
"전국","1인","순이동","건","0",
"전국","1인","시도내-시군구내이동","건","79214",
"전국","1인","시도내-시군구간전입","건","84728",
"전국","1인","시도내-시군구간전출","건","84728",
"전국","1인","시도간전입","건","126750",
"전국","1인","시도간전출","건","126750",
"전국","2인","총전입","건","47290",
"전국","2인","총전출","건","47290",
"전국","2인","순이동","건","0",
"전국","2인","시도내-시군구내이동","건","20647",
"전국","2인","시도내-시군구간전입","건","13950",
"전국","2인","시도내-시군구간전출","건","13950",
"전국","2인","시도간전입","건","12693",
"전국","2인","시도간전출","건","12693",
"전국","3인","총전입","건","30669",
"전국","3인","총전출","건","30669",
"전국","3인","순이동","건","0",
"전국","3인","시도내-시군구내이동","건","15527",
"전국","3인","시도내-시군구간전입","건","8890",
"전국","3인","시도내-시군구간전출","건","8890",
"전국","3인","시도간전입","건","6252",
"전국","3인","시도간전출","건","6252",
"전국","4인","총전입","건","20861",
"전국","4인","총전출","건","20861",
"전국","4인","순이동","건","0",
"전국","4인","시도내-시군구내이동","건","11406",
"전국","4인","시도내-시군구간전입","건","5768",
"전국","4인","시도내-시군구간전출","건","5768",
"전국","4인","시도간전입","건","3687",
"전국","4인","시도간전출","건","3687",
"전국","5인","총전입","건","4221",
"전국","5인","총전출","건","4221",
"전국","5인","순이동","건","0",
"전국","5인","시도내-시군구내이동","건","2492",
"전국","5인","시도내-시군구간전입","건","1056",
"전국","5인","시도내-시군구간전출","건","1056",
"전국","5인","시도간전입","건","673",
"전국","5인","시도간전출","건","673",
"전국","6인","총전입","건","683",
"전국","6인","총전출","건","683",
"전국","6인","순이동","건","0",
