"행정구역(시군구)별","이동규모별","항목","단위","2019. 12 월",
"전국","계","총전입","건","432893",
"전국","계","총전출","건","432893",
"전국","계","순이동","건","0",
"전국","계","시도내-시군구내이동","건","133562",
"전국","계","시도내-시군구간전입","건","125973",
"전국","계","시도내-시군구간전출","건","125973",
"전국","계","시도간전입","건","173358",
"전국","계","시도간전출","건","173358",
"전국","1인","총전입","건","320682",
"전국","1인","총전출","건","320682",
"전국","1인","순이동","건","0",
"전국","1인","시도내-시군구내이동","건","82165",
"전국","1인","시도내-시군구간전입","건","93196",
"전국","1인","시도내-시군구간전출","건","93196",
"전국","1인","시도간전입","건","145321",
"전국","1인","시도간전출","건","145321",
"전국","2인","총전입","건","49467",
"전국","2인","총전출","건","49467",
"전국","2인","순이동","건","0",
"전국","2인","시도내-시군구내이동","건","20498",
"전국","2인","시도내-시군구간전입","건","14846",
"전국","2인","시도내-시군구간전출","건","14846",
"전국","2인","시도간전입","건","14123",
"전국","2인","시도간전출","건","14123",
"전국","3인","총전입","건","32235",
"전국","3인","총전출","건","32235",
"전국","3인","순이동","건","0",
"전국","3인","시도내-시군구내이동","건","15256",
"전국","3인","시도내-시군구간전입","건","9426",
"전국","3인","시도내-시군구간전출","건","9426",
"전국","3인","시도간전입","건","7553",
"전국","3인","시도간전출","건","7553",
"전국","4인","총전입","건","24370",
"전국","4인","총전출","건","24370",
"전국","4인","순이동","건","0",
"전국","4인","시도내-시군구내이동","건","12283",
"전국","4인","시도내-시군구간전입","건","6954",
"전국","4인","시도내-시군구간전출","건","6954",
"전국","4인","시도간전입","건","5133",
"전국","4인","시도간전출","건","5133",
"전국","5인","총전입","건","5117",
"전국","5인","총전출","건","5117",
"전국","5인","순이동","건","0",
"전국","5인","시도내-시군구내이동","건","2781",
"전국","5인","시도내-시군구간전입","건","1307",
"전국","5인","시도내-시군구간전출","건","1307",
"전국","5인","시도간전입","건","1029",
"전국","5인","시도간전출","건","1029",
"전국","6인","총전입","건","823",
"전국","6인","총전출","건","823",
"전국","6인","순이동","건","0",
"전국","6인","시도내-시군구내이동","건","453",
"전국","6인","시도내-시군구간전입","건","204",
"전국","6인","시도내-시군구간전출","건","204",
"전국","6인","시도간전입","건","166",
"전국","6인","시도간전출","건","166",
"전국","7인","총전입","건","150",
"전국","7인","총전출","건","150",
"전국","7인","순이동","건","0",
"전국","7인","시도내-시군구내이동","건","103",
"전국","7인","시도내-시군구간전입","건","24",
"전국","7인","시도내-시군구간전출","건","24",
"전국","7인","시도간전입","건","23",
"전국","7인","시도간전출","건","23",
"전국","8인","총전입","건","35",
"전국","8인","총전출","건","35",
"전국","8인","순이동","건","0",
"전국","8인","시도내-시군구내이동","건","15",
"전국","8인","시도내-시군구간전입","건","12",
"전국","8인","시도내-시군구간전출","건","12",
"전국","8인","시도간전입","건","8",
"전국","8인","시도간전출","건","8",
"전국","9인","총전입","건","13",
"전국","9인","총전출","건","13",
"전국","9인","순이동","건","0",
"전국","9인","시도내-시군구내이동","건","8",
"전국","9인","시도내-시군구간전입","건","4",
"전국","9인","시도내-시군구간전출","건","4",
"전국","9인","시도간전입","건","1",
"전국","9인","시도간전출","건","1",
"전국","10인이상","총전입","건","1",
"전국","10인이상","총전출","건","1",
"전국","10인이상","순이동","건","0",
"전국","10인이상","시도내-시군구내이동","건","0",
"전국","10인이상","시도내-시군구간전입","건","0",
"전국","10인이상","시도내-시군구간전출","건","0",
"전국","10인이상","시도간전입","건","1",
"전국","10인이상","시도간전출","건","1",
"서울특별시","계","총전입","건","85692",
"서울특별시","계","총전출","건","86478",
"서울특별시","계","순이동","건","-786",
"서울특별시","계","시도내-시군구내이동","건","19686",
"서울특별시","계","시도내-시군구간전입","건","32622",
"서울특별시","계","시도내-시군구간전출","건","32622",
"서울특별시","계","시도간전입","건","33384",
"서울특별시","계","시도간전출","건","34170",
"서울특별시","1인","총전입","건","63897",
"서울특별시","1인","총전출","건","62776",
"서울특별시","1인","순이동","건","1121",
"서울특별시","1인","시도내-시군구내이동","건","11740",
"서울특별시","1인","시도내-시군구간전입","건","23768",
"서울특별시","1인","시도내-시군구간전출","건","23768",
"서울특별시","1인","시도간전입","건","28389",
"서울특별시","1인","시도간전출","건","27268",
"서울특별시","2인","총전입","건","9159",
"서울특별시","2인","총전출","건","10171",
"서울특별시","2인","순이동","건","-1012",
"서울특별시","2인","시도내-시군구내이동","건","3048",
"서울특별시","2인","시도내-시군구간전입","건","3726",
"서울특별시","2인","시도내-시군구간전출","건","3726",
"서울특별시","2인","시도간전입","건","2385",
"서울특별시","2인","시도간전출","건","3397",
"서울특별시","3인","총전입","건","6373",
"서울특별시","3인","총전출","건","6975",
"서울특별시","3인","순이동","건","-602",
"서울특별시","3인","시도내-시군구내이동","건","2390",
