"행정구역(시군구)별","이동규모별","항목","단위","2019. 05 월",
"전국","계","총전입","건","386415",
"전국","계","총전출","건","386415",
"전국","계","순이동","건","0",
"전국","계","시도내-시군구내이동","건","129284",
"전국","계","시도내-시군구간전입","건","111300",
"전국","계","시도내-시군구간전출","건","111300",
"전국","계","시도간전입","건","145831",
"전국","계","시도간전출","건","145831",
"전국","1인","총전입","건","287643",
"전국","1인","총전출","건","287643",
"전국","1인","순이동","건","0",
"전국","1인","시도내-시군구내이동","건","80411",
"전국","1인","시도내-시군구간전입","건","83454",
"전국","1인","시도내-시군구간전출","건","83454",
"전국","1인","시도간전입","건","123778",
"전국","1인","시도간전출","건","123778",
"전국","2인","총전입","건","45233",
"전국","2인","총전출","건","45233",
"전국","2인","순이동","건","0",
"전국","2인","시도내-시군구내이동","건","20231",
"전국","2인","시도내-시군구간전입","건","13128",
"전국","2인","시도내-시군구간전출","건","13128",
"전국","2인","시도간전입","건","11874",
"전국","2인","시도간전출","건","11874",
"전국","3인","총전입","건","29163",
"전국","3인","총전출","건","29163",
"전국","3인","순이동","건","0",
"전국","3인","시도내-시군구내이동","건","14839",
"전국","3인","시도내-시군구간전입","건","8304",
"전국","3인","시도내-시군구간전출","건","8304",
"전국","3인","시도간전입","건","6020",
"전국","3인","시도간전출","건","6020",
"전국","4인","총전입","건","19552",
"전국","4인","총전출","건","19552",
"전국","4인","순이동","건","0",
"전국","4인","시도내-시군구내이동","건","10946",
"전국","4인","시도내-시군구간전입","건","5234",
"전국","4인","시도내-시군구간전출","건","5234",
"전국","4인","시도간전입","건","3372",
"전국","4인","시도간전출","건","3372",
"전국","5인","총전입","건","3991",
"전국","5인","총전출","건","3991",
"전국","5인","순이동","건","0",
"전국","5인","시도내-시군구내이동","건","2340",
"전국","5인","시도내-시군구간전입","건","999",
"전국","5인","시도내-시군구간전출","건","999",
"전국","5인","시도간전입","건","652",
"전국","5인","시도간전출","건","652",
"전국","6인","총전입","건","630",
"전국","6인","총전출","건","630",
"전국","6인","순이동","건","0",
"전국","6인","시도내-시군구내이동","건","391",
"전국","6인","시도내-시군구간전입","건","139",
"전국","6인","시도내-시군구간전출","건","139",
"전국","6인","시도간전입","건","100",
"전국","6인","시도간전출","건","100",
"전국","7인","총전입","건","161",
"전국","7인","총전출","건","161",
"전국","7인","순이동","건","0",
"전국","7인","시도내-시군구내이동","건","102",
"전국","7인","시도내-시군구간전입","건","33",
"전국","7인","시도내-시군구간전출","건","33",
