,,
지역,시점,매매가격 대비 전세가격(전세지가)
수도권,2019. 02 월,68.14975627
수도권,2019. 03 월,68.04341467
수도권,2019. 04 월,67.96094289
수도권,2019. 05 월,67.95155838
수도권,2019. 06 월,67.92457034
수도권,2019. 07 월,67.88161772
수도권,2019. 08 월,67.88408548
수도권,2019. 09 월,67.90327105
수도권,2019. 10 월,67.95430184
수도권,2019. 11 월,67.96114867
수도권,2019. 12 월,67.82156816
지방,2012. 01 월,70.26667495
지방,2012. 02 월,70.26381511
지방,2012. 03 월,70.24348026
지방,2012. 04 월,70.3638024
지방,2012. 05 월,70.49589808
지방,2012. 06 월,70.55637503
지방,2012. 07 월,70.60688777
지방,2012. 08 월,70.72612314
지방,2012. 09 월,70.82488874
지방,2012. 10 월,70.98132624
지방,2012. 11 월,71.22916746
지방,2012. 12 월,70.81761141
지방,2013. 01 월,71.03686455
지방,2013. 02 월,71.25103158
지방,2013. 03 월,71.47538393
지방,2013. 04 월,71.71903899
지방,2013. 05 월,71.85682464
지방,2013. 06 월,71.96518722
지방,2013. 07 월,72.05933008
지방,2013. 08 월,72.23155916
지방,2013. 09 월,72.37260495
지방,2013. 10 월,72.49420244
지방,2013. 11 월,72.56234222
지방,2013. 12 월,72.62175618
지방,2014. 01 월,72.73590541
지방,2014. 02 월,72.82510798
지방,2014. 03 월,72.90138012
지방,2014. 04 월,72.94964154
지방,2014. 05 월,72.95762588
지방,2014. 06 월,72.98205607
지방,2014. 07 월,72.9256563
지방,2014. 08 월,72.93450022
지방,2014. 09 월,72.94527725
지방,2014. 10 월,72.95519027
지방,2014. 11 월,72.95864687
지방,2014. 12 월,72.96647894
지방,2015. 01 월,72.9425108
지방,2015. 02 월,72.95468636
지방,2015. 03 월,72.99888952
지방,2015. 04 월,73.04283728
지방,2015. 05 월,73.05312837
지방,2015. 06 월,73.06366383
지방,2015. 07 월,73.73059878
지방,2015. 08 월,73.72370234
지방,2015. 09 월,73.74107136
지방,2015. 10 월,73.77056874
지방,2015. 11 월,73.78747039
지방,2015. 12 월,73.86159893
지방,2016. 01 월,73.93173536
지방,2016. 02 월,74.04106336
