"행정구역(시군구)별","시점","총전입[명]","총전출[명]","순이동[명]","시도내이동-시군구내[명]","시도내이동-시군구간 전입[명]","시도내이동-시군구간 전출[명]","시도간전입[명]","시도간전출[명]",
"전국","2013. 03 월","662370","662370","0","247407","186178","186178","228785","228785",
"전국","2013. 04 월","629241","629241","0","250802","178565","178565","199874","199874",
"전국","2013. 05 월","613463","613463","0","247046","176816","176816","189601","189601",
"전국","2013. 06 월","586000","586000","0","243059","166570","166570","176371","176371",
"전국","2013. 07 월","584697","584697","0","232814","167664","167664","184219","184219",
"전국","2013. 08 월","558255","558255","0","211350","159923","159923","186982","186982",
"전국","2013. 09 월","485965","485965","0","188803","138860","138860","158302","158302",
"전국","2013. 10 월","637567","637567","0","257797","182356","182356","197414","197414",
"전국","2013. 11 월","623006","623006","0","257544","176937","176937","188525","188525",
"전국","2013. 12 월","701014","701014","0","272497","200772","200772","227745","227745",
"전국","2014. 01 월","580370","580370","0","210007","167383","167383","202980","202980",
"전국","2014. 02 월","757702","757702","0","257776","224129","224129","275797","275797",
"전국","2014. 03 월","708559","708559","0","265569","200277","200277","242713","242713",
"전국","2014. 04 월","651825","651825","0","260183","184206","184206","207436","207436",
"전국","2014. 05 월","612796","612796","0","248556","171391","171391","192849","192849",
"전국","2014. 06 월","586855","586855","0","238782","166981","166981","181092","181092",
"전국","2014. 07 월","599827","599827","0","237461","172275","172275","190091","190091",
"전국","2014. 08 월","582734","582734","0","225223","168359","168359","189152","189152",
"전국","2014. 09 월","566855","566855","0","222168","157663","157663","187024","187024",
"전국","2014. 10 월","669986","669986","0","272634","187314","187314","210038","210038",
"전국","2014. 11 월","613783","613783","0","254392","169954","169954","189437","189437",
"전국","2014. 12 월","697806","697806","0","265116","193503","193503","239187","239187",
"전국","2015. 01 월","615130","615130","0","217333","172156","172156","225641","225641",
"전국","2015. 02 월","663366","663366","0","226633","190009","190009","246724","246724",
"전국","2015. 03 월","771122","771122","0","290926","216275","216275","263921","263921",
"전국","2015. 04 월","649452","649452","0","261425","182893","182893","205134","205134",
"전국","2015. 05 월","605725","605725","0","249341","171265","171265","185119","185119",
"전국","2015. 06 월","650399","650399","0","264301","185002","185002","201096","201096",
"전국","2015. 07 월","627098","627098","0","249350","178660","178660","199088","199088",
"전국","2015. 08 월","618777","618777","0","239072","175098","175098","204607","204607",
"전국","2015. 09 월","550423","550423","0","218575","155548","155548","176300","176300",
"전국","2015. 10 월","653444","653444","0","263364","183320","183320","206760","206760",
"전국","2015. 11 월","650197","650197","0","266939","182887","182887","200371","200371",
"전국","2015. 12 월","700153","700153","0","266761","196729","196729","236663","236663",
"전국","2016. 01 월","595130","595130","0","214346","167537","167537","213247","213247",
"전국","2016. 02 월","709413","709413","0","243213","200648","200648","265552","265552",
"전국","2016. 03 월","686126","686126","0","255572","189168","189168","241386","241386",
"전국","2016. 04 월","564228","564228","0","222788","156227","156227","185213","185213",
"전국","2016. 05 월","589428","589428","0","239963","163674","163674","185791","185791",
"전국","2016. 06 월","567068","567068","0","222292","160777","160777","183999","183999",
"전국","2016. 07 월","544890","544890","0","213738","154187","154187","176965","176965",
"전국","2016. 08 월","641882","641882","0","245623","182604","182604","213655","213655",
"전국","2016. 09 월","545720","545720","0","215085","155531","155531","175104","175104",
"전국","2016. 10 월","616356","616356","0","249237","175601","175601","191518","191518",
"전국","2016. 11 월","645286","645286","0","264136","185700","185700","195450","195450",
"전국","2016. 12 월","672903","672903","0","254302","193139","193139","225462","225462",
"전국","2017. 01 월","577151","577151","0","202360","166402","166402","208389","208389",
"전국","2017. 02 월","748848","748848","0","248401","220124","220124","280323","280323",
"전국","2017. 03 월","673351","673351","0","241865","190465","190465","241021","241021",
"전국","2017. 04 월","532108","532108","0","204112","150047","150047","177949","177949",
"전국","2017. 05 월","578011","578011","0","227347","161023","161023","189641","189641",
"전국","2017. 06 월","541077","541077","0","210589","151682","151682","178806","178806",
"전국","2017. 07 월","543286","543286","0","212217","153390","153390","177679","177679",
"전국","2017. 08 월","628151","628151","0","239089","179052","179052","210010","210010",
"전국","2017. 09 월","590892","590892","0","236992","167833","167833","186067","186067",
"전국","2017. 10 월","528635","528635","0","212708","152209","152209","163718","163718",
"전국","2017. 11 월","597466","597466","0","237646","172439","172439","187381","187381",
"전국","2017. 12 월","615250","615250","0","228074","177230","177230","209946","209946",
"전국","2018. 01 월","662283","662283","0","233888","190997","190997","237398","237398",
"전국","2018. 02 월","697706","697706","0","237290","206721","206721","253695","253695",
"전국","2018. 03 월","707829","707829","0","261352","202597","202597","243880","243880",
"전국","2018. 04 월","593767","593767","0","231928","167570","167570","194269","194269",
"전국","2018. 05 월","599570","599570","0","238974","171097","171097","189499","189499",
"전국","2018. 06 월","543797","543797","0","216933","152579","152579","174285","174285",
"전국","2018. 07 월","568604","568604","0","218934","161972","161972","187698","187698",
"전국","2018. 08 월","592108","592108","0","220591","169898","169898","201619","201619",
"전국","2018. 09 월","462112","462112","0","179201","132005","132005","150906","150906",
"전국","2018. 10 월","637160","637160","0","257947","181064","181064","198149","198149",
"전국","2018. 11 월","614814","614814","0","248734","176386","176386","189694","189694",
"전국","2018. 12 월","617349","617349","0","230909","178348","178348","208092","208092",
"전국","2019. 01 월","667227","667227","0","234956","193445","193445","238826","238826",
"전국","2019. 02 월","702329","702329","0","235680","205268","205268","261381","261381",
"전국","2019. 03 월","641449","641449","0","233866","185239","185239","222344","222344",
"전국","2019. 04 월","587293","587293","0","228355","168989","168989","189949","189949",
"전국","2019. 05 월","569020","569020","0","224136","161692","161692","183192","183192",
"전국","2019. 06 월","484468","484468","0","188125","139855","139855","156488","156488",
"전국","2019. 07 월","563622","563622","0","214682","162732","162732","186208","186208",
"전국","2019. 08 월","565607","565607","0","212149","163949","163949","189509","189509",
"전국","2019. 09 월","517785","517785","0","196628","150136","150136","171021","171021",
"전국","2019. 10 월","594081","594081","0","234419","175332","175332","184330","184330",
"전국","2019. 11 월","565735","565735","0","221233","165946","165946","178556","178556",
"서울특별시","2006. 01 월","138523","136209","2314","36857","52238","52238","49428","47114",
"서울특별시","2006. 02 월","204573","197063","7510","55116","77448","77448","72009","64499",
"서울특별시","2006. 03 월","221272","223734","-2462","70883","83563","83563","66826","69288",
"서울특별시","2006. 04 월","177245","181640","-4395","59373","68285","68285","49587","53982",
"서울특별시","2006. 05 월","184697","188794","-4097","60977","71403","71403","52317","56414",
"서울특별시","2006. 06 월","172585","177185","-4600","56327","66549","66549","49709","54309",
"서울특별시","2006. 07 월","143466","145171","-1705","44609","55264","55264","43593","45298",
"서울특별시","2006. 08 월","169072","170139","-1067","51170","64205","64205","53697","54764",
"서울특별시","2006. 09 월","161829","164437","-2608","52554","61007","61007","48268","50876",
"서울특별시","2006. 10 월","183434","190704","-7270","62653","70688","70688","50093","57363",
"서울특별시","2006. 11 월","200678","209112","-8434","68309","77377","77377","54992","63426",
"서울특별시","2006. 12 월","216533","226270","-9737","70941","83312","83312","62280","72017",
"서울특별시","2007. 01 월","198718","197061","1657","58214","75551","75551","64953","63296",
"서울특별시","2007. 02 월","202764","200157","2607","56698","78109","78109","67957","65350",
"서울특별시","2007. 03 월","195867","199503","-3636","63338","73259","73259","59270","62906",
"서울특별시","2007. 04 월","180422","186561","-6139","60315","69060","69060","51047","57186",
"서울특별시","2007. 05 월","177739","184204","-6465","60188","67337","67337","50214","56679",
"서울특별시","2007. 06 월","144758","150830","-6072","47537","54879","54879","42342","48414",
"서울특별시","2007. 07 월","141113","144519","-3406","43201","53730","53730","44182","47588",
"서울특별시","2007. 08 월","163741","166986","-3245","49588","62495","62495","51658","54903",
"서울특별시","2007. 09 월","134736","139501","-4765","42989","51626","51626","40121","44886",
"서울특별시","2007. 10 월","200133","207902","-7769","66369","76585","76585","57179","64948",
"서울특별시","2007. 11 월","173197","181195","-7998","57845","66934","66934","48418","56416",
"서울특별시","2007. 12 월","164857","172509","-7652","50224","62533","62533","52100","59752",
