"행정구역(시군구)별","이동규모별","항목","단위","2015. 03 월",
"전국","계","총전입","건","487394",
"전국","계","총전출","건","487394",
"전국","계","순이동","건","0",
"전국","계","시도내-시군구내이동","건","153478",
"전국","계","시도내-시군구간전입","건","137454",
"전국","계","시도내-시군구간전출","건","137454",
"전국","계","시도간전입","건","196462",
"전국","계","시도간전출","건","196462",
"전국","1인","총전입","건","341202",
"전국","1인","총전출","건","341202",
"전국","1인","순이동","건","0",
"전국","1인","시도내-시군구내이동","건","85907",
"전국","1인","시도내-시군구간전입","건","96275",
"전국","1인","시도내-시군구간전출","건","96275",
"전국","1인","시도간전입","건","159020",
"전국","1인","시도간전출","건","159020",
"전국","2인","총전입","건","60895",
"전국","2인","총전출","건","60895",
"전국","2인","순이동","건","0",
"전국","2인","시도내-시군구내이동","건","25294",
"전국","2인","시도내-시군구간전입","건","17340",
"전국","2인","시도내-시군구간전출","건","17340",
"전국","2인","시도간전입","건","18261",
"전국","2인","시도간전출","건","18261",
"전국","3인","총전입","건","43540",
"전국","3인","총전출","건","43540",
"전국","3인","순이동","건","0",
"전국","3인","시도내-시군구내이동","건","20457",
"전국","3인","시도내-시군구간전입","건","12651",
"전국","3인","시도내-시군구간전출","건","12651",
"전국","3인","시도간전입","건","10432",
"전국","3인","시도간전출","건","10432",
"전국","4인","총전입","건","33223",
"전국","4인","총전출","건","33223",
"전국","4인","순이동","건","0",
"전국","4인","시도내-시군구내이동","건","17166",
"전국","4인","시도내-시군구간전입","건","9018",
"전국","4인","시도내-시군구간전출","건","9018",
"전국","4인","시도간전입","건","7039",
"전국","4인","시도간전출","건","7039",
"전국","5인","총전입","건","7066",
"전국","5인","총전출","건","7066",
"전국","5인","순이동","건","0",
"전국","5인","시도내-시군구내이동","건","3820",
"전국","5인","시도내-시군구간전입","건","1822",
"전국","5인","시도내-시군구간전출","건","1822",
"전국","5인","시도간전입","건","1424",
"전국","5인","시도간전출","건","1424",
"전국","6인","총전입","건","1154",
"전국","6인","총전출","건","1154",
"전국","6인","순이동","건","0",
"전국","6인","시도내-시군구내이동","건","632",
"전국","6인","시도내-시군구간전입","건","283",
"전국","6인","시도내-시군구간전출","건","283",
"전국","6인","시도간전입","건","239",
"전국","6인","시도간전출","건","239",
"전국","7인","총전입","건","219",
"전국","7인","총전출","건","219",
"전국","7인","순이동","건","0",
"전국","7인","시도내-시군구내이동","건","144",
"전국","7인","시도내-시군구간전입","건","43",
"전국","7인","시도내-시군구간전출","건","43",
"전국","7인","시도간전입","건","32",
"전국","7인","시도간전출","건","32",
"전국","8인","총전입","건","56",
"전국","8인","총전출","건","56",
"전국","8인","순이동","건","0",
"전국","8인","시도내-시군구내이동","건","38",
"전국","8인","시도내-시군구간전입","건","12",
"전국","8인","시도내-시군구간전출","건","12",
"전국","8인","시도간전입","건","6",
"전국","8인","시도간전출","건","6",
"전국","9인","총전입","건","32",
"전국","9인","총전출","건","32",
"전국","9인","순이동","건","0",
"전국","9인","시도내-시군구내이동","건","16",
"전국","9인","시도내-시군구간전입","건","10",
"전국","9인","시도내-시군구간전출","건","10",
"전국","9인","시도간전입","건","6",
"전국","9인","시도간전출","건","6",
"전국","10인이상","총전입","건","7",
"전국","10인이상","총전출","건","7",
"전국","10인이상","순이동","건","0",
"전국","10인이상","시도내-시군구내이동","건","4",
"전국","10인이상","시도내-시군구간전입","건","0",
"전국","10인이상","시도내-시군구간전출","건","0",
"전국","10인이상","시도간전입","건","3",
"전국","10인이상","시도간전출","건","3",
"서울특별시","계","총전입","건","101463",
"서울특별시","계","총전출","건","103602",
"서울특별시","계","순이동","건","-2139",
"서울특별시","계","시도내-시군구내이동","건","25388",
"서울특별시","계","시도내-시군구간전입","건","37108",
"서울특별시","계","시도내-시군구간전출","건","37108",
"서울특별시","계","시도간전입","건","38967",
"서울특별시","계","시도간전출","건","41106",
"서울특별시","1인","총전입","건","71352",
"서울특별시","1인","총전출","건","69803",
"서울특별시","1인","순이동","건","1549",
"서울특별시","1인","시도내-시군구내이동","건","13000",
"서울특별시","1인","시도내-시군구간전입","건","25402",
"서울특별시","1인","시도내-시군구간전출","건","25402",
"서울특별시","1인","시도간전입","건","32950",
"서울특별시","1인","시도간전출","건","31401",
"서울특별시","2인","총전입","건","12230",
"서울특별시","2인","총전출","건","13699",
"서울특별시","2인","순이동","건","-1469",
"서울특별시","2인","시도내-시군구내이동","건","4371",
"서울특별시","2인","시도내-시군구간전입","건","4846",
"서울특별시","2인","시도내-시군구간전출","건","4846",
"서울특별시","2인","시도간전입","건","3013",
"서울특별시","2인","시도간전출","건","4482",
"서울특별시","3인","총전입","건","9018",
"서울특별시","3인","총전출","건","10187",
"서울특별시","3인","순이동","건","-1169",
"서울특별시","3인","시도내-시군구내이동","건","3713",
"서울특별시","3인","시도내-시군구간전입","건","3642",
"서울특별시","3인","시도내-시군구간전출","건","3642",
"서울특별시","3인","시도간전입","건","1663",
"서울특별시","3인","시도간전출","건","2832",
"서울특별시","4인","총전입","건","7177",
"서울특별시","4인","총전출","건","8004",
"서울특별시","4인","순이동","건","-827",
"서울특별시","4인","시도내-시군구내이동","건","3446",
"서울특별시","4인","시도내-시군구간전입","건","2635",
"서울특별시","4인","시도내-시군구간전출","건","2635",
"서울특별시","4인","시도간전입","건","1096",
"서울특별시","4인","시도간전출","건","1923",
"서울특별시","5인","총전입","건","1387",
"서울특별시","5인","총전출","건","1566",
"서울특별시","5인","순이동","건","-179",
"서울특별시","5인","시도내-시군구내이동","건","696",
"서울특별시","5인","시도내-시군구간전입","건","484",
"서울특별시","5인","시도내-시군구간전출","건","484",
"서울특별시","5인","시도간전입","건","207",
"서울특별시","5인","시도간전출","건","386",
"서울특별시","6인","총전입","건","237",
"서울특별시","6인","총전출","건","272",
"서울특별시","6인","순이동","건","-35",
"서울특별시","6인","시도내-시군구내이동","건","126",
"서울특별시","6인","시도내-시군구간전입","건","80",
"서울특별시","6인","시도내-시군구간전출","건","80",
"서울특별시","6인","시도간전입","건","31",
"서울특별시","6인","시도간전출","건","66",
"서울특별시","7인","총전입","건","42",
"서울특별시","7인","총전출","건","50",
"서울특별시","7인","순이동","건","-8",
"서울특별시","7인","시도내-시군구내이동","건","23",
"서울특별시","7인","시도내-시군구간전입","건","14",
"서울특별시","7인","시도내-시군구간전출","건","14",
"서울특별시","7인","시도간전입","건","5",
"서울특별시","7인","시도간전출","건","13",
"서울특별시","8인","총전입","건","12",
"서울특별시","8인","총전출","건","12",
"서울특별시","8인","순이동","건","0",
"서울특별시","8인","시도내-시군구내이동","건","9",
"서울특별시","8인","시도내-시군구간전입","건","2",
"서울특별시","8인","시도내-시군구간전출","건","2",
"서울특별시","8인","시도간전입","건","1",
"서울특별시","8인","시도간전출","건","1",
"서울특별시","9인","총전입","건","8",
"서울특별시","9인","총전출","건","9",
"서울특별시","9인","순이동","건","-1",
"서울특별시","9인","시도내-시군구내이동","건","4",
"서울특별시","9인","시도내-시군구간전입","건","3",
"서울특별시","9인","시도내-시군구간전출","건","3",
"서울특별시","9인","시도간전입","건","1",
"서울특별시","9인","시도간전출","건","2",
"서울특별시","10인이상","총전입","건","0",
"서울특별시","10인이상","총전출","건","0",
"서울특별시","10인이상","순이동","건","0",
"서울특별시","10인이상","시도내-시군구내이동","건","0",
"서울특별시","10인이상","시도내-시군구간전입","건","0",
"서울특별시","10인이상","시도내-시군구간전출","건","0",
"서울특별시","10인이상","시도간전입","건","0",
"서울특별시","10인이상","시도간전출","건","0",
"종로구","계","총전입","건","2171",
