"행정구역(시군구)별","이동규모별","항목","단위","2015. 06 월",
"서울특별시","5인","시도내-시군구간전출","건","439",
"서울특별시","5인","시도간전입","건","169",
"서울특별시","5인","시도간전출","건","322",
"서울특별시","6인","총전입","건","224",
"서울특별시","6인","총전출","건","260",
"서울특별시","6인","순이동","건","-36",
"서울특별시","6인","시도내-시군구내이동","건","134",
"서울특별시","6인","시도내-시군구간전입","건","66",
"서울특별시","6인","시도내-시군구간전출","건","66",
"서울특별시","6인","시도간전입","건","24",
"서울특별시","6인","시도간전출","건","60",
"서울특별시","7인","총전입","건","46",
"서울특별시","7인","총전출","건","53",
"서울특별시","7인","순이동","건","-7",
"서울특별시","7인","시도내-시군구내이동","건","21",
"서울특별시","7인","시도내-시군구간전입","건","19",
"서울특별시","7인","시도내-시군구간전출","건","19",
"서울특별시","7인","시도간전입","건","6",
"서울특별시","7인","시도간전출","건","13",
"서울특별시","8인","총전입","건","12",
"서울특별시","8인","총전출","건","10",
"서울특별시","8인","순이동","건","2",
"서울특별시","8인","시도내-시군구내이동","건","6",
"서울특별시","8인","시도내-시군구간전입","건","3",
"서울특별시","8인","시도내-시군구간전출","건","3",
"서울특별시","8인","시도간전입","건","3",
"서울특별시","8인","시도간전출","건","1",
"서울특별시","9인","총전입","건","6",
"서울특별시","9인","총전출","건","10",
"서울특별시","9인","순이동","건","-4",
"서울특별시","9인","시도내-시군구내이동","건","4",
"서울특별시","9인","시도내-시군구간전입","건","2",
"서울특별시","9인","시도내-시군구간전출","건","2",
"서울특별시","9인","시도간전입","건","0",
"서울특별시","9인","시도간전출","건","4",
"서울특별시","10인이상","총전입","건","0",
"서울특별시","10인이상","총전출","건","0",
"서울특별시","10인이상","순이동","건","0",
"서울특별시","10인이상","시도내-시군구내이동","건","0",
"서울특별시","10인이상","시도내-시군구간전입","건","0",
"서울특별시","10인이상","시도내-시군구간전출","건","0",
"서울특별시","10인이상","시도간전입","건","0",
"서울특별시","10인이상","시도간전출","건","0",
"종로구","계","총전입","건","1275",
"종로구","계","총전출","건","1495",
"종로구","계","순이동","건","-220",
"종로구","계","시도내-시군구내이동","건","219",
"종로구","계","시도내-시군구간전입","건","626",
"종로구","계","시도내-시군구간전출","건","744",
"종로구","계","시도간전입","건","430",
"종로구","계","시도간전출","건","532",
"종로구","1인","총전입","건","932",
"종로구","1인","총전출","건","1056",
"종로구","1인","순이동","건","-124",
"종로구","1인","시도내-시군구내이동","건","121",
"종로구","1인","시도내-시군구간전입","건","445",
"종로구","1인","시도내-시군구간전출","건","499",
"종로구","1인","시도간전입","건","366",
"종로구","1인","시도간전출","건","436",
"종로구","2인","총전입","건","139",
"종로구","2인","총전출","건","171",
"종로구","2인","순이동","건","-32",
"종로구","2인","시도내-시군구내이동","건","32",
"종로구","2인","시도내-시군구간전입","건","69",
"종로구","2인","시도내-시군구간전출","건","91",
"종로구","2인","시도간전입","건","38",
"종로구","2인","시도간전출","건","48",
"종로구","3인","총전입","건","97",
"종로구","3인","총전출","건","125",
"종로구","3인","순이동","건","-28",
"종로구","3인","시도내-시군구내이동","건","27",
"종로구","3인","시도내-시군구간전입","건","55",
"종로구","3인","시도내-시군구간전출","건","73",
"종로구","3인","시도간전입","건","15",
"종로구","3인","시도간전출","건","25",
"종로구","4인","총전입","건","83",
"종로구","4인","총전출","건","111",
"종로구","4인","순이동","건","-28",
"종로구","4인","시도내-시군구내이동","건","30",
"종로구","4인","시도내-시군구간전입","건","45",
"종로구","4인","시도내-시군구간전출","건","66",
"종로구","4인","시도간전입","건","8",
"종로구","4인","시도간전출","건","15",
"종로구","5인","총전입","건","19",
"종로구","5인","총전출","건","25",
"종로구","5인","순이동","건","-6",
"종로구","5인","시도내-시군구내이동","건","8",
"종로구","5인","시도내-시군구간전입","건","9",
