기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
2015.3/4	성북구	191,987	472,309	230,727	241,582	462,149	226,520	235,629	10,160	4,207	5,953	-	-	2.41	63,108
2015.3/4	강북구	141,291	335,853	165,058	170,795	332,366	163,694	168,672	3,487	1,364	2,123	-	-	2.35	52,318
2015.3/4	도봉구	137,203	354,454	174,421	180,033	352,474	173,660	178,814	1,980	761	1,219	-	-	2.57	48,175
2015.3/4	노원구	220,243	581,088	283,034	298,054	577,434	281,457	295,977	3,654	1,577	2,077	-	-	2.62	68,436
2015.3/4	은평구	203,609	504,345	246,025	258,320	499,668	244,019	255,649	4,677	2,006	2,671	-	-	2.45	69,265
2015.3/4	서대문구	133,828	317,983	153,651	164,332	306,892	149,470	157,422	11,091	4,181	6,910	-	-	2.29	46,211
2015.3/4	마포구	171,759	400,596	192,299	208,297	389,788	187,783	202,005	10,808	4,516	6,292	-	-	2.27	48,484
2015.3/4	양천구	179,640	489,788	242,540	247,248	485,312	240,458	244,854	4,476	2,082	2,394	-	-	2.7	50,057
2015.3/4	강서구	238,366	596,319	291,675	304,644	589,693	288,440	301,253	6,626	3,235	3,391	-	-	2.47	67,267
2015.3/4	구로구	172,448	456,547	229,391	227,156	423,810	211,490	212,320	32,737	17,901	14,836	-	-	2.46	53,204
2015.3/4	금천구	104,148	257,954	132,366	125,588	237,605	121,313	116,292	20,349	11,053	9,296	-	-	2.28	30,869
2015.3/4	영등포구	168,104	420,449	211,704	208,745	380,440	190,286	190,154	40,009	21,418	18,591	-	-	2.26	51,274
