"행정구역(시군구)별","이동규모별","항목","단위","2016. 06 월",
"전국","계","총전입","건","363033",
"전국","계","총전출","건","363033",
"전국","계","순이동","건","0",
"전국","계","시도내-시군구내이동","건","120369",
"전국","계","시도내-시군구간전입","건","104539",
"전국","계","시도내-시군구간전출","건","104539",
"전국","계","시도간전입","건","138125",
"전국","계","시도간전출","건","138125",
"전국","1인","총전입","건","256928",
"전국","1인","총전출","건","256928",
"전국","1인","순이동","건","0",
"전국","1인","시도내-시군구내이동","건","70033",
"전국","1인","시도내-시군구간전입","건","74591",
"전국","1인","시도내-시군구간전출","건","74591",
"전국","1인","시도간전입","건","112304",
"전국","1인","시도간전출","건","112304",
"전국","2인","총전입","건","44822",
"전국","2인","총전출","건","44822",
"전국","2인","순이동","건","0",
"전국","2인","시도내-시군구내이동","건","18872",
"전국","2인","시도내-시군구간전입","건","13081",
"전국","2인","시도내-시군구간전출","건","13081",
"전국","2인","시도간전입","건","12869",
"전국","2인","시도간전출","건","12869",
"전국","3인","총전입","건","32225",
"전국","3인","총전출","건","32225",
"전국","3인","순이동","건","0",
"전국","3인","시도내-시군구내이동","건","15708",
"전국","3인","시도내-시군구간전입","건","9252",
"전국","3인","시도내-시군구간전출","건","9252",
"전국","3인","시도간전입","건","7265",
"전국","3인","시도간전출","건","7265",
"전국","4인","총전입","건","22920",
"전국","4인","총전출","건","22920",
"전국","4인","순이동","건","0",
"전국","4인","시도내-시군구내이동","건","12259",
"전국","4인","시도내-시군구간전입","건","6119",
"전국","4인","시도내-시군구간전출","건","6119",
"전국","4인","시도간전입","건","4542",
"전국","4인","시도간전출","건","4542",
"전국","5인","총전입","건","5051",
"전국","5인","총전출","건","5051",
"전국","5인","순이동","건","0",
"전국","5인","시도내-시군구내이동","건","2856",
"전국","5인","시도내-시군구간전입","건","1259",
"전국","5인","시도내-시군구간전출","건","1259",
"전국","5인","시도간전입","건","936",
"전국","5인","시도간전출","건","936",
"전국","6인","총전입","건","852",
"전국","6인","총전출","건","852",
"전국","6인","순이동","건","0",
