"행정구역(시군구)별","이동규모별","항목","단위","2016. 11 월",
"전국","계","총전입","건","397086",
"전국","계","총전출","건","397086",
"전국","계","순이동","건","0",
"전국","계","시도내-시군구내이동","건","137572",
"전국","계","시도내-시군구간전입","건","115845",
"전국","계","시도내-시군구간전출","건","115845",
"전국","계","시도간전입","건","143669",
"전국","계","시도간전출","건","143669",
"전국","1인","총전입","건","269455",
"전국","1인","총전출","건","269455",
"전국","1인","순이동","건","0",
"전국","1인","시도내-시군구내이동","건","75493",
"전국","1인","시도내-시군구간전입","건","79231",
"전국","1인","시도내-시군구간전출","건","79231",
"전국","1인","시도간전입","건","114731",
"전국","1인","시도간전출","건","114731",
"전국","2인","총전입","건","52861",
"전국","2인","총전출","건","52861",
"전국","2인","순이동","건","0",
"전국","2인","시도내-시군구내이동","건","23075",
"전국","2인","시도내-시군구간전입","건","15550",
"전국","2인","시도내-시군구간전출","건","15550",
"전국","2인","시도간전입","건","14236",
"전국","2인","시도간전출","건","14236",
"전국","3인","총전입","건","38467",
"전국","3인","총전출","건","38467",
"전국","3인","순이동","건","0",
"전국","3인","시도내-시군구내이동","건","18995",
"전국","3인","시도내-시군구간전입","건","11274",
"전국","3인","시도내-시군구간전출","건","11274",
"전국","3인","시도간전입","건","8198",
"전국","3인","시도간전출","건","8198",
"전국","4인","총전입","건","28641",
"전국","4인","총전출","건","28641",
"전국","4인","순이동","건","0",
"전국","4인","시도내-시군구내이동","건","15610",
"전국","4인","시도내-시군구간전입","건","7845",
"전국","4인","시도내-시군구간전출","건","7845",
"전국","4인","시도간전입","건","5186",
"전국","4인","시도간전출","건","5186",
"전국","5인","총전입","건","6233",
"전국","5인","총전출","건","6233",
"전국","5인","순이동","건","0",
"전국","5인","시도내-시군구내이동","건","3555",
"전국","5인","시도내-시군구간전입","건","1599",
"전국","5인","시도내-시군구간전출","건","1599",
"전국","5인","시도간전입","건","1079",
"전국","5인","시도간전출","건","1079",
"전국","6인","총전입","건","1140",
"전국","6인","총전출","건","1140",
"전국","6인","순이동","건","0",
"전국","6인","시도내-시군구내이동","건","685",
"전국","6인","시도내-시군구간전입","건","276",
"전국","6인","시도내-시군구간전출","건","276",
"전국","6인","시도간전입","건","179",
"전국","6인","시도간전출","건","179",
"전국","7인","총전입","건","205",
"전국","7인","총전출","건","205",
"전국","7인","순이동","건","0",
"전국","7인","시도내-시군구내이동","건","108",
"전국","7인","시도내-시군구간전입","건","51",
"전국","7인","시도내-시군구간전출","건","51",
"전국","7인","시도간전입","건","46",
"전국","7인","시도간전출","건","46",
"전국","8인","총전입","건","58",
"전국","8인","총전출","건","58",
"전국","8인","순이동","건","0",
"전국","8인","시도내-시군구내이동","건","36",
"전국","8인","시도내-시군구간전입","건","13",
"전국","8인","시도내-시군구간전출","건","13",
"전국","8인","시도간전입","건","9",
"전국","8인","시도간전출","건","9",
"전국","9인","총전입","건","21",
"전국","9인","총전출","건","21",
"전국","9인","순이동","건","0",
"전국","9인","시도내-시군구내이동","건","12",
"전국","9인","시도내-시군구간전입","건","5",
"전국","9인","시도내-시군구간전출","건","5",
"전국","9인","시도간전입","건","4",
"전국","9인","시도간전출","건","4",
"전국","10인이상","총전입","건","5",
"전국","10인이상","총전출","건","5",
"전국","10인이상","순이동","건","0",
"전국","10인이상","시도내-시군구내이동","건","3",
"전국","10인이상","시도내-시군구간전입","건","1",
"전국","10인이상","시도내-시군구간전출","건","1",
"전국","10인이상","시도간전입","건","1",
"전국","10인이상","시도간전출","건","1",
"서울특별시","계","총전입","건","80546",
"서울특별시","계","총전출","건","86987",
"서울특별시","계","순이동","건","-6441",
"서울특별시","계","시도내-시군구내이동","건","22472",
"서울특별시","계","시도내-시군구간전입","건","31308",
"서울특별시","계","시도내-시군구간전출","건","31308",
"서울특별시","계","시도간전입","건","26766",
"서울특별시","계","시도간전출","건","33207",
"서울특별시","1인","총전입","건","55080",
"서울특별시","1인","총전출","건","57371",
"서울특별시","1인","순이동","건","-2291",
"서울특별시","1인","시도내-시군구내이동","건","11680",
"서울특별시","1인","시도내-시군구간전입","건","21135",
"서울특별시","1인","시도내-시군구간전출","건","21135",
"서울특별시","1인","시도간전입","건","22265",
"서울특별시","1인","시도간전출","건","24556",
"서울특별시","2인","총전입","건","10446",
"서울특별시","2인","총전출","건","12075",
"서울특별시","2인","순이동","건","-1629",
"서울특별시","2인","시도내-시군구내이동","건","3904",
"서울특별시","2인","시도내-시군구간전입","건","4315",
"서울특별시","2인","시도내-시군구간전출","건","4315",
"서울특별시","2인","시도간전입","건","2227",
"서울특별시","2인","시도간전출","건","3856",
"서울특별시","3인","총전입","건","7772",
"서울특별시","3인","총전출","건","9150",
"서울특별시","3인","순이동","건","-1378",
"서울특별시","3인","시도내-시군구내이동","건","3376",
"서울특별시","3인","시도내-시군구간전입","건","3108",
"서울특별시","3인","시도내-시군구간전출","건","3108",
"서울특별시","3인","시도간전입","건","1288",
"서울특별시","3인","시도간전출","건","2666",
"서울특별시","4인","총전입","건","5745",
"서울특별시","4인","총전출","건","6625",
"서울특별시","4인","순이동","건","-880",
"서울특별시","4인","시도내-시군구내이동","건","2747",
"서울특별시","4인","시도내-시군구간전입","건","2189",
"서울특별시","4인","시도내-시군구간전출","건","2189",
"서울특별시","4인","시도간전입","건","809",
"서울특별시","4인","시도간전출","건","1689",
"서울특별시","5인","총전입","건","1206",
"서울특별시","5인","총전출","건","1417",
"서울특별시","5인","순이동","건","-211",
"서울특별시","5인","시도내-시군구내이동","건","603",
"서울특별시","5인","시도내-시군구간전입","건","460",
"서울특별시","5인","시도내-시군구간전출","건","460",
"서울특별시","5인","시도간전입","건","143",
"서울특별시","5인","시도간전출","건","354",
"서울특별시","6인","총전입","건","241",
"서울특별시","6인","총전출","건","286",
"서울특별시","6인","순이동","건","-45",
"서울특별시","6인","시도내-시군구내이동","건","133",
"서울특별시","6인","시도내-시군구간전입","건","85",
"서울특별시","6인","시도내-시군구간전출","건","85",
"서울특별시","6인","시도간전입","건","23",
"서울특별시","6인","시도간전출","건","68",
"서울특별시","7인","총전입","건","34",
"서울특별시","7인","총전출","건","39",
"서울특별시","7인","순이동","건","-5",
"서울특별시","7인","시도내-시군구내이동","건","18",
"서울특별시","7인","시도내-시군구간전입","건","8",
"서울특별시","7인","시도내-시군구간전출","건","8",
"서울특별시","7인","시도간전입","건","8",
"서울특별시","7인","시도간전출","건","13",
"서울특별시","8인","총전입","건","16",
"서울특별시","8인","총전출","건","16",
"서울특별시","8인","순이동","건","0",
"서울특별시","8인","시도내-시군구내이동","건","7",
"서울특별시","8인","시도내-시군구간전입","건","6",
"서울특별시","8인","시도내-시군구간전출","건","6",
"서울특별시","8인","시도간전입","건","3",
"서울특별시","8인","시도간전출","건","3",
"서울특별시","9인","총전입","건","5",
"서울특별시","9인","총전출","건","6",
"서울특별시","9인","순이동","건","-1",
