통계표,항목명1,항목명2,단위,변환,2013,2014,2015,2016,2017,2018
3.7.3 은행대출금 연체율,기업대출,은행전체,% ,원자료,1.1,0.9,0.9,0.8,0.6,0.6
3.7.3 은행대출금 연체율,가계대출,은행전체,% ,원자료,0.7,0.5,0.4,0.3,0.2,0.3
