name	address	latitude	longitude
한내지혜의숲도서관	서울특별시 노원구 마들로86(월계동) 한내근린공원내	37.62358744	127.0687821
향기나무도서관	서울특별시 노원로 331 노원아동복지관	37.64618165	127.0696625
도봉기적의도서관	서울특별시 도봉구 마들로 797	37.68080449	127.0501336
도봉문화정보도서관	서울특별시 도봉구 덕릉로 315	37.64477544	127.0438644
도봉아이나라도서관	서울특별시 도봉구 노해로 69길 151	37.65904725	127.0495075
둘리도서관	서울특별시 도봉구 시루봉로1길 6	37.65243153	127.0276397
서울특별시교육청도봉도서관	서울특별시 도봉구 삼양로 556	37.65253218	127.0127628
학마을도서관	서울특별시 도봉구 시루봉로 128	37.6621577	127.0278303
동대문구답십리도서관	서울특별시 동대문구 서울시립대로4길 75	37.57319319	127.0503606
동대문구정보화도서관	서울특별시 동대문구 회기로10길 60	37.58996904	127.0472892
서울특별시교육청동대문도서관	서울특별시 동대문구 천호대로4길 22	37.57348736	127.0247655
휘경어린이도서관	서울특별시 동대문구 망우로18가길 38 	37.58868538	127.0606088
대방어린이도서관	서울특별시 동작구 대방동길55(대방동379-2)	37.51310982	126.9311477
동작상도국주도서관	서울특별시 동작구 매봉로 37	37.50682006	126.950995
동작어린이도서관	서울특별시 동작구 장승배기로 16길 98(노량진 2동 225-161)	37.50919685	126.9434278
사당솔밭도서관	서울특별시 동작구 솔밭로 86	37.48408051	126.9673502
서울특별시교육청동작도서관	서울특별시 동작구 장승배기로 94	37.50596898	126.9401028
약수도서관	서울특별시 동작구 양녕로22바길 64(상도동)	37.4978869	126.9474565
마포구립서강도서관	서울특별시 마포구 독막로 165	37.54773525	126.9320621
마포구립하늘도서관	서울특별시 마포구 월드컵로 212 마포구청 12층	37.56631258	126.9016155
마포중앙도서관	서울특별시 마포구 성산로 128(성산동)	37.56379606	126.9082023
마포푸르메어린이도서관	서울특별시 마포구 월드컵북로 494 푸르메재단 넥슨어린이재활병원 1층	37.58464747	126.8805204
서울특별시교육청마포평생학습관	서울특별시 마포구 홍익로2길 16	37.5543221	126.9242045
서울특별시교육청마포평생학습관아현분관	서울특별시 마포구 마포대로 224	37.55416693	126.9573466
남가좌새롬어린이도서관	서울특별시 서대문구 증가로10길 16-15	37.5783399	126.9240451
서대문구립이진아기념도서관	서울특별시 서대문구 독립문공원길 80	37.57295407	126.9555492
서울특별시교육청서대문도서관	서울특별시 서대문구 모래내로 412	37.58331954	126.9408583
홍은도담도서관	서울특별시 서대문구 홍은중앙로 129	37.60177311	126.9489548
내곡도서관	서울특별시 서초구 청계산로7길 9-20 	37.45200429	127.054445
방배도서관	서울특별시 서초구 방배로40(방배동)	37.4784386	126.9999959
서이도서관	서울특별시 서초구 서초대로70길 51(서초동)	37.49206882	127.0249474
서초구립반포도서관	서울특별시 서초구 고무래로 34	37.50248627	127.0125127
서초그림책도서관	서울특별시 서초구 명달로 150	37.49060375	127.0050971
잠원도서관	서울특별시 서초구 나루터로 38	37.51496828	127.0139817
성동구립금호도서관	서울특별시 성동구 난계로 20	37.55413024	127.0248941
성동구립도서관	서울특별시 성동구 고산자로10길 9	37.55918517	127.0349643
성동구립무지개도서관	서울특별시 성동구 고산자로 270	37.56342271	127.0369648
성동구립성수도서관	서울특별시 성동구 뚝섬로1길 43	37.54542874	127.0469481
성동구립용답도서관	서울특별시 성동구 용답중앙3길 10	37.56670257	127.0513055
성동구립청계도서관	서울특별시 성동구 마장로 141 왕십리도선동 공공복합청사 5~6층	37.56395923	127.0358722
달빛마루도서관	서울특별시 성북구 종암로 167 104동 2층	37.60505817	127.0309905
석관동미리내도서관	서울특별시 성북구 한천로66길 203	37.61347396	127.0654922
성북정보도서관	서울특별시 성북구 화랑로18자길 13	37.60497334	127.0505857
아리랑어린이도서관	서울특별시 성북구 아리랑로 75	37.59882719	127.0136237
아리랑정보도서관	서울특별시 성북구 아리랑로 82길	37.60006212	127.0139286
월곡꿈그림도서관	서울특별시 성북구 화랑로13길 17 월곡꿈그림도서관	37.60477383	127.0406257
정릉도서관	서울특별시 성북구 정릉로 242	37.60474095	127.0105829
종암동새날어린이도서관	서울특별시 성북구 종암로 98-8	37.5990314	127.035222
청수도서관	서울특별시 성북구 보국문로16가길 20	37.61175536	127.0107763
해오름어린이도서관	서울특별시 성북구 성북로4길 52	37.59558967	127.0121197
가락몰도서관	서울특별시 송파구 양재대로 932 서울시농수산식품공사 가락몰 업무동 4층	37.49467422	127.1086491
거마도서관	서울특별시 송파구 거마로2길19	37.4935326	127.146824
돌마리도서관	서울특별시 송파구 백제고분로 37길 16	37.50356529	127.1036861
서울특별시교육청송파도서관	서울특별시 송파구 동남로 263	37.49999503	127.1348515
소나무언덕2호작은도서관	서울특별시 송파구 석촌호수로 155	37.5072682	127.0942189
소나무언덕3호작은도서관	서울특별시 송파구 성내천로 319	37.49233228	127.1566451
소나무언덕잠실본동작은도서관	서울특별시 송파구 탄천동로 211 (잠실동 306번지) 잠실빗물펌프장 관사동	37.50309253	127.0788491
송파글마루도서관	서울특별시 송파구 충민로 120	37.4808353	127.1304785
송파어린이도서관	서울특별시 송파구 올림픽로 105 (잠실동 19-6)	37.51210257	127.0823945
송파어린이영어작은도서관	서울특별시 송파구 오금로 1(신천동) 신천빗물펌프장 4~5층	37.5223926	127.102983
송파위례도서관	서울특별시 송파구 장지동 위례광장로 210 위례동복합청사 4 5층	37.48116507	127.1439372
지샘터올림픽공원도서관	서울특별시 송파구 올림픽로 424(방이동) 스포츠비즈홀 1층	37.51225244	127.1135035
갈산도서관	서울특별시 양천구 목동남로4길 48 	37.50898517	126.8671394
개울건강도서관	서울특별시 양천구 중앙로52길 56	37.52597157	126.8565997
목마교육도서관	서울특별시 양천구 목동서로 41 목5동주민센터	37.54250898	126.8721113
미감도서관	서울특별시 양천구 목동중앙남로 57-10(목동) 목사랑시장고객주차장 및 공유센터 3층	37.53896815	126.8654892
방아다리문학도서관	서울특별시 양천구 화곡로4길 10	37.53858309	126.8271748
서울특별시교육청양천도서관	서울특별시 양천구 목동서로 113	37.53349939	126.8757691
신월음악도서관	서울특별시 양천구 오목로5길 34	37.5246975	126.8400821
양천영어특성화도서관	서울특별시 양천구 목동동로 81 해누리타운 7층 양천영어도서관 및 영어체험센터	37.5159767	126.8638554
해맞이역사도서관	서울특별시 양천구 지양로 37 	37.51907269	126.8356052
대림정보문화도서관	서울특별시 영등포구 도신로 27	37.50431669	126.8960768
문래정보문화도서관	서울특별시 영등포구 문래로20길 49	37.51685383	126.8908928
서울특별시교육청영등포평생학습관	서울특별시 영등포구 버드나루로15길 10	37.52580934	126.9071819
선유정보문화도서관	서울특별시 영등포구 선유로43가길 10-8	37.53333762	126.8929418
여의디지털도서관	서울특별시 영등포구 여의대로 24 전국경제인연합회 후생복지동	37.52217929	126.9199164
서울특별시교육청남산도서관	서울특별시 용산구 소월로 109	37.55255227	126.9821555
서울특별시교육청용산도서관	서울특별시 용산구 두텁바위로 160	37.55200494	126.9801399
용산꿈나무도서관	서울특별시 용산구 백범로329(원효로1가 꿈나무타운) 3층	37.54189105	126.9684171
청파도서관	서울특별시 용산구 청파로93길 27(서계동) 1층	37.55278347	126.9675304
구산동도서관마을	서울특별시 은평구 연서로 13길 29-23	37.60950609	126.9130867
내를건너서숲으로도서관	서울시특별시 은평구 증산로17길 50	37.59169634	126.908048
상림마을작은도서관	서울특별시 은평구 진관4로 48-25 공원관리사무실 내	37.64421437	126.9289416
은평구립도서관	서울특별시 은평구 통일로78가길 13-84	37.61897708	126.9282714
은평뉴타운도서관	서울특별시 은평구 진관2로 111-51	37.63722997	126.9331171
응암정보도서관	서울특별시 은평구 가좌로7길 15	37.58596642	126.9196809
증산정보도서관	서울특별시 은평구 증산로5길 6	37.58280957	126.9076717
4.19혁명기념도서관	서울특별시 종로구 새문안로 17	37.56744473	126.9676935
서울특별시교육청어린이도서관	서울특별시 종로구 사직로9길 7	37.57607257	126.9683689
서울특별시교육청정독도서관	서울특별시 종로구 북촌로5길 48 	37.58103147	126.983694
서울특별시교육청종로도서관	서울특별시 종로구 사직로9길 15-14	37.5764504	126.9664672
아름꿈도서관	서울특별시 종로구 종로58가길 19	37.57261854	127.0169671
청운문학도서관	서울특별시 종로구 자하문로36길 40	37.59037936	126.9659196
청운문학도서관	서울특별시 종로구 자하문로36길 40	37.59037936	126.9659196
가온도서관	서울특별시 중구 동호로14길 18	37.5563848	127.0108371
남산타운문화체육센터어린이도서관	서울특별시 중구 다산로 32	37.54949484	127.0088734
어울림도서관	서울특별시 중구 다산로38길 66-35	37.56171915	127.0189284
한국학생공공도서관대학문화원(구한국학생도서관)	서울특별시 중구 동호로27길 30	37.56070426	127.0021513
양원숲속도서관	서울특별시 중랑구 망우로73길 46-1(망우동)	37.60266318	127.1039257
중랑구립면목정보도서관	서울특별시 중랑구 면목로 397	37.58735398	127.0875542
중랑구립정보도서관	서울특별시 중랑구 신내로15길 197	37.61517065	127.0869063
중랑숲어린이도서관	서울특별시 중랑구 망우로73길 46-1	37.60266318	127.1039257
