"순번","서소코드","서소이름","위도","경도"
"88","73280","광진119구조대","37.5448957","127.0828184"
"90","87253","난곡119안전센터","37.4757348","126.9160573"
"91","71255","신영119안전센터","37.6058461","126.9608254"
"92","80236","서초소방서","37.4984222","126.9918713"
"93","76251","여의도119안전센터","37.5172538","126.9280278"
"94","80250","반포119안전센터","37.4984222","126.9918713"
"95","80280","서초119구조대","37.4983862","126.99186"
"96","85236","구로소방서","37.4977062","126.8652057"
"97","85250","고일119안전센터","37.4978594","126.8653299"
"98","85252","고척119안전센터","37.5049119","126.8549776"
"99","85256","신도림119안전센터","37.507444","126.8812233"
"100","76253","대림119안전센터","37.4974004","126.9041288"
"7","74280","용산119구조대","37.5340049","126.9716499"
"16","KK119","의정부-호원119","37.7207892","127.0481594"
"26","KK119","고양-신도119","37.6522187","126.8931941"
"35","KK119","성남-창곡119","37.461597","127.143874"
"44","KK119","김포-하성119","37.7110876","126.6377807"
"52","KK119","안양-석수119","37.4090702","126.909256"
"61","KK119","분당-구미119","37.3519239","127.1164917"
"71","74250","한강로119안전센터","37.5341185","126.9714757"
"80","86236","노원소방서","37.638098","127.0711823"
"89","73250","구의119안전센터","37.5448597","127.0826939"
"101","KK119","의정부-파발119","37.7494209","127.0612331"
"102","IC119","계양-장기119","37.5763927","126.7330524"
"103","KK119","일산-정발산119","37.6726417","126.7797968"
"104","71236","종로소방서","37.5729277","126.9789113"
"105","78251","녹번119안전센터","37.6011324","126.9350033"
"106","79280","강남119구조대","37.5102591","127.0667838"
"107","KK119","하남-감북119","37.5159937","127.1675222"
"109","IC119","부평-삼산119","37.5117216","126.7359835"
"110","IC119","남동-서창119","37.4392978","126.7389287"
"111","KK119","구리-교문119","37.5983207","127.1278067"
"112","KK119","분당-판교119","37.393087","127.0993704"
"113","88251","거여119안전센터","37.4941482","127.1518333"
"114","83253","성산119안전센터","37.5706105","126.9031214"
"115","85280","구로119구조대","37.4976882","126.8652171"
"116","78250","진관119안전센터","37.6288008","126.9200239"
"118","79252","역삼119안전센터","37.4971525","127.0423982"
"119","79254","개포119안전센터","37.4746445","127.0497891"
"120","79253","수서119안전센터","37.4849325","127.0929132"
"121","92252","홍은119안전센터","37.5987135","126.9470741"
"188","90251","면목119안전센터","37.5728263","127.0798532"
"197","72250","무학119안전센터","37.5648476","127.0154753"
"202","74253","이촌119안전센터","37.5301093","126.9534633"
"203","80255","우면119안전센터","37.4806625","127.0237406"
"204","89280","양천119구조대","37.5302417","126.8723724"
"205","75252","전농119안전센터","37.5763914","127.0458659"
"206","83236","마포소방서","37.5493754","126.9332731"
"207","71254","연건119안전센터","37.5793814","127.001904"
"208","KK119","성남-상대원119","37.432184","127.168971"
"209","KK119","남양주-금곡119","37.6310345","127.204397"
"210","KK119","남양주-별내119","37.6460535","127.129875"
"212","KK119","부천-중앙119","37.4940807","126.7781888"
"213","KK119","부천-괴안119","37.4827846","126.8104961"
"214","KK119","안양-호계119","37.3723134","126.962255"
"215","KK119","하남-신장119","37.5399427","127.2203846"
"216","KK119","양주-회천119","37.8462209","127.055634"
"217","KK119","분당-야탑119","37.4165568","127.1359086"
"218","KK119","시흥-은행119","37.4394111","126.7933357"
"219","KK119","고양-행신119","37.6151218","126.8435023"
"221","84250","방학119안전센터","37.6639697","127.0430998"
"222","KK119","구리-인창119","37.6042353","127.1418804"
"223","84236","도봉소방서","37.6639697","127.0430658"
"224","87250","관악119안전센터","37.4740233","126.9524732"
"225","73236","광진소방서","37.5449407","127.0827732"
"226","85254","독산119안전센터","37.4679587","126.8981589"
"227","74254","서빙고119안전센터","37.5208162","126.9950445"
"228","85251","수궁119안전센터","37.4963868","126.8295711"
"230","IC119","부평-십정119","37.4803242","126.697229"
"231","KK119","일산-장항119","37.6633928","126.7698134"
"232","76236","영등포소방서","37.5184583","126.904136"
"233","77252","길음119안전센터","37.6028366","127.0191388"
"234","80252","양재119안전센터","37.4693921","127.0408268"
"235","83250","신수119안전센터","37.5494368","126.9331076"
"236","78255","역촌119안전센터","37.6047894","126.9107297"
"237","92253","미근119안전센터","37.5646907","126.9668602"
"239","81280","강서119구조대","37.5580468","126.8603102"
"240","87252","신림119안전센터","37.4897774","126.9238816"
"241","84280","도봉119구조대","37.6639877","127.0430659"
