"자치단체코드","상호","휴폐업구분","업태","허가일자"
"3180000","영등포농축수산물쎈타","영업중","그밖의 대규모점포","19961203"
"3230000","잠실중앙상가","영업중","그밖의 대규모점포","19780328"
"3110000","홈플러스(주)익스프레스 불광점","영업중","그밖의 대규모점포","20111219"
"3220000","신원아침도시마인상가","영업중","그밖의 대규모점포","20140325"
"3230000","갤러리아 잠실점","폐업","그밖의 대규모점포","19880614"
"3110000","홈플러스(주)익스프레스 신사점","영업중","그밖의 대규모점포","20120206"
"3130000","홈플러스익스프레스 연남점","영업중","그밖의 대규모점포","20120417"
"3230000","주-한화유통","휴업","그밖의 대규모점포","19780307"
"3130000","홈플러스익스프레스도화점","영업중","그밖의 대규모점포","20111212"
"3230000","가락동포스코주상복합상가","폐업","그밖의 대규모점포","19961105"
"3230000","주-화신유통","폐업","","19880819"
"3230000","석우종합시장","폐업","그밖의 대규모점포","19800307"
"3150000","(주)이마트 공항점","영업중","대형마트","20030123"
"3130000","홈플러스익스프레스용강점","영업중","구분없음","20111206"
"3140000","신한이모르젠상가","휴업","그밖의 대규모점포","20060328"
"3180000","타임스퀘어","영업중","쇼핑센터","19940826"
"3150000","신세계이마트(공항점)","휴업","대형마트","20030123"
"3200000","봉일시장","영업중","그밖의 대규모점포","19711222"
"3180000","홈플러스(주) 익스프레스 양평점","영업중","대형마트","20111002"
"3220000","현대백화점 무역센터점","영업중","백화점","19881010"
"3200000","가야쇼핑","영업중","시장","19751226"
"3240000","롯데쇼핑(주)롯데슈퍼둔촌점","폐업","대형마트","20111007"
"3010000","라모도쇼핑몰","영업재개","그밖의 대규모점포","20060607"
"3150000","삼성테스코(주)홈플러스강서점","휴업","대형마트","20060210"
"3150000","그랜드패션아울렛","휴업","그밖의 대규모점포","19950501"
"3150000","그랜드백화점(주)마트화곡점","휴업","대형마트","20040503"
"3150000","(주)이랜드리테일홈에버가양점","휴업","쇼핑센터","20001006"
"3150000","방신종합시장 재건축조합","휴업","그밖의 대규모점포","20020801"
"3150000","(주)공항시장","휴업","그밖의 대규모점포","20040219"
"3240000","동아코아","휴업","쇼핑센터","20050720"
"3240000","동아코아","휴업","쇼핑센터","20050720"
"3240000","동아코아","휴업","쇼핑센터","20050720"
"3240000","동아코아","휴업","쇼핑센터","20050720"
"3240000","현대프라자","휴업","그밖의 대규모점포","19900528"
"3240000","킴스클럽","휴업","대형마트","20000614"
"3240000","천호신시장","휴업","그밖의 대규모점포","20050112"
"3010000","헬로우에이피엠","영업중","그밖의 대규모점포","20020722"
