○ 유형별 매매가격 대비 전세가격 비율 [%],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
주택유형,지역,항목,단위,2012. 01 월,2012. 02 월,2012. 03 월,2012. 04 월,2012. 05 월,2012. 06 월,2012. 07 월,2012. 08 월,2012. 09 월,2012. 10 월,2012. 11 월,2012. 12 월,2013. 01 월,2013. 02 월,2013. 03 월,2013. 04 월,2013. 05 월,2013. 06 월,2013. 07 월,2013. 08 월,2013. 09 월,2013. 10 월,2013. 11 월,2013. 12 월,2014. 01 월,2014. 02 월,2014. 03 월,2014. 04 월,2014. 05 월,2014. 06 월,2014. 07 월,2014. 08 월,2014. 09 월,2014. 10 월,2014. 11 월,2014. 12 월,2015. 01 월,2015. 02 월,2015. 03 월,2015. 04 월,2015. 05 월,2015. 06 월,2015. 07 월,2015. 08 월,2015. 09 월,2015. 10 월,2015. 11 월,2015. 12 월,2016. 01 월,2016. 02 월,2016. 03 월,2016. 04 월,2016. 05 월,2016. 06 월,2016. 07 월,2016. 08 월,2016. 09 월,2016. 10 월,2016. 11 월,2016. 12 월,2017. 01 월,2017. 02 월,2017. 03 월,2017. 04 월,2017. 05 월,2017. 06 월,2017. 07 월,2017. 08 월,2017. 09 월,2017. 10 월,2017. 11 월,2017. 12 월,2018. 01 월,2018. 02 월,2018. 03 월,2018. 04 월,2018. 05 월,2018. 06 월,2018. 07 월,2018. 08 월,2018. 09 월,2018. 10 월,2018. 11 월,2018. 12 월,2019. 01 월,2019. 02 월,2019. 03 월,2019. 04 월,2019. 05 월,2019. 06 월,2019. 07 월,2019. 08 월,2019. 09 월,2019. 10 월,2019. 11 월,2019. 12 월
아파트,종로,매매가격 대비 전세가격,,58.60162602,58.60162602,58.60162602,58.66025641,58.66025641,58.66025641,58.66025641,58.97435897,59.03263403,59.13125336,59.13125336,58.99843639,59.05781687,59.11719734,59.64309112,59.99378443,60.24320042,60.65408468,61.18090684,61.52689005,61.95840316,62.27582773,62.41852529,62.47954492,63.67568974,63.98750031,64.13928526,64.28705115,64.33459069,64.38256696,64.38240861,64.48122492,64.72359519,64.88253718,64.94805117,66.11689269,66.20943568,66.28936575,66.64020775,66.76902831,66.79004021,66.87150549,70.48160452,70.50038467,70.7477337,71.03178734,71.28647269,71.38602511,71.44866757,71.5215248,71.56746505,71.63965527,71.86604677,71.92279599,72.11236226,72.2018057,72.21709684,72.3065614,72.4060936,72.49242358,72.52415209,72.62108069,72.67246359,72.70048703,72.72278514,72.6467952,72.60570562,72.47392908,72.51321243,72.4733389,72.45114165,72.11106498,71.93953241,71.57119554,71.52670104,71.09344126,70.937935,71.04394129,70.83212192,70.35891752,70.10506308,69.56328093,69.623672,69.46083169,65.7481536,65.63173448,64.99493584,64.76687585,64.67617518,64.6753014,64.66616606,64.58758896,64.49384496,64.41553688,64.43730054,64.25995947
아파트,중,매매가격 대비 전세가격,,56.44009774,56.44009774,55.69620253,55.70524412,56.10477548,55.99640473,56.57327586,57.38710614,57.99148607,58.42198582,59.58710407,60.28956509,60.62605434,61.05514698,62.15095255,62.88712376,62.99386945,63.00798991,63.87439008,65.43326062,65.85356065,66.68028663,68.1926642,68.72590572,69.55990903,69.75694431,69.84892742,69.96954711,70.01196374,70.2250783,70.43794062,70.54358207,70.71740296,71.03795544,71.1437357,71.38910045,71.42109481,71.57592249,71.70947389,71.70989218,71.66814044,71.74699225,73.27829204,73.34088357,73.41586987,73.51324119,73.63208489,73.70837443,73.72474276,73.75728703,73.81458142,73.86627146,73.90019426,73.95097741,74.03388358,74.03571314,73.9893677,74.00098576,74.04702422,74.0743347,74.11659007,74.15330496,74.17667913,74.19912038,74.09358452,73.84515957,73.76517787,73.60312646,73.79627953,73.86179393,73.83211819,75.96955894,75.69922062,75.15434065,74.35522077,73.78665464,73.27848074,72.84638012,72.40254707,71.73723576,70.98456489,70.77072363,70.55234873,70.38330705,65.18042323,65.17618657,65.15047525,65.18064095,65.20667976,65.19856734,65.1051797,64.91837547,64.83607303,64.54338926,64.32476755,64.18733986
아파트,용산,매매가격 대비 전세가격,,44.95762712,44.95762712,45.57673509,45.57673509,45.64581495,45.77909542,45.77909542,46.01421009,45.92103843,46.01544868,47.00302607,45.78227216,46.19210516,46.4995596,46.99246423,48.07675915,48.46024525,48.77207978,49.1928646,49.97115531,50.50712583,51.335213,51.81912577,52.23128126,52.80261902,53.33453051,53.83844503,54.3111803,54.67085635,54.96292208,55.15002729,55.35184845,55.52763464,55.51753164,55.58866896,55.78511579,56.01828466,56.21126482,56.35373979,56.61175182,56.72959852,56.90436753,60.18448557,60.31649018,60.31700705,60.52082114,60.60139879,60.68466988,60.77678206,60.87754741,61.00335751,61.04597997,61.14441582,61.15024927,61.14156958,61.06029506,61.00781831,60.93864592,60.89015789,60.90968515,60.92435798,60.95819819,60.9496818,60.89565354,60.85627106,60.50283846,60.16445704,59.71291321,59.68123973,59.6350066,59.49623501,57.84044333,56.94800157,55.36975433,54.57608876,54.3433492,54.11294581,53.96852532,53.6340985,52.7571928,52.04946979,51.99165928,51.82142457,51.74394116,45.12589401,45.0069018,45.01525221,45.00330911,44.98466853,44.95907938,44.89559601,44.8455013,44.76776001,44.64701738,44.52314513,44.43292995
아파트,동북권,매매가격 대비 전세가격,,58.43490639,58.55833972,58.54052577,58.53477115,58.58410933,58.70118382,58.77639788,58.86694292,59.40640833,59.98270491,60.53038539,60.86233174,61.38301959,62.13385258,62.81445001,63.24888565,63.41954225,63.55190487,64.19564651,65.07679179,66.02566228,66.68427217,67.48014269,67.93077618,68.38934277,68.73956501,69.11359482,69.35377754,69.48671179,69.59029621,69.81969711,70.01261937,70.1508709,70.31230278,70.52258039,70.73964268,70.89173041,71.08811587,71.29262643,71.63561399,71.84921561,72.0369424,73.79373668,73.97041996,74.32532511,74.63131662,75.02140211,75.30563058,75.49552625,75.63296169,75.75596432,75.83798196,75.92509199,75.99485125,76.04536018,75.98068432,75.91123938,75.76204944,75.60006752,75.56021384,75.56402437,75.57821686,75.59233599,75.54293866,75.38353728,75.00636405,74.63448229,74.35343102,74.44540306,74.38830611,74.28613567,74.74170769,74.4306239,74.03963544,73.65296812,73.41404873,73.17253886,72.89950029,72.62917906,72.27916261,71.32578326,70.98359888,70.88888193,70.93578942,62.50708826,62.4191709,62.29809938,62.31795348,62.37480694,62.40876675,62.39650451,62.37988425,62.31943916,62.18629757,62.03645299,61.86851197
아파트,성동,매매가격 대비 전세가격,,56.91311612,56.91311612,56.94509,57.99886942,57.97846542,58.55823351,58.55823351,59.29830867,59.52834881,59.92125984,60.4001442,61.64437427,62.51331864,64.06012727,65.2697155,66.09228294,65.94767194,66.04114942,67.02428604,68.19282153,69.27934787,69.52527497,70.13727662,70.76114776,71.88750061,72.50739784,73.20144668,74.01946512,73.99449169,74.04536474,74.19588009,74.3392862,74.35562451,74.44698866,74.65958444,74.79962808,74.94401158,75.21022067,75.70228321,76.60070101,76.60857596,76.74240305,76.93744265,77.09724335,77.25141477,77.47891206,77.74208537,78.25127875,78.5564118,78.61279136,78.71094994,78.83672159,78.96195299,79.10828203,79.25842926,79.23412433,79.1008113,78.86163252,78.59944502,78.50432044,78.41636642,78.39856541,78.43661323,78.40417594,78.13199088,77.48145131,76.96271244,76.67971942,77.14351015,77.15234272,76.80368561,71.09331179,70.30579119,69.00325413,68.41068838,67.93936709,67.80592381,67.54012952,67.07184318,66.39566224,65.25541987,65.34630472,65.51937603,65.69806347,56.80921737,56.69327974,56.64442061,56.77758623,57.09343985,57.23846885,57.24370919,57.21596182,57.13168431,56.99595442,56.82974815,56.65479845
아파트,광진,매매가격 대비 전세가격,,53.18772971,53.18772971,53.48557692,53.34821429,53.34821429,52.87828947,53.39861751,53.34821429,53.72685185,54.56535335,55.32822684,55.82556958,56.55286948,57.48343366,58.07855201,58.78051055,59.71983827,60.30453226,61.3358725,62.29153873,63.48772388,63.95572833,64.19535174,64.70430791,65.3492584,65.81907205,66.28644134,66.64247067,66.84182303,66.92084805,67.19841757,67.44531158,67.65478848,67.802594,67.96916254,68.13105136,68.23184222,68.35128088,68.40167713,68.71697163,68.90831274,69.17267863,70.20539384,70.38887949,70.68489137,71.07361823,71.5127629,71.80712258,71.97474041,72.20318233,72.40363253,72.50619749,72.52506386,72.45724527,72.36768064,72.30912759,72.15479622,72.01020288,71.89523202,71.79623232,71.80574018,71.81070675,71.78510326,71.66761603,71.27059967,70.81550136,70.55220347,70.20629267,70.24529209,70.00660693,69.86241495,71.44999256,70.69089302,69.93275858,69.08651711,68.65073241,68.23160575,68.17672165,67.9365937,67.76411823,67.05430488,66.92549159,66.82469309,66.89301459,61.50475087,61.42570774,61.3815989,61.3196166,61.3253661,61.34886569,61.35344406,61.39036172,61.41531694,61.16512996,61.04902808,60.97823009
아파트,동대문,매매가격 대비 전세가격,,60,60,60.33114395,60.20917776,60.33636437,60.41007293,60.14897205,59.69229919,60.52734821,61.21590743,62.15442699,62.57947581,63.16697575,64.2038953,65.03872432,65.4842342,65.57615686,65.79288836,66.49087959,66.9636519,67.49026117,67.8720426,68.44480904,68.9395021,69.23054931,69.48392853,69.95398249,70.55090618,70.83371558,70.90214193,71.17864677,71.36958861,71.54295804,71.69530905,71.75064999,71.98176477,72.13881767,72.61802022,73.10522941,73.43213404,73.6495303,73.8264855,73.82684806,73.91957958,73.90894933,73.94107604,74.01270764,74.18506447,74.24689559,74.32834618,74.54814881,74.68079258,74.81794116,75.07295487,75.39500694,75.38836749,75.37904493,75.21944711,75.14775668,75.13069197,75.13484123,75.15543211,75.18766408,75.09240264,74.99123426,74.73885865,74.5954725,74.44969657,74.41676632,74.41830003,74.38565997,79.42765932,79.20623329,78.85306776,78.53792068,78.19323838,77.8095331,77.27493729,76.66947864,76.0786263,75.26034069,74.81290459,74.67373944,74.76025854,63.15968159,63.17594735,63.16338298,63.24840153,63.3282333,63.4366878,63.44626539,63.38627715,63.3209294,63.11559179,62.84184556,62.45575379
아파트,중랑,매매가격 대비 전세가격,,61.09375,60.90353261,61.11280488,60.82589286,61.02430556,61.25,61.15257048,61.02430556,61.20071685,61.45205823,62.16655823,63.75386787,64.10367922,64.80815176,65.73920007,65.78903052,65.85839875,65.99630638,66.96359644,67.68683179,68.74376587,69.03116179,69.54398406,69.87101647,70.26622239,70.64116547,70.90434234,71.18569342,71.46042623,71.64805028,71.90178277,72.0970508,72.16532307,72.29722198,72.38675101,72.60270451,72.74029947,72.80606186,72.91857166,73.05471891,73.18237598,73.36664563,73.31367715,73.44084855,73.61380098,73.78084499,74.25993777,74.48456777,74.81146677,74.9576338,75.03455239,75.10207293,75.08211859,75.09289931,75.14640539,75.17827612,75.40434968,75.45570005,75.44072308,75.45556217,75.46255592,75.44905589,75.46698955,75.48692578,75.47079949,75.46411406,75.45022393,75.36021128,75.46843757,75.43562878,75.45078102,79.47438997,79.40383198,79.34066505,79.12639757,79.06092871,78.86155216,78.74063587,78.49444611,78.32722672,77.5835622,77.2641904,77.14834521,77.13918481,69.51807803,69.47190706,69.50683901,69.52966367,69.52887803,69.52921182,69.51149202,69.4521187,69.41297868,69.2806845,69.0926055,68.95686606
아파트,성북,매매가격 대비 전세가격,,59.5491388,59.66528282,59.73124098,59.73124098,60.1369863,60,60.25936599,60.63089916,60.82026248,60.82026248,60.82026248,61.10145169,61.13103284,61.61311787,62.40735754,63.26066171,64.28370391,64.93636804,65.63766016,66.24987365,66.50374144,67.18885844,67.59144148,67.99936294,68.26242953,68.48595073,68.90087467,69.10122296,69.38774126,69.65131026,69.9203424,70.02412566,70.21835074,70.48564353,70.78962976,71.10957522,71.31842717,71.47718502,71.69059983,71.94290293,72.12449852,72.35940647,77.02133897,77.36499122,77.65433004,77.83807934,78.1533657,78.26943788,78.40474328,78.58921996,78.70112764,78.76056619,78.82847768,79.00365543,79.19167896,79.13683432,79.15171711,79.17028527,79.22379969,79.28549906,79.33036029,79.36203861,79.36052194,79.37954742,79.37349755,79.15414834,78.9999722,78.75837042,78.74297808,78.69802479,78.65280279,81.30753179,81.20845972,80.73299016,80.154815,79.74900054,79.19034849,78.71473282,78.49745193,78.149221,77.20857648,76.82541788,76.62499011,76.627471,67.58284097,67.20591373,66.82541108,66.68070086,66.67304482,66.64326236,66.62975585,66.64461698,66.61105486,66.48961514,66.35060035,66.20213152
아파트,강북,매매가격 대비 전세가격,,54.28571429,54.47860963,53.125,54.41176471,54.49166218,54.54545455,54.54545455,54.25266598,54.87804878,55.37523452,56.59716599,58.32659373,58.88787867,59.3231941,60.10742201,60.85053312,60.93145712,60.97853955,61.54215207,62.25198872,63.18878378,63.98661912,64.62783122,64.92565093,65.13422893,65.67270765,66.48266093,66.67265628,66.6308473,66.71214327,66.9231785,67.13219961,67.51846129,67.83444594,68.25097788,68.53347015,68.82774467,69.0615119,69.54648089,70.03094623,70.44997412,70.87063993,73.85633341,73.88375815,74.05125567,74.29466086,74.58942704,74.92392448,75.05660212,75.17736319,75.29455191,75.33967659,75.45233246,75.45895082,75.4165975,75.35692455,75.47152915,75.45274782,75.5293821,75.5211827,75.53629774,75.56058191,75.5940206,75.49332939,75.38103398,75.22615293,75.12436041,74.96370448,75.01540861,74.94486425,74.92510273,77.59632739,77.20445179,77.40671336,77.00044675,76.70609632,76.45675952,76.07288405,75.5503023,75.0510167,74.25467492,74.02275894,73.99697368,73.88775337,66.95938363,66.42387627,65.32164987,64.95762937,64.96798064,65.07922005,65.09002198,65.08481133,64.95463344,64.97850645,64.85460802,64.76358193
