"행정구역(시군구)별","이동규모별","항목","단위","2014. 12 월",
"전국","계","총전입","건","424255",
"전국","계","총전출","건","424255",
"전국","계","순이동","건","0",
"전국","계","시도내-시군구내이동","건","134771",
"전국","계","시도내-시군구간전입","건","118077",
"전국","계","시도내-시군구간전출","건","118077",
"전국","계","시도간전입","건","171407",
"전국","계","시도간전출","건","171407",
"전국","1인","총전입","건","288296",
"전국","1인","총전출","건","288296",
"전국","1인","순이동","건","0",
"전국","1인","시도내-시군구내이동","건","72761",
"전국","1인","시도내-시군구간전입","건","79973",
"전국","1인","시도내-시군구간전출","건","79973",
"전국","1인","시도간전입","건","135562",
"전국","1인","시도간전출","건","135562",
"전국","2인","총전입","건","52968",
"전국","2인","총전출","건","52968",
"전국","2인","순이동","건","0",
"전국","2인","시도내-시군구내이동","건","21703",
"전국","2인","시도내-시군구간전입","건","15078",
"전국","2인","시도내-시군구간전출","건","15078",
"전국","2인","시도간전입","건","16187",
"전국","2인","시도간전출","건","16187",
"전국","3인","총전입","건","39995",
"전국","3인","총전출","건","39995",
"전국","3인","순이동","건","0",
"전국","3인","시도내-시군구내이동","건","18464",
"전국","3인","시도내-시군구간전입","건","11562",
"전국","3인","시도내-시군구간전출","건","11562",
"전국","3인","시도간전입","건","9969",
"전국","3인","시도간전출","건","9969",
"전국","4인","총전입","건","33508",
"전국","4인","총전출","건","33508",
"전국","4인","순이동","건","0",
"전국","4인","시도내-시군구내이동","건","16806",
"전국","4인","시도내-시군구간전입","건","9136",
"전국","4인","시도내-시군구간전출","건","9136",
"전국","4인","시도간전입","건","7566",
"전국","4인","시도간전출","건","7566",
"전국","5인","총전입","건","7833",
"전국","5인","총전출","건","7833",
"전국","5인","순이동","건","0",
"전국","5인","시도내-시군구내이동","건","4125",
"전국","5인","시도내-시군구간전입","건","1935",
"전국","5인","시도내-시군구간전출","건","1935",
"전국","5인","시도간전입","건","1773",
"전국","5인","시도간전출","건","1773",
"전국","6인","총전입","건","1309",
"전국","6인","총전출","건","1309",
"전국","6인","순이동","건","0",
"전국","6인","시도내-시군구내이동","건","736",
"전국","6인","시도내-시군구간전입","건","308",
"전국","6인","시도내-시군구간전출","건","308",
"전국","6인","시도간전입","건","265",
"전국","6인","시도간전출","건","265",
"전국","7인","총전입","건","270",
"전국","7인","총전출","건","270",
"전국","7인","순이동","건","0",
"전국","7인","시도내-시군구내이동","건","134",
"전국","7인","시도내-시군구간전입","건","72",
"전국","7인","시도내-시군구간전출","건","72",
"전국","7인","시도간전입","건","64",
"전국","7인","시도간전출","건","64",
"전국","8인","총전입","건","50",
"전국","8인","총전출","건","50",
"전국","8인","순이동","건","0",
"전국","8인","시도내-시군구내이동","건","30",
"전국","8인","시도내-시군구간전입","건","5",
"전국","8인","시도내-시군구간전출","건","5",
"전국","8인","시도간전입","건","15",
"전국","8인","시도간전출","건","15",
"전국","9인","총전입","건","18",
"전국","9인","총전출","건","18",
"전국","9인","순이동","건","0",
"전국","9인","시도내-시군구내이동","건","9",
"전국","9인","시도내-시군구간전입","건","5",
"전국","9인","시도내-시군구간전출","건","5",
"전국","9인","시도간전입","건","4",
"전국","9인","시도간전출","건","4",
"전국","10인이상","총전입","건","8",
"전국","10인이상","총전출","건","8",
"전국","10인이상","순이동","건","0",
"전국","10인이상","시도내-시군구내이동","건","3",
"전국","10인이상","시도내-시군구간전입","건","3",
"전국","10인이상","시도내-시군구간전출","건","3",
"전국","10인이상","시도간전입","건","2",
"전국","10인이상","시도간전출","건","2",
"서울특별시","계","총전입","건","80714",
"서울특별시","계","총전출","건","87236",
"서울특별시","계","순이동","건","-6522",
"서울특별시","계","시도내-시군구내이동","건","20064",
"서울특별시","계","시도내-시군구간전입","건","30433",
"서울특별시","계","시도내-시군구간전출","건","30433",
"서울특별시","계","시도간전입","건","30217",
"서울특별시","계","시도간전출","건","36739",
"서울특별시","1인","총전입","건","54891",
"서울특별시","1인","총전출","건","58128",
"서울특별시","1인","순이동","건","-3237",
