계정항목코드별,"M2(평잔,원계열)",현금통화,요구불예금,MMF,만기2년미만정기예적금,양도성예금증서,매출어음,CMA,수익증권
2018. 03,2578361.8,98577.7,220307.3,62076.1,999082.7,24769.7,357.2,47823,184552.4
2018. 04,2590840.7,98236.3,220992.7,61828.4,1007269.6,24556.4,341.8,47265.4,188845.4
2018. 05,2600274.3,99121.9,221712.9,64689.8,1020740.8,25042.6,320.1,45023.6,186191.2
2018. 06,2622268.3,98939.3,225238.3,69251.9,1032544.8,26025.4,326.3,45279.9,189630.9
2018. 07,2637421.8,99143.1,224146,70872.6,1042339.2,28330.5,343.1,44421.1,193726.2
2018. 08,2651503.4,99452.9,221774.1,74495.7,1051895.3,27211.9,343.7,44116.7,193691.2
2018. 09,2652829.5,101615.9,225156.6,56853.4,1065153.9,25476.8,342.9,43725.4,197427.4
2018. 10,2674506.5,102340.3,223725.8,57677.9,1083014,25668.4,338.5,42663.6,200131.2
2018. 11,2692974.8,102587.7,222402.7,59263.5,1094905.7,27671.1,335.4,42278.7,202010.4
2018. 12,2699882.3,103397.2,225635.2,51063.9,1094973.6,27827,340.3,42168.8,207182.9
2019. 01,2716722,104583.8,226836.4,57816.2,1098154.1,26963.9,362.3,42370.4,209120.4
2019. 02,2730481.9,107730.6,229127.9,56532.1,1106922.6,26210.8,372.3,42483.5,211185.8
2019. 03,2752723.9,106160.2,230198.2,55936.2,1120331.7,26754.5,359.8,42137.5,210656.1
2019. 04,2763058,106539.3,232732,54193.9,1128243.8,25859,330.4,43500.6,211903.3
2019. 05,2771633,107449.4,233371.9,54527.3,1137778.1,24823.3,312.7,43457.7,211484.3
2019. 06,2799248,107350,236938,54595.9,1149658.3,23562.8,313,42126,215311.6
2019. 07,2811543.7,107479.5,236425.4,50820.5,1160682.2,21367.3,312.9,42429.9,218082
2019. 08,2832566.1,108202.9,237218,50487.7,1176732.9,19524.9,299.6,42117,216662
2019. 09,2853272,111768.4,239676,44541.7,1186785.6,19549.7,293.8,42171.5,222503.4
2019. 10,2874176.1,111128.3,242047.1,50991.2,1201916.8,18654.2,288,40914,222908.9
2019. 11,2901465.4,112061.2,245000.7,46953.7,1213871.8,17885.9,273.8,41141.6,223880.3
