,종가,거래량,거래대금,변동 %
2016년 11월 01일,"2,007.39",321.78M,645937.9542K,-0.04%
2016년 10월 31일,"2,008.19",400.66M,804601.4054K,-0.56%
2016년 10월 28일,"2,019.42",270.53M,546313.6926K,-0.23%
2016년 10월 27일,"2,024.12",298.69M,604584.4028K,0.51%
2016년 10월 26일,"2,013.89",392.40M,790250.436K,-1.14%
2016년 10월 25일,"2,037.17",299.10M,609317.547K,-0.52%
2016년 10월 24일,"2,047.74",252.04M,516112.3896K,0.73%
2016년 10월 21일,"2,033.00",260.36M,529311.88K,-0.37%
2016년 10월 20일,"2,040.60",276.00M,563205.6K,-0.02%
2016년 10월 19일,"2,040.94",321.94M,657060.2236K,0.02%
2016년 10월 18일,"2,040.43",305.93M,624228.7499K,0.63%
2016년 10월 17일,"2,027.61",333.40M,676005.174K,0.24%
2016년 10월 14일,"2,022.66",458.90M,928198.674K,0.36%
2016년 10월 13일,"2,015.44",440.26M,887317.6144K,-0.90%
2016년 10월 12일,"2,033.73",297.37M,604770.2901K,0.09%
2016년 10월 11일,"2,031.93",343.22M,697399.0146K,-1.21%
2016년 10월 10일,"2,056.82",314.90M,647692.618K,0.15%
2016년 10월 07일,"2,053.80",422.45M,867627.81K,-0.56%
2016년 10월 06일,"2,065.30",337.71M,697472.463K,0.60%
2016년 10월 05일,"2,053.00",292.34M,600174.02K,-0.09%
2016년 10월 04일,"2,054.86",318.85M,655192.111K,0.55%
2016년 09월 30일,"2,043.63",326.39M,667020.3957K,-1.21%
2016년 09월 29일,"2,068.72",416.17M,860939.2024K,0.76%
2016년 09월 28일,"2,053.06",546.45M,1121894.637K,-0.47%
2016년 09월 27일,"2,062.82",664.04M,1369794.993K,0.77%
2016년 09월 26일,"2,047.11",359.62M,736181.6982K,-0.34%
2016년 09월 23일,"2,054.07",494.11M,1014936.528K,0.21%
2016년 09월 22일,"2,049.70",447.59M,917425.223K,0.67%
2016년 09월 21일,"2,035.99",525.10M,1069098.349K,0.51%
2016년 09월 20일,"2,025.71",362.34M,733995.7614K,0.49%
2016년 09월 19일,"2,015.78",434.44M,875735.4632K,0.82%
2016년 09월 13일,"1,999.36",437.42M,874560.0512K,0.40%
2016년 09월 12일,"1,991.48",422.88M,842157.0624K,-2.28%
2016년 09월 09일,"2,037.87",392.68M,800230.7916K,-1.25%
2016년 09월 08일,"2,063.73",656.65M,1355148.305K,0.09%
2016년 09월 07일,"2,061.88",687.16M,1416841.461K,-0.23%
2016년 09월 06일,"2,066.53",462.55M,955873.4515K,0.31%
2016년 09월 05일,"2,060.08",572.97M,1180364.038K,1.07%
2016년 09월 02일,"2,038.31",342.63M,698386.1553K,0.28%
2016년 09월 01일,"2,032.72",300.51M,610852.6872K,-0.09%
2016년 08월 31일,"2,034.65",400.95M,815792.9175K,-0.25%
2016년 08월 30일,"2,039.74",378.56M,772163.9744K,0.36%
2016년 08월 29일,"2,032.35",316.97M,644193.9795K,-0.25%
2016년 08월 26일,"2,037.50",288.18M,587166.75K,-0.27%
2016년 08월 25일,"2,042.92",277.43M,566767.2956K,-0.04%
2016년 08월 24일,"2,043.76",285.18M,582839.4768K,-0.30%
2016년 08월 23일,"2,049.93",360.41M,738815.2713K,0.38%
2016년 08월 22일,"2,042.16",343.50M,701481.96K,-0.68%
2016년 08월 19일,"2,056.24",392.32M,806704.0768K,0.04%
2016년 08월 18일,"2,055.47",353.08M,725745.3476K,0.57%
2016년 08월 17일,"2,043.75",391.72M,800577.75K,-0.20%
2016년 08월 16일,"2,047.76",374.87M,767643.7912K,-0.13%
2016년 08월 12일,"2,050.47",376.49M,771981.4503K,0.08%
2016년 08월 11일,"2,048.80",346.08M,709048.704K,0.20%
2016년 08월 10일,"2,044.64",331.09M,676959.8576K,0.04%
2016년 08월 09일,"2,043.78",436.72M,892559.6016K,0.62%
2016년 08월 08일,"2,031.12",270.48M,549377.3376K,0.65%
2016년 08월 05일,"2,017.94",289.29M,583769.8626K,0.90%
2016년 08월 04일,"2,000.03",326.51M,653029.7953K,0.26%
2016년 08월 03일,"1,994.79",485.85M,969168.7215K,-1.20%
2016년 08월 02일,"2,019.03",409.94M,827681.1582K,-0.52%
2016년 08월 01일,"2,029.61",369.59M,750123.5599K,0.67%
2016년 07월 29일,"2,016.19",366.38M,738691.6922K,-0.24%
2016년 07월 28일,"2,021.10",350.88M,709163.568K,-0.20%
2016년 07월 27일,"2,025.05",411.66M,833632.083K,-0.11%
2016년 07월 26일,"2,027.34",338.61M,686477.5974K,0.75%
2016년 07월 25일,"2,012.32",350.23M,704774.8336K,0.10%
2016년 07월 22일,"2,010.34",320.95M,645218.623K,-0.09%
2016년 07월 21일,"2,012.22",391.05M,786878.631K,-0.16%
2016년 07월 20일,"2,015.46",316.34M,637570.6164K,-0.07%
2016년 07월 19일,"2,016.89",380.80M,768031.712K,-0.21%
2016년 07월 18일,"2,021.11",380.09M,768203.6999K,0.19%
2016년 07월 15일,"2,017.26",477.81M,963867.0006K,0.42%
2016년 07월 14일,"2,008.77",340.23M,683443.8171K,0.16%
2016년 07월 13일,"2,005.55",357.64M,717264.902K,0.72%
2016년 07월 12일,"1,991.23",432.65M,861505.6595K,0.14%
2016년 07월 11일,"1,988.54",337.76M,671649.2704K,1.30%
2016년 07월 08일,"1,963.10",356.53M,699904.043K,-0.56%
2016년 07월 07일,"1,974.08",378.76M,747702.5408K,1.07%
2016년 07월 06일,"1,953.12",457.44M,893435.2128K,-1.85%
2016년 07월 05일,"1,989.85",405.49M,806864.2765K,-0.27%
2016년 07월 04일,"1,995.30",468.61M,935017.533K,0.40%
2016년 07월 01일,"1,987.32",448.13M,890577.7116K,0.86%
2016년 06월 30일,"1,970.35",349.86M,689346.651K,0.72%
2016년 06월 29일,"1,956.36",451.19M,882690.0684K,1.04%
2016년 06월 28일,"1,936.22",373.46M,723100.7212K,0.49%
2016년 06월 27일,"1,926.85",394.27M,759699.1495K,0.08%
2016년 06월 24일,"1,925.24",750.55M,1444988.882K,-3.09%
2016년 06월 23일,"1,986.71",455.39M,904727.8669K,-0.29%
2016년 06월 22일,"1,992.58",407.44M,811856.7952K,0.50%
2016년 06월 21일,"1,982.70",557.44M,1105236.288K,0.08%
2016년 06월 20일,"1,981.12",391.34M,775291.5008K,1.42%
2016년 06월 17일,"1,953.40",485.27M,947926.418K,0.07%
2016년 06월 16일,"1,951.99",438.79M,856513.6921K,-0.86%
2016년 06월 15일,"1,968.83",376.77M,741796.0791K,-0.16%
2016년 06월 14일,"1,972.03",439.94M,867574.8782K,-0.36%
2016년 06월 13일,"1,979.06",443.00M,876723.58K,-1.91%
2016년 06월 10일,"2,017.63",404.30M,815727.809K,-0.32%
2016년 06월 09일,"2,024.17",599.68M,1213854.266K,-0.14%
2016년 06월 08일,"2,027.08",497.94M,1009364.215K,0.77%
2016년 06월 07일,"2,011.63",481.35M,968298.1005K,1.30%
2016년 06월 03일,"1,985.84",540.86M,1074061.422K,0.04%
2016년 06월 02일,"1,985.11",474.23M,941398.7153K,0.12%
2016년 06월 01일,"1,982.72",502.29M,995900.4288K,-0.03%
2016년 05월 31일,"1,983.40",657.04M,1303173.136K,0.83%
2016년 05월 30일,"1,967.13",550.50M,1082905.065K,-0.10%
2016년 05월 27일,"1,969.17",523.53M,1030919.57K,0.62%
2016년 05월 26일,"1,957.06",558.26M,1092548.316K,-0.18%
2016년 05월 25일,"1,960.51",656.87M,1287800.204K,1.18%
2016년 05월 24일,"1,937.68",517.08M,1001935.574K,-0.90%
2016년 05월 23일,"1,955.25",399.51M,781141.9275K,0.39%
2016년 05월 20일,"1,947.67",388.05M,755793.3435K,0.05%
2016년 05월 19일,"1,946.78",505.92M,984914.9376K,-0.51%
2016년 05월 18일,"1,956.73",696.27M,1362412.397K,-0.58%
2016년 05월 17일,"1,968.06",597.58M,1176073.295K,0.01%
2016년 05월 16일,"1,967.91",526.72M,1036537.555K,0.05%
2016년 05월 13일,"1,966.99",509.12M,1001433.949K,-0.53%
2016년 05월 12일,"1,977.49",462.88M,915340.5712K,-0.13%
2016년 05월 11일,"1,980.10",398.53M,789129.253K,-0.12%
2016년 05월 10일,"1,982.50",369.08M,731701.1K,0.75%
2016년 05월 09일,"1,967.81",342.19M,673364.9039K,-0.45%
2016년 05월 04일,"1,976.71",352.70M,697185.617K,-0.49%
2016년 05월 03일,"1,986.41",310.49M,616760.4409K,0.42%
2016년 05월 02일,"1,978.15",328.20M,649228.83K,-0.80%
2016년 04월 29일,"1,994.15",401.06M,799773.799K,-0.34%
2016년 04월 28일,"2,000.93",341.14M,682597.2602K,-0.72%
2016년 04월 27일,"2,015.40",412.80M,831957.12K,-0.21%
2016년 04월 26일,"2,019.63",509.28M,1028557.166K,0.25%
2016년 04월 25일,"2,014.55",397.68M,801146.244K,-0.05%
2016년 04월 22일,"2,015.49",480.47M,968382.4803K,-0.33%
2016년 04월 21일,"2,022.10",392.10M,792865.41K,0.81%
2016년 04월 20일,"2,005.83",423.96M,850391.6868K,-0.27%
2016년 04월 19일,"2,011.36",401.24M,807038.0864K,0.11%
2016년 04월 18일,"2,009.10",339.25M,681587.175K,-0.28%
2016년 04월 15일,"2,014.71",317.71M,640093.5141K,-0.06%
2016년 04월 14일,"2,015.93",473.52M,954583.1736K,1.75%
2016년 04월 12일,"1,981.32",387.32M,767404.8624K,0.56%
2016년 04월 11일,"1,970.37",379.54M,747834.2298K,-0.09%
2016년 04월 08일,"1,972.05",400.62M,790042.671K,-0.09%
2016년 04월 07일,"1,973.89",434.06M,856786.6934K,0.13%
2016년 04월 06일,"1,971.32",358.03M,705791.6996K,0.44%
2016년 04월 05일,"1,962.74",368.16M,722602.3584K,-0.82%
2016년 04월 04일,"1,978.97",363.32M,718999.3804K,0.27%
2016년 04월 01일,"1,973.57",392.26M,774152.5682K,-1.12%
2016년 03월 31일,"1,995.85",335.07M,668749.4595K,-0.31%
2016년 03월 30일,"2,002.14",368.30M,737388.162K,0.36%
2016년 03월 29일,"1,994.91",385.45M,768938.0595K,0.62%
2016년 03월 28일,"1,982.54",410.47M,813773.1938K,-0.06%
2016년 03월 25일,"1,983.81",463.42M,919337.2302K,-0.11%
2016년 03월 24일,"1,985.97",341.17M,677553.3849K,-0.46%
2016년 03월 23일,"1,995.12",367.55M,733306.356K,-0.08%
2016년 03월 22일,"1,996.81",383.75M,766275.8375K,0.35%
2016년 03월 21일,"1,989.76",323.26M,643209.8176K,-0.12%
2016년 03월 18일,"1,992.12",385.85M,768659.502K,0.21%
2016년 03월 17일,"1,987.99",291.58M,579658.1242K,0.66%
2016년 03월 16일,"1,974.90",294.46M,581529.054K,0.25%
2016년 03월 15일,"1,969.97",264.58M,521214.6626K,-0.12%
2016년 03월 14일,"1,972.27",357.08M,704258.1716K,0.04%
2016년 03월 11일,"1,971.41",303.42M,598165.2222K,0.11%
2016년 03월 10일,"1,969.33",352.32M,693834.3456K,0.84%
2016년 03월 09일,"1,952.95",355.39M,694058.9005K,0.35%
2016년 03월 08일,"1,946.12",358.68M,698034.3216K,-0.60%
2016년 03월 07일,"1,957.87",344.61M,674701.5807K,0.11%
2016년 03월 04일,"1,955.63",316.42M,618800.4446K,-0.13%
2016년 03월 03일,"1,958.17",420.98M,824350.4066K,0.55%
2016년 03월 02일,"1,947.42",323.35M,629698.257K,1.60%
2016년 02월 29일,"1,916.66",275.05M,527177.333K,-0.18%
2016년 02월 26일,"1,920.16",280.22M,538067.2352K,0.08%
2016년 02월 25일,"1,918.57",305.79M,586679.5203K,0.32%
2016년 02월 24일,"1,912.53",281.60M,538568.448K,-0.09%
2016년 02월 23일,"1,914.22",326.81M,625586.2382K,-0.11%
2016년 02월 22일,"1,916.36",267.86M,513316.1896K,0.01%
2016년 02월 19일,"1,916.24",312.20M,598250.128K,0.39%
2016년 02월 18일,"1,908.84",332.58M,634842.0072K,1.32%
2016년 02월 17일,"1,883.94",344.63M,649262.2422K,-0.23%
2016년 02월 16일,"1,888.30",388.32M,733264.656K,1.40%
2016년 02월 15일,"1,862.20",284.60M,529982.12K,1.47%
2016년 02월 12일,"1,835.28",470.50M,863499.24K,-1.41%
2016년 02월 11일,"1,861.54",386.43M,719354.9022K,-2.93%
2016년 02월 05일,"1,917.79",305.77M,586402.6483K,0.08%
2016년 02월 04일,"1,916.26",365.80M,700967.908K,1.35%
2016년 02월 03일,"1,890.67",408.60M,772527.762K,-0.84%
2016년 02월 02일,"1,906.60",412.27M,786033.982K,-0.95%
2016년 02월 01일,"1,924.82",440.32M,847536.7424K,0.67%
2016년 01월 29일,"1,912.06",386.56M,739125.9136K,0.27%
2016년 01월 28일,"1,906.94",354.31M,675647.9114K,0.48%
2016년 01월 27일,"1,897.87",348.90M,662166.843K,1.40%
2016년 01월 26일,"1,871.69",298.82M,559298.4058K,-1.15%
2016년 01월 25일,"1,893.43",315.30M,596998.479K,0.74%
2016년 01월 22일,"1,879.43",408.46M,767671.9778K,2.11%
2016년 01월 21일,"1,840.53",433.74M,798311.4822K,-0.27%
2016년 01월 20일,"1,845.45",407.30M,751651.785K,-2.34%
2016년 01월 19일,"1,889.64",335.32M,633634.0848K,0.60%
2016년 01월 18일,"1,878.45",276.94M,520217.943K,-0.02%
2016년 01월 15일,"1,878.87",312.36M,586883.8332K,-1.11%
2016년 01월 14일,"1,900.01",310.98M,590865.1098K,-0.85%
2016년 01월 13일,"1,916.28",265.22M,508235.7816K,1.34%
2016년 01월 12일,"1,890.86",295.14M,558068.4204K,-0.21%
2016년 01월 11일,"1,894.84",328.77M,622966.5468K,-1.19%
2016년 01월 08일,"1,917.62",430.20M,824960.124K,0.70%
2016년 01월 07일,"1,904.33",393.04M,748477.8632K,-1.10%
2016년 01월 06일,"1,925.43",594.61M,1144879.932K,-0.26%
2016년 01월 05일,"1,930.53",446.55M,862078.1715K,0.61%
2016년 01월 04일,"1,918.76",359.02M,688873.2152K,-2.17%
2015년 12월 30일,"1,961.31",304.46M,597140.4426K,-0.25%
2015년 12월 29일,"1,966.31",401.43M,789335.8233K,0.11%
2015년 12월 28일,"1,964.06",396.64M,779024.7584K,-1.34%
2015년 12월 24일,"1,990.65",504.62M,1004521.803K,-0.43%
2015년 12월 23일,"1,999.22",502.37M,1004348.151K,0.33%
2015년 12월 22일,"1,992.56",577.24M,1150185.334K,0.57%
2015년 12월 21일,"1,981.19",539.60M,1069050.124K,0.30%
2015년 12월 18일,"1,975.32",677.73M,1338733.624K,-0.13%
2015년 12월 17일,"1,977.96",379.57M,750774.2772K,0.43%
2015년 12월 16일,"1,969.40",475.10M,935661.94K,1.88%
2015년 12월 15일,"1,932.97",434.74M,840339.3778K,0.27%
2015년 12월 14일,"1,927.82",439.74M,847739.5668K,-1.07%
2015년 12월 11일,"1,948.62",380.71M,741859.1202K,-0.18%
2015년 12월 10일,"1,952.07",377.85M,737589.6495K,0.20%
2015년 12월 09일,"1,948.24",378.10M,736629.544K,-0.04%
2015년 12월 08일,"1,949.04",406.18M,791661.0672K,-0.75%
2015년 12월 07일,"1,963.67",382.13M,750377.2171K,-0.54%
2015년 12월 04일,"1,974.40",379.47M,749225.568K,-0.99%
2015년 12월 03일,"1,994.07",365.87M,729570.3909K,-0.76%
2015년 12월 02일,"2,009.29",631.32M,1268504.963K,-0.72%
2015년 12월 01일,"2,023.93",573.34M,1160400.026K,1.60%
2015년 11월 30일,"1,991.97",452.87M,902103.4539K,-1.82%
2015년 11월 27일,"2,028.99",481.95M,977871.7305K,-0.08%
2015년 11월 26일,"2,030.68",454.46M,922862.8328K,1.06%
2015년 11월 25일,"2,009.42",391.65M,786989.343K,-0.34%
2015년 11월 24일,"2,016.29",417.00M,840792.93K,0.63%
2015년 11월 23일,"2,003.70",383.23M,767877.951K,0.70%
2015년 11월 20일,"1,989.86",413.66M,823125.4876K,0.05%
2015년 11월 19일,"1,988.91",422.52M,840354.2532K,1.33%
2015년 11월 18일,"1,962.88",541.86M,1063606.157K,-0.04%
2015년 11월 17일,"1,963.58",417.56M,819912.4648K,1.06%
2015년 11월 16일,"1,943.02",433.43M,842163.1586K,-1.53%
2015년 11월 13일,"1,973.29",342.31M,675476.8999K,-1.01%
2015년 11월 12일,"1,993.36",389.44M,776294.1184K,-0.20%
2015년 11월 11일,"1,997.27",286.57M,572357.6639K,0.03%
2015년 11월 10일,"1,996.59",417.46M,833496.4614K,-1.44%
2015년 11월 09일,"2,025.70",435.39M,881969.523K,-0.75%
2015년 11월 06일,"2,041.07",465.03M,949158.7821K,-0.41%
2015년 11월 05일,"2,049.41",349.08M,715408.0428K,-0.16%
2015년 11월 04일,"2,052.77",545.09M,1118944.399K,0.21%
2015년 11월 03일,"2,048.40",591.74M,1212120.216K,0.65%
2015년 11월 02일,"2,035.24",366.38M,745671.2312K,0.28%
2015년 10월 30일,"2,029.47",380.67M,772558.3449K,-0.23%
2015년 10월 29일,"2,034.16",481.35M,979142.916K,-0.41%
2015년 10월 28일,"2,042.51",402.20M,821497.522K,-0.10%
2015년 10월 27일,"2,044.65",449.16M,918374.994K,-0.17%
2015년 10월 26일,"2,048.08",459.95M,942014.396K,0.38%
2015년 10월 23일,"2,040.40",649.00M,1324219.6K,0.86%
2015년 10월 22일,"2,023.00",695.81M,1407623.63K,-0.98%
2015년 10월 21일,"2,042.98",668.95M,1366651.471K,0.18%
2015년 10월 20일,"2,039.36",958.06M,1953829.242K,0.45%
2015년 10월 19일,"2,030.27",726.84M,1475681.447K,0.00%
2015년 10월 16일,"2,030.26",550.80M,1118267.208K,-0.15%
2015년 10월 15일,"2,033.27",498.90M,1014398.403K,1.18%
2015년 10월 14일,"2,009.55",644.80M,1295757.84K,-0.47%
2015년 10월 13일,"2,019.05",605.00M,1221525.25K,-0.13%
2015년 10월 12일,"2,021.63",635.08M,1283896.78K,0.10%
2015년 10월 08일,"2,019.53",700.99M,1415670.335K,0.68%
2015년 10월 07일,"2,005.84",761.72M,1527888.445K,0.76%
2015년 10월 06일,"1,990.65",661.64M,1317093.666K,0.63%
2015년 10월 05일,"1,978.25",545.63M,1079392.548K,0.44%
2015년 10월 02일,"1,969.68",1.03B,#VALUE!,-0.49%
2015년 10월 01일,"1,979.32",678.98M,1343918.694K,0.84%
2015년 09월 30일,"1,962.81",546.99M,1073637.442K,1.03%
2015년 09월 25일,"1,942.85",796.57M,1547616.025K,-0.22%
2015년 09월 24일,"1,947.10",921.27M,1793804.817K,0.13%
2015년 09월 23일,"1,944.64",856.99M,1666537.034K,-1.89%
2015년 09월 22일,"1,982.06",696.37M,1380247.122K,0.88%
2015년 09월 21일,"1,964.68",376.42M,739544.8456K,-1.57%
2015년 09월 18일,"1,995.95",523.80M,1045478.61K,0.98%
2015년 09월 17일,"1,976.49",510.17M,1008345.903K,0.05%
2015년 09월 16일,"1,975.45",584.76M,1155164.142K,1.96%
2015년 09월 15일,"1,937.56",390.82M,757237.1992K,0.32%
2015년 09월 14일,"1,931.46",362.92M,700965.4632K,-0.51%
2015년 09월 11일,"1,941.37",503.01M,976528.5237K,-1.06%
2015년 09월 10일,"1,962.11",460.34M,903237.7174K,1.44%
2015년 09월 09일,"1,934.20",516.17M,998376.014K,2.96%
2015년 09월 08일,"1,878.68",391.89M,736235.9052K,-0.24%
2015년 09월 07일,"1,883.22",288.16M,542668.6752K,-0.15%
2015년 09월 04일,"1,886.04",361.09M,681030.1836K,-1.54%
2015년 09월 03일,"1,915.53",297.28M,569448.7584K,0.02%
2015년 09월 02일,"1,915.22",342.02M,655043.5444K,0.05%
2015년 09월 01일,"1,914.23",324.48M,621129.3504K,-1.40%
2015년 08월 31일,"1,941.49",350.94M,681346.5006K,0.20%
2015년 08월 28일,"1,937.67",446.75M,865654.0725K,1.56%
2015년 08월 27일,"1,908.00",482.66M,920915.28K,0.73%
2015년 08월 26일,"1,894.09",453.39M,858761.4651K,2.57%
2015년 08월 25일,"1,846.63",451.59M,833919.6417K,0.92%
2015년 08월 24일,"1,829.81",415.18M,759700.5158K,-2.47%
2015년 08월 21일,"1,876.07",512.31M,961129.4217K,-2.01%
2015년 08월 20일,"1,914.55",397.53M,761091.0615K,-1.28%
2015년 08월 19일,"1,939.38",506.79M,982858.3902K,-0.86%
2015년 08월 18일,"1,956.26",472.77M,924861.0402K,-0.62%
2015년 08월 17일,"1,968.52",561.57M,1105461.776K,-0.75%
2015년 08월 13일,"1,983.46",376.59M,746951.2014K,0.40%
2015년 08월 12일,"1,975.47",524.25M,1035640.148K,-0.56%
2015년 08월 11일,"1,986.65",366.41M,727928.4265K,-0.82%
2015년 08월 10일,"2,003.17",308.33M,617637.4061K,-0.35%
2015년 08월 07일,"2,010.23",334.58M,672582.7534K,-0.15%
2015년 08월 06일,"2,013.29",340.51M,685545.3779K,-0.81%
2015년 08월 05일,"2,029.76",319.21M,647919.6896K,0.09%
2015년 08월 04일,"2,027.99",388.79M,788462.2321K,0.97%
2015년 08월 03일,"2,008.49",358.75M,720545.7875K,-1.07%
2015년 07월 31일,"2,030.16",448.19M,909897.4104K,0.55%
2015년 07월 30일,"2,019.03",509.32M,1028332.36K,-0.91%
2015년 07월 29일,"2,037.62",520.57M,1060723.843K,-0.07%
2015년 07월 28일,"2,039.10",498.53M,1016552.523K,0.01%
2015년 07월 27일,"2,038.81",543.24M,1107563.144K,-0.35%
2015년 07월 24일,"2,045.96",611.87M,1251861.545K,-0.93%
2015년 07월 23일,"2,065.07",739.79M,1527718.135K,0.02%
2015년 07월 22일,"2,064.73",1.16B,#VALUE!,-0.91%
2015년 07월 21일,"2,083.62",727.41M,1515646.024K,0.50%
2015년 07월 20일,"2,073.31",870.68M,1805189.551K,-0.17%
2015년 07월 17일,"2,076.79",819.23M,1701368.672K,-0.53%
2015년 07월 16일,"2,087.89",697.93M,1457201.068K,0.72%
2015년 07월 15일,"2,072.91",619.13M,1283400.768K,0.66%
2015년 07월 14일,"2,059.23",503.08M,1035957.428K,-0.11%
2015년 07월 13일,"2,061.52",426.29M,878805.3608K,1.49%
2015년 07월 10일,"2,031.17",381.31M,774505.4327K,0.17%
2015년 07월 09일,"2,027.81",408.46M,828279.2726K,0.58%
2015년 07월 08일,"2,016.21",453.12M,913585.0752K,-1.18%
2015년 07월 07일,"2,040.29",502.81M,1025878.215K,-0.66%
2015년 07월 06일,"2,053.93",474.04M,973644.9772K,-2.40%
2015년 07월 03일,"2,104.41",419.55M,882905.2155K,-0.14%
2015년 07월 02일,"2,107.33",565.34M,1191357.942K,0.45%
2015년 07월 01일,"2,097.89",471.57M,989301.9873K,1.14%
2015년 06월 30일,"2,074.20",392.41M,813936.822K,0.67%
2015년 06월 29일,"2,060.49",503.81M,1038095.467K,-1.42%
2015년 06월 26일,"2,090.26",492.77M,1030017.42K,0.25%
2015년 06월 25일,"2,085.06",575.91M,1200806.905K,-0.02%
2015년 06월 24일,"2,085.53",400.75M,835776.1475K,0.21%
2015년 06월 23일,"2,081.20",329.80M,686379.76K,1.27%
2015년 06월 22일,"2,055.16",266.96M,548645.5136K,0.40%
2015년 06월 19일,"2,046.96",400.33M,819459.4968K,0.25%
2015년 06월 18일,"2,041.88",390.97M,798313.8236K,0.34%
2015년 06월 17일,"2,034.86",354.72M,721805.5392K,0.30%
2015년 06월 16일,"2,028.72",381.41M,773774.0952K,-0.67%
2015년 06월 15일,"2,042.32",313.95M,641186.364K,-0.48%
2015년 06월 12일,"2,052.17",388.26M,796775.5242K,-0.22%
2015년 06월 11일,"2,056.61",457.02M,939911.9022K,0.26%
2015년 06월 10일,"2,051.32",427.36M,876652.1152K,-0.62%
2015년 06월 09일,"2,064.03",421.88M,870772.9764K,-0.06%
2015년 06월 08일,"2,065.19",393.56M,812776.1764K,-0.14%
2015년 06월 05일,"2,068.10",394.29M,815431.149K,-0.23%
2015년 06월 04일,"2,072.86",400.36M,829890.2296K,0.47%
2015년 06월 03일,"2,063.16",541.17M,1116520.297K,-0.74%
2015년 06월 02일,"2,078.64",520.06M,1081017.518K,-1.13%
2015년 06월 01일,"2,102.37",426.93M,897564.8241K,-0.59%
2015년 05월 29일,"2,114.80",456.14M,964644.872K,0.19%
2015년 05월 28일,"2,110.89",416.12M,878383.5468K,0.16%
2015년 05월 27일,"2,107.50",439.03M,925255.725K,-1.68%
2015년 05월 26일,"2,143.50",381.38M,817488.03K,-0.12%
2015년 05월 22일,"2,146.10",444.58M,954113.138K,1.10%
2015년 05월 21일,"2,122.81",398.15M,845196.8015K,-0.78%
2015년 05월 20일,"2,139.54",452.11M,967307.4294K,0.88%
2015년 05월 19일,"2,120.85",418.48M,887533.308K,0.34%
2015년 05월 18일,"2,113.72",445.16M,940943.5952K,0.34%
2015년 05월 15일,"2,106.50",491.71M,1035787.115K,-0.65%
2015년 05월 14일,"2,120.33",430.83M,913501.7739K,0.29%
2015년 05월 13일,"2,114.16",377.03M,797101.7448K,0.83%
2015년 05월 12일,"2,096.77",391.92M,821766.0984K,-0.03%
2015년 05월 11일,"2,097.38",329.70M,691506.186K,0.57%
2015년 05월 08일,"2,085.52",309.50M,645468.44K,-0.26%
2015년 05월 07일,"2,091.00",423.25M,885015.75K,-0.65%
2015년 05월 06일,"2,104.58",428.09M,900949.6522K,-1.30%
2015년 05월 04일,"2,132.23",355.62M,758263.6326K,0.24%
2015년 04월 30일,"2,127.17",509.13M,1083006.062K,-0.72%
2015년 04월 29일,"2,142.63",458.06M,981453.0978K,-0.23%
2015년 04월 28일,"2,147.67",415.06M,891411.9102K,-0.46%
2015년 04월 27일,"2,157.54",392.34M,846489.2436K,-0.10%
2015년 04월 24일,"2,159.80",508.42M,1098085.516K,-0.63%
2015년 04월 23일,"2,173.41",521.59M,1133628.922K,1.38%
2015년 04월 22일,"2,143.89",769.39M,1649487.527K,-0.04%
2015년 04월 21일,"2,144.79",561.78M,1204900.126K,-0.09%
2015년 04월 20일,"2,146.71",509.04M,1092761.258K,0.15%
2015년 04월 17일,"2,143.50",464.63M,995934.405K,0.17%
2015년 04월 16일,"2,139.90",476.42M,1019491.158K,0.94%
2015년 04월 15일,"2,119.96",451.40M,956949.944K,0.39%
2015년 04월 14일,"2,111.72",648.85M,1370189.522K,0.61%
2015년 04월 13일,"2,098.92",561.81M,1179194.245K,0.53%
2015년 04월 10일,"2,087.76",658.38M,1374539.429K,1.40%
2015년 04월 09일,"2,058.87",529.86M,1090912.858K,-0.02%
2015년 04월 08일,"2,059.26",552.68M,1138111.817K,0.60%
2015년 04월 07일,"2,047.03",436.23M,892975.8969K,0.03%
2015년 04월 06일,"2,046.43",460.49M,942360.5507K,0.05%
2015년 04월 03일,"2,045.42",498.64M,1019928.229K,0.81%
2015년 04월 02일,"2,029.07",655.86M,1330785.85K,0.03%
2015년 04월 01일,"2,028.45",542.80M,1101042.66K,-0.62%
2015년 03월 31일,"2,041.03",555.93M,1134669.808K,0.54%
2015년 03월 30일,"2,030.04",439.56M,892324.3824K,0.51%
2015년 03월 27일,"2,019.80",448.96M,906809.408K,-0.14%
2015년 03월 26일,"2,022.56",342.26M,692241.3856K,-0.99%
2015년 03월 25일,"2,042.81",423.41M,864946.1821K,0.07%
2015년 03월 24일,"2,041.37",328.83M,671263.6971K,0.23%
2015년 03월 23일,"2,036.59",314.90M,641322.191K,-0.03%
2015년 03월 20일,"2,037.24",351.73M,716558.4252K,-0.03%
2015년 03월 19일,"2,037.89",468.28M,954303.1292K,0.47%
2015년 03월 18일,"2,028.45",362.01M,734319.1845K,-0.07%
2015년 03월 17일,"2,029.91",356.55M,723764.4105K,2.14%
2015년 03월 16일,"1,987.33",319.16M,634276.2428K,0.08%
2015년 03월 13일,"1,985.79",326.71M,648777.4509K,0.77%
2015년 03월 12일,"1,970.59",384.04M,756785.3836K,-0.52%
2015년 03월 11일,"1,980.83",399.53M,791401.0099K,-0.20%
