,종가,거래량,거래대금,변동 %
2019년 09월 18일,"2,070.73",613.15M,1269668.1K,0.41%
2019년 09월 17일,"2,062.33",508.00M,1047663.64K,0.01%
2019년 09월 16일,"2,062.22",493.52M,1017746.814K,0.64%
2019년 09월 11일,"2,049.20",429.08M,879270.736K,0.84%
2019년 09월 10일,"2,032.08",504.39M,1024960.831K,0.62%
2019년 09월 09일,"2,019.55",511.82M,1033646.081K,0.52%
2019년 09월 06일,"2,009.13",384.44M,772389.9372K,0.22%
2019년 09월 05일,"2,004.75",488.07M,978458.3325K,0.82%
2019년 09월 04일,"1,988.53",348.72M,693440.1816K,1.16%
2019년 09월 03일,"1,965.69",342.08M,672423.2352K,-0.18%
2019년 09월 02일,"1,969.19",262.15M,516223.1585K,0.07%
2019년 08월 30일,"1,967.79",317.73M,625225.9167K,1.78%
2019년 08월 29일,"1,933.41",285.10M,551215.191K,-0.40%
2019년 08월 28일,"1,941.09",284.34M,551929.5306K,0.86%
2019년 08월 27일,"1,924.60",427.04M,821881.184K,0.43%
2019년 08월 26일,"1,916.31",324.85M,622513.3035K,-1.64%
2019년 08월 23일,"1,948.30",381.09M,742477.647K,-0.14%
2019년 08월 22일,"1,951.01",435.56M,849781.9156K,-0.69%
2019년 08월 21일,"1,964.65",391.57M,769298.0005K,0.22%
2019년 08월 20일,"1,960.25",463.60M,908771.9K,1.05%
2019년 08월 19일,"1,939.90",481.02M,933130.698K,0.66%
2019년 08월 16일,"1,927.17",421.68M,812649.0456K,-0.58%
2019년 08월 14일,"1,938.37",699.59M,1356064.268K,0.65%
2019년 08월 13일,"1,925.83",660.04M,1271124.833K,-0.85%
2019년 08월 12일,"1,942.29",427.14M,829629.7506K,0.23%
2019년 08월 09일,"1,937.75",654.34M,1267947.335K,0.89%
2019년 08월 08일,"1,920.61",777.16M,1492621.268K,0.57%
2019년 08월 07일,"1,909.71",760.78M,1452869.174K,-0.41%
2019년 08월 06일,"1,917.50",739.59M,1418163.825K,-1.51%
2019년 08월 05일,"1,946.98",639.60M,1245288.408K,-2.56%
2019년 08월 02일,"1,998.13",438.54M,876259.9302K,-0.95%
2019년 08월 01일,"2,017.34",461.74M,931486.5716K,-0.36%
2019년 07월 31일,"2,024.55",589.39M,1193249.525K,-0.69%
2019년 07월 30일,"2,038.68",547.03M,1115219.12K,0.45%
2019년 07월 29일,"2,029.48",608.67M,1235283.592K,-1.78%
2019년 07월 26일,"2,066.26",589.07M,1217171.778K,-0.40%
2019년 07월 25일,"2,074.48",598.63M,1241845.962K,-0.38%
2019년 07월 24일,"2,082.30",851.39M,1772849.397K,-0.91%
2019년 07월 23일,"2,101.45",648.12M,1361991.774K,0.39%
2019년 07월 22일,"2,093.34",332.63M,696307.6842K,-0.05%
2019년 07월 19일,"2,094.36",394.90M,827062.764K,1.35%
2019년 07월 18일,"2,066.55",446.64M,923003.892K,-0.31%
2019년 07월 17일,"2,072.92",761.63M,1578798.06K,-0.91%
2019년 07월 16일,"2,091.87",682.80M,1428328.836K,0.45%
2019년 07월 15일,"2,082.48",463.52M,965271.1296K,-0.20%
2019년 07월 12일,"2,086.66",403.94M,842885.4404K,0.29%
2019년 07월 11일,"2,080.58",376.68M,783712.8744K,1.06%
2019년 07월 10일,"2,058.78",355.68M,732266.8704K,0.33%
2019년 07월 09일,"2,052.03",440.12M,903139.4436K,-0.59%
2019년 07월 08일,"2,064.17",515.95M,1065008.512K,-2.20%
2019년 07월 05일,"2,110.59",459.39M,969583.9401K,0.09%
2019년 07월 04일,"2,108.73",446.93M,942454.6989K,0.61%
