기간	자치구	행정동	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	행정동	세대	합계	합계	합계	한국인	한국인	한국인	외국인	외국인	외국인	세대당인구	65세이상고령자
기간	자치구	행정동	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2018.3/4	합계	합계	4,254,018	10,068,381	4,922,959	5,145,422	9,793,003	4,789,821	5,003,182	275,378	133,138	142,240	2.3	1,405,404
2018.3/4	종로구	소계	73,696	163,086	79,301	83,785	153,396	75,024	78,372	9,690	4,277	5,413	2.08	26,622
2018.3/4	종로구	사직동	4,507	9,763	4,440	5,323	9,497	4,291	5,206	266	149	117	2.11	1,755
2018.3/4	종로구	삼청동	1,424	3,069	1,460	1,609	2,849	1,346	1,503	220	114	106	2	629
2018.3/4	종로구	부암동	4,308	10,581	5,076	5,505	10,168	4,894	5,274	413	182	231	2.36	1,759
2018.3/4	종로구	평창동	7,601	19,175	9,023	10,152	19,015	8,947	10,068	160	76	84	2.5	3,135
2018.3/4	종로구	무악동	3,005	8,239	3,857	4,382	8,197	3,842	4,355	42	15	27	2.73	1,283
2018.3/4	종로구	교남동	4,534	10,798	5,051	5,747	10,636	4,964	5,672	162	87	75	2.35	1,463
2018.3/4	종로구	가회동	2,057	4,568	2,135	2,433	4,450	2,072	2,378	118	63	55	2.16	904
2018.3/4	종로구	종로1.2.3.4가동	5,307	8,474	4,962	3,512	7,455	4,425	3,030	1,019	537	482	1.4	1,891
2018.3/4	종로구	종로5·6가동	3,153	5,590	3,045	2,545	5,251	2,879	2,372	339	166	173	1.67	1,087
2018.3/4	종로구	이화동	4,491	8,647	4,038	4,609	8,131	3,848	4,283	516	190	326	1.81	1,331
2018.3/4	종로구	창신1동	3,008	6,278	3,393	2,885	5,397	2,932	2,465	881	461	420	1.79	1,160
2018.3/4	종로구	창신2동	4,190	10,126	5,135	4,991	8,903	4,536	4,367	1,223	599	624	2.12	1,668
2018.3/4	종로구	창신3동	2,876	7,430	3,671	3,759	7,255	3,579	3,676	175	92	83	2.52	1,125
