"행정구역(시군구)별","이동규모별","항목","단위","2013. 01 월",
"전국","계","총전입","건","378011",
"전국","계","총전출","건","378011",
"전국","계","순이동","건","0",
"전국","계","시도내-시군구내이동","건","114617",
"전국","계","시도내-시군구간전입","건","109987",
"전국","계","시도내-시군구간전출","건","109987",
"전국","계","시도간전입","건","153407",
"전국","계","시도간전출","건","153407",
"전국","1인","총전입","건","263174",
"전국","1인","총전출","건","263174",
"전국","1인","순이동","건","0",
"전국","1인","시도내-시군구내이동","건","67331",
"전국","1인","시도내-시군구간전입","건","76464",
"전국","1인","시도내-시군구간전출","건","76464",
"전국","1인","시도간전입","건","119379",
"전국","1인","시도간전출","건","119379",
"전국","2인","총전입","건","45303",
"전국","2인","총전출","건","45303",
"전국","2인","순이동","건","0",
"전국","2인","시도내-시군구내이동","건","17126",
"전국","2인","시도내-시군구간전입","건","13301",
"전국","2인","시도내-시군구간전출","건","13301",
"전국","2인","시도간전입","건","14876",
"전국","2인","시도간전출","건","14876",
"전국","3인","총전입","건","32697",
"전국","3인","총전출","건","32697",
"전국","3인","순이동","건","0",
"전국","3인","시도내-시군구내이동","건","13816",
"전국","3인","시도내-시군구간전입","건","9644",
"전국","3인","시도내-시군구간전출","건","9644",
"전국","3인","시도간전입","건","9237",
"전국","3인","시도간전출","건","9237",
"전국","4인","총전입","건","28717",
"전국","4인","총전출","건","28717",
"전국","4인","순이동","건","0",
"전국","4인","시도내-시군구내이동","건","12414",
"전국","4인","시도내-시군구간전입","건","8360",
"전국","4인","시도내-시군구간전출","건","8360",
"전국","4인","시도간전입","건","7943",
"전국","4인","시도간전출","건","7943",
"전국","5인","총전입","건","6762",
"전국","5인","총전출","건","6762",
"전국","5인","순이동","건","0",
"전국","5인","시도내-시군구내이동","건","3248",
"전국","5인","시도내-시군구간전입","건","1851",
"전국","5인","시도내-시군구간전출","건","1851",
"전국","5인","시도간전입","건","1663",
"전국","5인","시도간전출","건","1663",
"전국","6인","총전입","건","1114",
"전국","6인","총전출","건","1114",
"전국","6인","순이동","건","0",
"전국","6인","시도내-시군구내이동","건","555",
"전국","6인","시도내-시군구간전입","건","294",
"전국","6인","시도내-시군구간전출","건","294",
"전국","6인","시도간전입","건","265",
"전국","6인","시도간전출","건","265",
"전국","7인","총전입","건","194",
"전국","7인","총전출","건","194",
"전국","7인","순이동","건","0",
