"행정구역(시군구)별","이동규모별","항목","단위","2013. 09 월",
"전국","계","총전입","건","304061",
"전국","계","총전출","건","304061",
"전국","계","순이동","건","0",
"전국","계","시도내-시군구내이동","건","99654",
"전국","계","시도내-시군구간전입","건","88276",
"전국","계","시도내-시군구간전출","건","88276",
"전국","계","시도간전입","건","116131",
"전국","계","시도간전출","건","116131",
"전국","1인","총전입","건","210326",
"전국","1인","총전출","건","210326",
"전국","1인","순이동","건","0",
"전국","1인","시도내-시군구내이동","건","56086",
"전국","1인","시도내-시군구간전입","건","61683",
"전국","1인","시도내-시군구간전출","건","61683",
"전국","1인","시도간전입","건","92557",
"전국","1인","시도간전출","건","92557",
"전국","2인","총전입","건","38958",
"전국","2인","총전출","건","38958",
"전국","2인","순이동","건","0",
"전국","2인","시도내-시군구내이동","건","15984",
"전국","2인","시도내-시군구간전입","건","11339",
"전국","2인","시도내-시군구간전출","건","11339",
"전국","2인","시도간전입","건","11635",
"전국","2인","시도간전출","건","11635",
"전국","3인","총전입","건","28312",
"전국","3인","총전출","건","28312",
"전국","3인","순이동","건","0",
"전국","3인","시도내-시군구내이동","건","13469",
"전국","3인","시도내-시군구간전입","건","8203",
"전국","3인","시도내-시군구간전출","건","8203",
"전국","3인","시도간전입","건","6640",
"전국","3인","시도간전출","건","6640",
"전국","4인","총전입","건","20858",
"전국","4인","총전출","건","20858",
"전국","4인","순이동","건","0",
"전국","4인","시도내-시군구내이동","건","11011",
"전국","4인","시도내-시군구간전입","건","5638",
"전국","4인","시도내-시군구간전출","건","5638",
"전국","4인","시도간전입","건","4209",
"전국","4인","시도간전출","건","4209",
"전국","5인","총전입","건","4581",
"전국","5인","총전출","건","4581",
"전국","5인","순이동","건","0",
"전국","5인","시도내-시군구내이동","건","2513",
"전국","5인","시도내-시군구간전입","건","1187",
"전국","5인","시도내-시군구간전출","건","1187",
"전국","5인","시도간전입","건","881",
"전국","5인","시도간전출","건","881",
"전국","6인","총전입","건","821",
"전국","6인","총전출","건","821",
"전국","6인","순이동","건","0",
"전국","6인","시도내-시군구내이동","건","468",
"전국","6인","시도내-시군구간전입","건","186",
"전국","6인","시도내-시군구간전출","건","186",
"전국","6인","시도간전입","건","167",
"전국","6인","시도간전출","건","167",
"전국","7인","총전입","건","153",
"전국","7인","총전출","건","153",
"전국","7인","순이동","건","0",
"전국","7인","시도내-시군구내이동","건","91",
"전국","7인","시도내-시군구간전입","건","33",
"전국","7인","시도내-시군구간전출","건","33",
"전국","7인","시도간전입","건","29",
"전국","7인","시도간전출","건","29",
"전국","8인","총전입","건","37",
"전국","8인","총전출","건","37",
"전국","8인","순이동","건","0",
"전국","8인","시도내-시군구내이동","건","21",
"전국","8인","시도내-시군구간전입","건","7",
"전국","8인","시도내-시군구간전출","건","7",
"전국","8인","시도간전입","건","9",
"전국","8인","시도간전출","건","9",
"전국","9인","총전입","건","11",
"전국","9인","총전출","건","11",
"전국","9인","순이동","건","0",
"전국","9인","시도내-시군구내이동","건","8",
"전국","9인","시도내-시군구간전입","건","0",
"전국","9인","시도내-시군구간전출","건","0",
"전국","9인","시도간전입","건","3",
"전국","9인","시도간전출","건","3",
"전국","10인이상","총전입","건","4",
"전국","10인이상","총전출","건","4",
"전국","10인이상","순이동","건","0",
"전국","10인이상","시도내-시군구내이동","건","3",
"전국","10인이상","시도내-시군구간전입","건","0",
"전국","10인이상","시도내-시군구간전출","건","0",
"전국","10인이상","시도간전입","건","1",
"전국","10인이상","시도간전출","건","1",
"서울특별시","계","총전입","건","65707",
"서울특별시","계","총전출","건","68201",
"서울특별시","계","순이동","건","-2494",
"서울특별시","계","시도내-시군구내이동","건","16682",
"서울특별시","계","시도내-시군구간전입","건","25330",
"서울특별시","계","시도내-시군구간전출","건","25330",
"서울특별시","계","시도간전입","건","23695",
"서울특별시","계","시도간전출","건","26189",
"서울특별시","1인","총전입","건","46221",
"서울특별시","1인","총전출","건","46606",
"서울특별시","1인","순이동","건","-385",
"서울특별시","1인","시도내-시군구내이동","건","8885",
"서울특별시","1인","시도내-시군구간전입","건","17796",
"서울특별시","1인","시도내-시군구간전출","건","17796",
"서울특별시","1인","시도간전입","건","19540",
"서울특별시","1인","시도간전출","건","19925",
"서울특별시","2인","총전입","건","8294",
"서울특별시","2인","총전출","건","9152",
"서울특별시","2인","순이동","건","-858",
"서울특별시","2인","시도내-시군구내이동","건","2854",
"서울특별시","2인","시도내-시군구간전입","건","3348",
"서울특별시","2인","시도내-시군구간전출","건","3348",
"서울특별시","2인","시도간전입","건","2092",
"서울특별시","2인","시도간전출","건","2950",
"서울특별시","3인","총전입","건","5884",
"서울특별시","3인","총전출","건","6587",
