"행정구역(시군구)별","이동규모별","항목","단위","2013. 11 월",
"전국","계","총전입","건","371472",
"전국","계","총전출","건","371472",
"전국","계","순이동","건","0",
"전국","계","시도내-시군구내이동","건","128551",
"전국","계","시도내-시군구간전입","건","107493",
"전국","계","시도내-시군구간전출","건","107493",
"전국","계","시도간전입","건","135428",
"전국","계","시도간전출","건","135428",
"전국","1인","총전입","건","245378",
"전국","1인","총전출","건","245378",
"전국","1인","순이동","건","0",
"전국","1인","시도내-시군구내이동","건","67185",
"전국","1인","시도내-시군구간전입","건","71942",
"전국","1인","시도내-시군구간전출","건","71942",
"전국","1인","시도간전입","건","106251",
"전국","1인","시도간전출","건","106251",
"전국","2인","총전입","건","49644",
"전국","2인","총전출","건","49644",
"전국","2인","순이동","건","0",
"전국","2인","시도내-시군구내이동","건","21209",
"전국","2인","시도내-시군구간전입","건","14536",
"전국","2인","시도내-시군구간전출","건","14536",
"전국","2인","시도간전입","건","13899",
"전국","2인","시도간전출","건","13899",
"전국","3인","총전입","건","37921",
"전국","3인","총전출","건","37921",
"전국","3인","순이동","건","0",
"전국","3인","시도내-시군구내이동","건","18774",
"전국","3인","시도내-시군구간전입","건","10738",
"전국","3인","시도내-시군구간전출","건","10738",
"전국","3인","시도간전입","건","8409",
"전국","3인","시도간전출","건","8409",
"전국","4인","총전입","건","30005",
"전국","4인","총전출","건","30005",
"전국","4인","순이동","건","0",
"전국","4인","시도내-시군구내이동","건","16450",
"전국","4인","시도내-시군구간전입","건","8126",
"전국","4인","시도내-시군구간전출","건","8126",
"전국","4인","시도간전입","건","5429",
"전국","4인","시도간전출","건","5429",
"전국","5인","총전입","건","7028",
"전국","5인","총전출","건","7028",
"전국","5인","순이동","건","0",
"전국","5인","시도내-시군구내이동","건","4040",
"전국","5인","시도내-시군구간전입","건","1806",
"전국","5인","시도내-시군구간전출","건","1806",
"전국","5인","시도간전입","건","1182",
"전국","5인","시도간전출","건","1182",
"전국","6인","총전입","건","1183",
"전국","6인","총전출","건","1183",
"전국","6인","순이동","건","0",
"전국","6인","시도내-시군구내이동","건","712",
"전국","6인","시도내-시군구간전입","건","271",
"전국","6인","시도내-시군구간전출","건","271",
"전국","6인","시도간전입","건","200",
"전국","6인","시도간전출","건","200",
"전국","7인","총전입","건","232",
"전국","7인","총전출","건","232",
"전국","7인","순이동","건","0",
"전국","7인","시도내-시군구내이동","건","132",
"전국","7인","시도내-시군구간전입","건","53",
"전국","7인","시도내-시군구간전출","건","53",
"전국","7인","시도간전입","건","47",
"전국","7인","시도간전출","건","47",
"전국","8인","총전입","건","54",
"전국","8인","총전출","건","54",
"전국","8인","순이동","건","0",
"전국","8인","시도내-시군구내이동","건","31",
"전국","8인","시도내-시군구간전입","건","16",
"전국","8인","시도내-시군구간전출","건","16",
"전국","8인","시도간전입","건","7",
"전국","8인","시도간전출","건","7",
"전국","9인","총전입","건","16",
"전국","9인","총전출","건","16",
"전국","9인","순이동","건","0",
"전국","9인","시도내-시군구내이동","건","11",
"전국","9인","시도내-시군구간전입","건","3",
"전국","9인","시도내-시군구간전출","건","3",
"전국","9인","시도간전입","건","2",
"전국","9인","시도간전출","건","2",
"전국","10인이상","총전입","건","11",
"전국","10인이상","총전출","건","11",
"전국","10인이상","순이동","건","0",
"전국","10인이상","시도내-시군구내이동","건","7",
"전국","10인이상","시도내-시군구간전입","건","2",
"전국","10인이상","시도내-시군구간전출","건","2",
"전국","10인이상","시도간전입","건","2",
"전국","10인이상","시도간전출","건","2",
"서울특별시","계","총전입","건","72718",
"서울특별시","계","총전출","건","77607",
"서울특별시","계","순이동","건","-4889",
"서울특별시","계","시도내-시군구내이동","건","19477",
"서울특별시","계","시도내-시군구간전입","건","27498",
"서울특별시","계","시도내-시군구간전출","건","27498",
"서울특별시","계","시도간전입","건","25743",
"서울특별시","계","시도간전출","건","30632",
"서울특별시","1인","총전입","건","48949",
"서울특별시","1인","총전출","건","50468",
"서울특별시","1인","순이동","건","-1519",
"서울특별시","1인","시도내-시군구내이동","건","9512",
"서울특별시","1인","시도내-시군구간전입","건","18435",
"서울특별시","1인","시도내-시군구간전출","건","18435",
"서울특별시","1인","시도간전입","건","21002",
"서울특별시","1인","시도간전출","건","22521",
"서울특별시","2인","총전입","건","9511",
"서울특별시","2인","총전출","건","10870",
"서울특별시","2인","순이동","건","-1359",
"서울특별시","2인","시도내-시군구내이동","건","3458",
"서울특별시","2인","시도내-시군구간전입","건","3764",
"서울특별시","2인","시도내-시군구간전출","건","3764",
"서울특별시","2인","시도간전입","건","2289",
"서울특별시","2인","시도간전출","건","3648",
"서울특별시","3인","총전입","건","7062",
"서울특별시","3인","총전출","건","8217",
"서울특별시","3인","순이동","건","-1155",
"서울특별시","3인","시도내-시군구내이동","건","3061",
"서울특별시","3인","시도내-시군구간전입","건","2698",
"서울특별시","3인","시도내-시군구간전출","건","2698",
"서울특별시","3인","시도간전입","건","1303",
"서울특별시","3인","시도간전출","건","2458",
"서울특별시","4인","총전입","건","5712",
"서울특별시","4인","총전출","건","6374",
"서울특별시","4인","순이동","건","-662",
"서울특별시","4인","시도내-시군구내이동","건","2715",
"서울특별시","4인","시도내-시군구간전입","건","2067",
"서울특별시","4인","시도내-시군구간전출","건","2067",
"서울특별시","4인","시도간전입","건","930",
"서울특별시","4인","시도간전출","건","1592",
"서울특별시","5인","총전입","건","1241",
"서울특별시","5인","총전출","건","1409",
"서울특별시","5인","순이동","건","-168",
"서울특별시","5인","시도내-시군구내이동","건","611",
"서울특별시","5인","시도내-시군구간전입","건","453",
"서울특별시","5인","시도내-시군구간전출","건","453",
"서울특별시","5인","시도간전입","건","177",
"서울특별시","5인","시도간전출","건","345",
"서울특별시","6인","총전입","건","194",
"서울특별시","6인","총전출","건","212",
"서울특별시","6인","순이동","건","-18",
"서울특별시","6인","시도내-시군구내이동","건","97",
"서울특별시","6인","시도내-시군구간전입","건","65",
"서울특별시","6인","시도내-시군구간전출","건","65",
"서울특별시","6인","시도간전입","건","32",
