기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
1991	서울특별시	7월	여자	94,183	96,335	68,355	…	…	…	25,828	27,980	-2,152
1991	서울특별시	8월	합계	158,187	160,985	111,219	…	…	…	46,968	49,766	-2,798
1991	서울특별시	8월	남자	79,276	81,028	55,343	…	…	…	23,933	25,685	-1,752
1991	서울특별시	8월	여자	78,911	79,957	55,876	…	…	…	23,035	24,081	-1,046
1991	서울특별시	9월	합계	151,296	155,605	108,899	…	…	…	42,397	46,706	-4,309
1991	서울특별시	9월	남자	76,003	78,976	54,660	…	…	…	21,343	24,316	-2,973
1991	서울특별시	9월	여자	75,293	76,629	54,239	…	…	…	21,054	22,390	-1,336
1991	서울특별시	10월	합계	227,043	233,049	172,363	…	…	…	54,680	60,686	-6,006
1991	서울특별시	10월	남자	115,180	118,788	87,402	…	…	…	27,778	31,386	-3,608
1991	서울특별시	10월	여자	111,863	114,261	84,961	…	…	…	26,902	29,300	-2,398
1991	서울특별시	11월	합계	194,705	201,079	143,773	…	…	…	50,932	57,306	-6,374
1991	서울특별시	11월	남자	98,021	101,835	72,337	…	…	…	25,684	29,498	-3,814
1991	서울특별시	11월	여자	96,684	99,244	71,436	…	…	…	25,248	27,808	-2,560
1991	서울특별시	12월	합계	178,710	183,581	129,947	…	…	…	48,763	53,634	-4,871
1991	서울특별시	12월	남자	89,175	92,270	65,141	…	…	…	24,034	27,129	-3,095
1991	서울특별시	12월	여자	89,535	91,311	64,806	…	…	…	24,729	26,505	-1,776
1992	서울특별시	합계	합계	2,395,814	2,500,698	1,764,955	…	…	…	630,859	735,743	-104,884
1992	서울특별시	합계	남자	1,207,081	1,263,604	888,475	…	…	…	318,606	375,129	-56,523
1992	서울특별시	합계	여자	1,188,733	1,237,094	876,480	…	…	…	312,253	360,614	-48,361
1992	서울특별시	1월	합계	164,748	163,079	116,048	…	…	…	48,700	47,031	1,669
1992	서울특별시	1월	남자	85,114	83,942	60,453	…	…	…	24,661	23,489	1,172
1992	서울특별시	1월	여자	79,634	79,137	55,595	…	…	…	24,039	23,542	497
1992	서울특별시	2월	합계	173,857	172,824	117,888	…	…	…	55,969	54,936	1,033
1992	서울특별시	2월	남자	87,821	87,974	59,926	…	…	…	27,895	28,048	-153
1992	서울특별시	2월	여자	86,036	84,850	57,962	…	…	…	28,074	26,888	1,186
1992	서울특별시	3월	합계	213,289	214,831	151,775	…	…	…	61,514	63,056	-1,542
1992	서울특별시	3월	남자	107,222	108,423	76,261	…	…	…	30,961	32,162	-1,201
1992	서울특별시	3월	여자	106,067	106,408	75,514	…	…	…	30,553	30,894	-341
1992	서울특별시	4월	합계	250,927	255,193	187,121	…	…	…	63,806	68,072	-4,266
1992	서울특별시	4월	남자	127,177	129,318	94,360	…	…	…	32,817	34,958	-2,141
1992	서울특별시	4월	여자	123,750	125,875	92,761	…	…	…	30,989	33,114	-2,125
1992	서울특별시	5월	합계	218,811	233,253	163,057	…	…	…	55,754	70,196	-14,442
1992	서울특별시	5월	남자	111,752	119,444	83,424	…	…	…	28,328	36,020	-7,692
1992	서울특별시	5월	여자	107,059	113,809	79,633	…	…	…	27,426	34,176	-6,750
1992	서울특별시	6월	합계	197,499	207,483	145,900	…	…	…	51,599	61,583	-9,984
1992	서울특별시	6월	남자	99,549	105,101	73,585	…	…	…	25,964	31,516	-5,552
1992	서울특별시	6월	여자	97,950	102,382	72,315	…	…	…	25,635	30,067	-4,432
1992	서울특별시	7월	합계	183,971	189,414	138,097	…	…	…	45,874	51,317	-5,443
1992	서울특별시	7월	남자	92,489	95,273	69,162	…	…	…	23,327	26,111	-2,784
