"행정구역(시군구)별","이동규모별","항목","단위","2017. 11 월",
"전국","계","총전입","건","380278",
"전국","계","총전출","건","380278",
"전국","계","순이동","건","0",
"전국","계","시도내-시군구내이동","건","128711",
"전국","계","시도내-시군구간전입","건","110539",
"전국","계","시도내-시군구간전출","건","110539",
"전국","계","시도간전입","건","141028",
"전국","계","시도간전출","건","141028",
"전국","1인","총전입","건","266895",
"전국","1인","총전출","건","266895",
"전국","1인","순이동","건","0",
"전국","1인","시도내-시군구내이동","건","74433",
"전국","1인","시도내-시군구간전입","건","77890",
"전국","1인","시도내-시군구간전출","건","77890",
"전국","1인","시도간전입","건","114572",
"전국","1인","시도간전출","건","114572",
"전국","2인","총전입","건","48567",
"전국","2인","총전출","건","48567",
"전국","2인","순이동","건","0",
"전국","2인","시도내-시군구내이동","건","20978",
"전국","2인","시도내-시군구간전입","건","14068",
"전국","2인","시도내-시군구간전출","건","14068",
"전국","2인","시도간전입","건","13521",
"전국","2인","시도간전출","건","13521",
"전국","3인","총전입","건","33823",
"전국","3인","총전출","건","33823",
"전국","3인","순이동","건","0",
"전국","3인","시도내-시군구내이동","건","16493",
"전국","3인","시도내-시군구간전입","건","9980",
"전국","3인","시도내-시군구간전출","건","9980",
"전국","3인","시도간전입","건","7350",
"전국","3인","시도간전출","건","7350",
"전국","4인","총전입","건","24531",
"전국","4인","총전출","건","24531",
"전국","4인","순이동","건","0",
"전국","4인","시도내-시군구내이동","건","13158",
"전국","4인","시도내-시군구간전입","건","6888",
"전국","4인","시도내-시군구간전출","건","6888",
"전국","4인","시도간전입","건","4485",
"전국","4인","시도간전출","건","4485",
"전국","5인","총전입","건","5295",
"전국","5인","총전출","건","5295",
"전국","5인","순이동","건","0",
"전국","5인","시도내-시군구내이동","건","2956",
"전국","5인","시도내-시군구간전입","건","1433",
"전국","5인","시도내-시군구간전출","건","1433",
"전국","5인","시도간전입","건","906",
"전국","5인","시도간전출","건","906",
"전국","6인","총전입","건","900",
"전국","6인","총전출","건","900",
"전국","6인","순이동","건","0",
"전국","6인","시도내-시군구내이동","건","542",
"전국","6인","시도내-시군구간전입","건","224",
"전국","6인","시도내-시군구간전출","건","224",
"전국","6인","시도간전입","건","134",
"전국","6인","시도간전출","건","134",
"전국","7인","총전입","건","199",
"전국","7인","총전출","건","199",
"전국","7인","순이동","건","0",
"전국","7인","시도내-시군구내이동","건","111",
"전국","7인","시도내-시군구간전입","건","42",
"전국","7인","시도내-시군구간전출","건","42",
"전국","7인","시도간전입","건","46",
"전국","7인","시도간전출","건","46",
"전국","8인","총전입","건","39",
"전국","8인","총전출","건","39",
"전국","8인","순이동","건","0",
"전국","8인","시도내-시군구내이동","건","26",
"전국","8인","시도내-시군구간전입","건","8",
"전국","8인","시도내-시군구간전출","건","8",
"전국","8인","시도간전입","건","5",
"전국","8인","시도간전출","건","5",
"전국","9인","총전입","건","27",
"전국","9인","총전출","건","27",
"전국","9인","순이동","건","0",
"전국","9인","시도내-시군구내이동","건","12",
"전국","9인","시도내-시군구간전입","건","6",
"전국","9인","시도내-시군구간전출","건","6",
"전국","9인","시도간전입","건","9",
"전국","9인","시도간전출","건","9",
"전국","10인이상","총전입","건","2",
"전국","10인이상","총전출","건","2",
"전국","10인이상","순이동","건","0",
"전국","10인이상","시도내-시군구내이동","건","2",
"전국","10인이상","시도내-시군구간전입","건","0",
"전국","10인이상","시도내-시군구간전출","건","0",
"전국","10인이상","시도간전입","건","0",
"전국","10인이상","시도간전출","건","0",
"서울특별시","계","총전입","건","74123",
"서울특별시","계","총전출","건","80283",
"서울특별시","계","순이동","건","-6160",
"서울특별시","계","시도내-시군구내이동","건","19997",
"서울특별시","계","시도내-시군구간전입","건","28372",
"서울특별시","계","시도내-시군구간전출","건","28372",
"서울특별시","계","시도간전입","건","25754",
"서울특별시","계","시도간전출","건","31914",
"서울특별시","1인","총전입","건","53101",
"서울특별시","1인","총전출","건","54803",
"서울특별시","1인","순이동","건","-1702",
"서울특별시","1인","시도내-시군구내이동","건","11038",
"서울특별시","1인","시도내-시군구간전입","건","19949",
"서울특별시","1인","시도내-시군구간전출","건","19949",
"서울특별시","1인","시도간전입","건","22114",
"서울특별시","1인","시도간전출","건","23816",
"서울특별시","2인","총전입","건","9119",
"서울특별시","2인","총전출","건","10973",
"서울특별시","2인","순이동","건","-1854",
"서울특별시","2인","시도내-시군구내이동","건","3461",
"서울특별시","2인","시도내-시군구간전입","건","3684",
"서울특별시","2인","시도내-시군구간전출","건","3684",
"서울특별시","2인","시도간전입","건","1974",
