"행정구역(시군구)별","이동규모별","항목","단위","2017. 03 월",
"전국","계","총전입","건","446535",
"전국","계","총전출","건","446535",
"전국","계","순이동","건","0",
"전국","계","시도내-시군구내이동","건","135190",
"전국","계","시도내-시군구간전입","건","126650",
"전국","계","시도내-시군구간전출","건","126650",
"전국","계","시도간전입","건","184695",
"전국","계","시도간전출","건","184695",
"전국","1인","총전입","건","326665",
"전국","1인","총전출","건","326665",
"전국","1인","순이동","건","0",
"전국","1인","시도내-시군구내이동","건","81175",
"전국","1인","시도내-시군구간전입","건","92528",
"전국","1인","시도내-시군구간전출","건","92528",
"전국","1인","시도간전입","건","152962",
"전국","1인","시도간전출","건","152962",
"전국","2인","총전입","건","52643",
"전국","2인","총전출","건","52643",
"전국","2인","순이동","건","0",
"전국","2인","시도내-시군구내이동","건","21695",
"전국","2인","시도내-시군구간전입","건","15132",
"전국","2인","시도내-시군구간전출","건","15132",
"전국","2인","시도간전입","건","15816",
"전국","2인","시도간전출","건","15816",
"전국","3인","총전입","건","35694",
"전국","3인","총전출","건","35694",
"전국","3인","순이동","건","0",
"전국","3인","시도내-시군구내이동","건","16325",
"전국","3인","시도내-시군구간전입","건","10387",
"전국","3인","시도내-시군구간전출","건","10387",
"전국","3인","시도간전입","건","8982",
"전국","3인","시도간전출","건","8982",
"전국","4인","총전입","건","24939",
"전국","4인","총전출","건","24939",
"전국","4인","순이동","건","0",
"전국","4인","시도내-시군구내이동","건","12465",
"전국","4인","시도내-시군구간전입","건","6938",
"전국","4인","시도내-시군구간전출","건","6938",
"전국","4인","시도간전입","건","5536",
"전국","4인","시도간전출","건","5536",
"전국","5인","총전입","건","5391",
"전국","5인","총전출","건","5391",
"전국","5인","순이동","건","0",
"전국","5인","시도내-시군구내이동","건","2914",
"전국","5인","시도내-시군구간전입","건","1344",
"전국","5인","시도내-시군구간전출","건","1344",
"전국","5인","시도간전입","건","1133",
"전국","5인","시도간전출","건","1133",
"전국","6인","총전입","건","931",
"전국","6인","총전출","건","931",
"전국","6인","순이동","건","0",
"전국","6인","시도내-시군구내이동","건","475",
"전국","6인","시도내-시군구간전입","건","246",
"전국","6인","시도내-시군구간전출","건","246",
"전국","6인","시도간전입","건","210",
"전국","6인","시도간전출","건","210",
"전국","7인","총전입","건","194",
"전국","7인","총전출","건","194",
"전국","7인","순이동","건","0",
"전국","7인","시도내-시군구내이동","건","102",
"전국","7인","시도내-시군구간전입","건","50",
"전국","7인","시도내-시군구간전출","건","50",
"전국","7인","시도간전입","건","42",
"전국","7인","시도간전출","건","42",
"전국","8인","총전입","건","55",
"전국","8인","총전출","건","55",
"전국","8인","순이동","건","0",
"전국","8인","시도내-시군구내이동","건","29",
"전국","8인","시도내-시군구간전입","건","17",
"전국","8인","시도내-시군구간전출","건","17",
"전국","8인","시도간전입","건","9",
"전국","8인","시도간전출","건","9",
"전국","9인","총전입","건","19",
"전국","9인","총전출","건","19",
"전국","9인","순이동","건","0",
"전국","9인","시도내-시군구내이동","건","9",
"전국","9인","시도내-시군구간전입","건","6",
"전국","9인","시도내-시군구간전출","건","6",
"전국","9인","시도간전입","건","4",
"전국","9인","시도간전출","건","4",
"전국","10인이상","총전입","건","4",
"전국","10인이상","총전출","건","4",
"전국","10인이상","순이동","건","0",
"전국","10인이상","시도내-시군구내이동","건","1",
"전국","10인이상","시도내-시군구간전입","건","2",
"전국","10인이상","시도내-시군구간전출","건","2",
"전국","10인이상","시도간전입","건","1",
"전국","10인이상","시도간전출","건","1",
"서울특별시","계","총전입","건","95044",
"서울특별시","계","총전출","건","94594",
"서울특별시","계","순이동","건","450",
"서울특별시","계","시도내-시군구내이동","건","22174",
"서울특별시","계","시도내-시군구간전입","건","34500",
"서울특별시","계","시도내-시군구간전출","건","34500",
"서울특별시","계","시도간전입","건","38370",
"서울특별시","계","시도간전출","건","37920",
"서울특별시","1인","총전입","건","69692",
"서울특별시","1인","총전출","건","66599",
"서울특별시","1인","순이동","건","3093",
"서울특별시","1인","시도내-시군구내이동","건","12334",
"서울특별시","1인","시도내-시군구간전입","건","24466",
"서울특별시","1인","시도내-시군구간전출","건","24466",
"서울특별시","1인","시도간전입","건","32892",
"서울특별시","1인","시도간전출","건","29799",
"서울특별시","2인","총전입","건","10870",
"서울특별시","2인","총전출","건","11894",
"서울특별시","2인","순이동","건","-1024",
"서울특별시","2인","시도내-시군구내이동","건","3777",
"서울특별시","2인","시도내-시군구간전입","건","4288",
"서울특별시","2인","시도내-시군구간전출","건","4288",
"서울특별시","2인","시도간전입","건","2805",
"서울특별시","2인","시도간전출","건","3829",
"서울특별시","3인","총전입","건","7557",
"서울특별시","3인","총전출","건","8495",
"서울특별시","3인","순이동","건","-938",
"서울특별시","3인","시도내-시군구내이동","건","2990",
"서울특별시","3인","시도내-시군구간전입","건","3081",
"서울특별시","3인","시도내-시군구간전출","건","3081",
"서울특별시","3인","시도간전입","건","1486",
"서울특별시","3인","시도간전출","건","2424",
"서울특별시","4인","총전입","건","5577",
"서울특별시","4인","총전출","건","6103",
"서울특별시","4인","순이동","건","-526",
"서울특별시","4인","시도내-시군구내이동","건","2448",
"서울특별시","4인","시도내-시군구간전입","건","2175",
"서울특별시","4인","시도내-시군구간전출","건","2175",
"서울특별시","4인","시도간전입","건","954",
"서울특별시","4인","시도간전출","건","1480",
"서울특별시","5인","총전입","건","1086",
"서울특별시","5인","총전출","건","1201",
"서울특별시","5인","순이동","건","-115",
"서울특별시","5인","시도내-시군구내이동","건","519",
"서울특별시","5인","시도내-시군구간전입","건","385",
"서울특별시","5인","시도내-시군구간전출","건","385",
"서울특별시","5인","시도간전입","건","182",
"서울특별시","5인","시도간전출","건","297",
"서울특별시","6인","총전입","건","211",
"서울특별시","6인","총전출","건","245",
"서울특별시","6인","순이동","건","-34",
"서울특별시","6인","시도내-시군구내이동","건","85",
"서울특별시","6인","시도내-시군구간전입","건","87",
"서울특별시","6인","시도내-시군구간전출","건","87",
"서울특별시","6인","시도간전입","건","39",
"서울특별시","6인","시도간전출","건","73",
"서울특별시","7인","총전입","건","40",
"서울특별시","7인","총전출","건","43",
"서울특별시","7인","순이동","건","-3",
"서울특별시","7인","시도내-시군구내이동","건","17",
"서울특별시","7인","시도내-시군구간전입","건","13",
"서울특별시","7인","시도내-시군구간전출","건","13",
