기간	자치구	총이동	총이동	총이동	총이동	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	시ㆍ도간이동	순이동	순이동	순이동
기간	자치구	총전입(①+②+④)	총전입(①+②+④)	총전입(①+②+④)	총전출(①+③+⑤)	총전출(①+③+⑤)	총전출(①+③+⑤)	구내이동(①)	구내이동(①)	구내이동(①)	구간이동	구간이동	구간이동	구간이동	구간이동	구간이동	전입(④)	전입(④)	전입(④)	전출(⑤)	전출(⑤)	전출(⑤)	순이동	순이동	순이동
기간	자치구	총전입(①+②+④)	총전입(①+②+④)	총전입(①+②+④)	총전출(①+③+⑤)	총전출(①+③+⑤)	총전출(①+③+⑤)	구내이동(①)	구내이동(①)	구내이동(①)	전입(②)	전입(②)	전입(②)	전출(③)	전출(③)	전출(③)	전입(④)	전입(④)	전입(④)	전출(⑤)	전출(⑤)	전출(⑤)	순이동	순이동	순이동
기간	자치구	소계	남자	여자	소계	남자	여자	소계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2014.02	용산구	3,702	1,833	1,869	3,827	1,900	1,927	663	317	346	1,631	827	804	1,707	842	865	1,408	689	719	1,457	741	716	-125	-67	-58
2014.02	성동구	4,431	2,260	2,171	4,697	2,383	2,314	880	451	429	1,961	979	982	2,208	1,100	1,108	1,590	830	760	1,609	832	777	-266	-123	-143
2014.02	광진구	5,508	2,688	2,820	5,766	2,903	2,863	1,307	630	677	2,061	1,019	1,042	2,243	1,114	1,129	2,140	1,039	1,101	2,216	1,159	1,057	-258	-215	-43
2014.02	동대문구	5,211	2,652	2,559	5,577	2,885	2,692	1,181	582	599	1,909	969	940	2,385	1,222	1,163	2,121	1,101	1,020	2,011	1,081	930	-366	-233	-133
2014.02	중랑구	7,296	3,678	3,618	6,300	3,176	3,124	2,519	1,269	1,250	2,908	1,455	1,453	1,725	867	858	1,869	954	915	2,056	1,040	1,016	996	502	494
2014.02	성북구	6,930	3,349	3,581	7,218	3,529	3,689	1,677	791	886	2,763	1,366	1,397	3,072	1,511	1,561	2,490	1,192	1,298	2,469	1,227	1,242	-288	-180	-108
2014.02	강북구	3,957	1,928	2,029	4,450	2,181	2,269	1,213	572	641	1,636	811	825	1,800	870	930	1,108	545	563	1,437	739	698	-493	-253	-240
2014.02	도봉구	4,051	1,993	2,058	4,693	2,335	2,358	1,179	568	611	1,603	779	824	1,802	871	931	1,269	646	623	1,712	896	816	-642	-342	-300
2014.02	노원구	8,046	3,922	4,124	9,000	4,400	4,600	2,381	1,107	1,274	2,817	1,416	1,401	3,237	1,588	1,649	2,848	1,399	1,449	3,382	1,705	1,677	-954	-478	-476
2014.02	은평구	6,576	3,203	3,373	7,429	3,677	3,752	2,304	1,108	1,196	2,077	1,018	1,059	1,987	987	1,000	2,195	1,077	1,118	3,138	1,582	1,556	-853	-474	-379
2014.02	서대문구	4,511	2,182	2,329	4,532	2,221	2,311	940	452	488	1,823	878	945	1,937	930	1,007	1,748	852	896	1,655	839	816	-21	-39	18
2014.02	마포구	5,980	2,805	3,175	6,245	3,052	3,193	1,236	577	659	2,375	1,126	1,249	2,679	1,324	1,355	2,369	1,102	1,267	2,330	1,151	1,179	-265	-247	-18
2014.02	양천구	6,643	3,309	3,334	7,163	3,654	3,509	1,910	958	952	2,698	1,356	1,342	2,736	1,384	1,352	2,035	995	1,040	2,517	1,312	1,205	-520	-345	-175
2014.02	강서구	7,478	3,724	3,754	8,172	4,052	4,120	2,305	1,132	1,173	2,570	1,304	1,266	2,507	1,238	1,269	2,603	1,288	1,315	3,360	1,682	1,678	-694	-328	-366
2014.02	구로구	6,895	3,370	3,525	6,241	3,070	3,171	1,666	788	878	2,637	1,330	1,307	1,951	969	982	2,592	1,252	1,340	2,624	1,313	1,311	654	300	354
2014.02	금천구	2,966	1,553	1,413	3,167	1,650	1,517	742	362	380	889	460	429	983	513	470	1,335	731	604	1,442	775	667	-201	-97	-104
2014.02	영등포구	5,813	2,879	2,934	6,448	3,295	3,153	1,018	496	522	2,384	1,182	1,202	2,858	1,436	1,422	2,411	1,201	1,210	2,572	1,363	1,209	-635	-416	-219
2014.02	동작구	6,930	3,439	3,491	6,719	3,346	3,373	1,182	563	619	2,789	1,373	1,416	2,913	1,420	1,493	2,959	1,503	1,456	2,624	1,363	1,261	211	93	118
2014.02	관악구	9,251	4,763	4,488	9,456	4,882	4,574	2,148	1,036	1,112	2,734	1,434	1,300	3,397	1,761	1,636	4,369	2,293	2,076	3,911	2,085	1,826	-205	-119	-86
2014.02	서초구	8,887	4,271	4,616	8,358	4,112	4,246	2,194	1,056	1,138	4,024	1,950	2,074	3,453	1,686	1,767	2,669	1,265	1,404	2,711	1,370	1,341	529	159	370
2014.02	강남구	11,261	5,493	5,768	10,765	5,217	5,548	2,908	1,386	1,522	4,534	2,246	2,288	3,929	1,916	2,013	3,819	1,861	1,958	3,928	1,915	2,013	496	276	220
2014.02	송파구	12,341	6,061	6,280	10,518	5,295	5,223	3,377	1,648	1,729	4,425	2,183	2,242	3,319	1,656	1,663	4,539	2,230	2,309	3,822	1,991	1,831	1,823	766	1,057
2014.02	강동구	6,164	3,089	3,075	6,717	3,343	3,374	2,195	1,085	1,110	1,867	947	920	1,921	940	981	2,102	1,057	1,045	2,601	1,318	1,283	-553	-254	-299
2014.03	서울특별시	148,117	74,371	73,746	154,260	77,792	76,468	45,372	21,929	23,443	55,072	27,621	27,451	55,072	27,621	27,451	47,673	24,821	22,852	53,816	28,242	25,574	-6,143	-3,421	-2,722
2014.03	종로구	2,528	1,332	1,196	2,725	1,408	1,317	444	207	237	1,165	596	569	1,462	747	715	919	529	390	819	454	365	-197	-76	-121
2014.03	중구	2,084	1,082	1,002	2,333	1,227	1,106	376	186	190	1,056	535	521	1,294	667	627	652	361	291	663	374	289	-249	-145	-104
2014.03	용산구	3,585	1,834	1,751	3,923	1,973	1,950	846	416	430	1,515	762	753	1,735	879	856	1,224	656	568	1,342	678	664	-338	-139	-199
2014.03	성동구	4,913	2,510	2,403	4,685	2,442	2,243	1,213	586	627	2,316	1,191	1,125	2,029	1,062	967	1,384	733	651	1,443	794	649	228	68	160
2014.03	광진구	5,787	2,883	2,904	6,118	3,072	3,046	1,684	796	888	2,098	1,056	1,042	2,395	1,202	1,193	2,005	1,031	974	2,039	1,074	965	-331	-189	-142
2014.03	동대문구	4,895	2,554	2,341	5,172	2,695	2,477	1,397	679	718	1,731	898	833	2,061	1,079	982	1,767	977	790	1,714	937	777	-277	-141	-136
2014.03	중랑구	6,378	3,199	3,179	6,428	3,227	3,201	2,542	1,246	1,296	2,217	1,121	1,096	1,777	888	889	1,619	832	787	2,109	1,093	1,016	-50	-28	-22
2014.03	성북구	6,366	3,092	3,274	6,762	3,389	3,373	1,801	841	960	2,486	1,210	1,276	2,733	1,378	1,355	2,079	1,041	1,038	2,228	1,170	1,058	-396	-297	-99
2014.03	강북구	4,322	2,141	2,181	4,980	2,473	2,507	1,663	823	840	1,744	852	892	1,848	884	964	915	466	449	1,469	766	703	-658	-332	-326
2014.03	도봉구	4,344	2,140	2,204	4,428	2,212	2,216	1,442	678	764	1,759	867	892	1,521	775	746	1,143	595	548	1,465	759	706	-84	-72	-12
2014.03	노원구	7,124	3,487	3,637	7,948	3,889	4,059	2,439	1,132	1,307	2,534	1,259	1,275	2,497	1,194	1,303	2,151	1,096	1,055	3,012	1,563	1,449	-824	-402	-422
2014.03	은평구	6,956	3,417	3,539	7,528	3,738	3,790	2,796	1,300	1,496	2,088	1,075	1,013	1,906	950	956	2,072	1,042	1,030	2,826	1,488	1,338	-572	-321	-251
2014.03	서대문구	4,599	2,305	2,294	4,732	2,376	2,356	1,055	500	555	1,924	960	964	2,046	1,011	1,035	1,620	845	775	1,631	865	766	-133	-71	-62
2014.03	마포구	6,218	3,049	3,169	6,144	3,002	3,142	1,703	796	907	2,407	1,209	1,198	2,422	1,187	1,235	2,108	1,044	1,064	2,019	1,019	1,000	74	47	27
2014.03	양천구	5,874	2,975	2,899	6,417	3,253	3,164	1,980	987	993	2,311	1,169	1,142	2,280	1,114	1,166	1,583	819	764	2,157	1,152	1,005	-543	-278	-265
2014.03	강서구	7,634	3,862	3,772	8,062	4,057	4,005	2,533	1,242	1,291	2,664	1,343	1,321	2,351	1,154	1,197	2,437	1,277	1,160	3,178	1,661	1,517	-428	-195	-233
2014.03	구로구	6,665	3,283	3,382	5,998	2,991	3,007	1,860	886	974	2,397	1,159	1,238	1,765	854	911	2,408	1,238	1,170	2,373	1,251	1,122	667	292	375
2014.03	금천구	3,255	1,687	1,568	3,589	1,869	1,720	1,101	562	539	863	437	426	1,031	531	500	1,291	688	603	1,457	776	681	-334	-182	-152
2014.03	영등포구	5,997	3,075	2,922	5,999	3,127	2,872	1,410	702	708	2,425	1,245	1,180	2,406	1,256	1,150	2,162	1,128	1,034	2,183	1,169	1,014	-2	-52	50
2014.03	동작구	6,335	3,243	3,092	6,445	3,272	3,173	1,436	715	721	2,544	1,244	1,300	2,675	1,332	1,343	2,355	1,284	1,071	2,334	1,225	1,109	-110	-29	-81
2014.03	관악구	9,565	5,118	4,447	9,548	4,978	4,570	2,610	1,317	1,293	2,805	1,427	1,378	3,218	1,645	1,573	4,150	2,374	1,776	3,720	2,016	1,704	17	140	-123
2014.03	서초구	6,542	3,215	3,327	7,240	3,590	3,650	1,842	891	951	2,716	1,336	1,380	3,062	1,496	1,566	1,984	988	996	2,336	1,203	1,133	-698	-375	-323
2014.03	강남구	10,666	5,218	5,448	10,176	5,010	5,166	3,282	1,543	1,739	4,432	2,216	2,216	3,634	1,846	1,788	2,952	1,459	1,493	3,260	1,621	1,639	490	208	282
2014.03	송파구	9,278	4,534	4,744	9,965	4,988	4,977	3,178	1,533	1,645	3,140	1,551	1,589	3,255	1,639	1,616	2,960	1,450	1,510	3,532	1,816	1,716	-687	-454	-233
2014.03	강동구	6,207	3,136	3,071	6,915	3,534	3,381	2,739	1,365	1,374	1,735	903	832	1,669	851	818	1,733	868	865	2,507	1,318	1,189	-708	-398	-310
2014.04	서울특별시	136,230	68,308	67,922	144,686	72,852	71,834	45,379	22,217	23,162	51,724	25,806	25,918	51,724	25,806	25,918	39,127	20,285	18,842	47,583	24,829	22,754	-8,456	-4,544	-3,912
2014.04	종로구	2,337	1,142	1,195	2,609	1,357	1,252	468	241	227	1,036	521	515	1,453	740	713	833	380	453	688	376	312	-272	-215	-57
2014.04	중구	1,790	941	849	2,045	1,064	981	352	189	163	935	480	455	1,138	582	556	503	272	231	555	293	262	-255	-123	-132
2014.04	용산구	3,151	1,606	1,545	3,613	1,827	1,786	836	400	436	1,392	705	687	1,613	834	779	923	501	422	1,164	593	571	-462	-221	-241
2014.04	성동구	4,504	2,264	2,240	4,428	2,261	2,167	1,228	586	642	2,174	1,111	1,063	1,833	950	883	1,102	567	535	1,367	725	642	76	3	73
2014.04	광진구	5,083	2,536	2,547	5,694	2,834	2,860	1,801	870	931	1,917	964	953	2,173	1,066	1,107	1,365	702	663	1,720	898	822	-611	-298	-313
2014.04	동대문구	4,492	2,364	2,128	4,904	2,552	2,352	1,393	707	686	1,678	871	807	1,968	1,023	945	1,421	786	635	1,543	822	721	-412	-188	-224
2014.04	중랑구	5,937	3,056	2,881	6,398	3,275	3,123	2,628	1,362	1,266	1,972	1,006	966	1,850	912	938	1,337	688	649	1,920	1,001	919	-461	-219	-242
2014.04	성북구	5,518	2,717	2,801	6,345	3,184	3,161	1,867	891	976	2,305	1,132	1,173	2,610	1,315	1,295	1,346	694	652	1,868	978	890	-827	-467	-360
