기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
2010	서울특별시	합계	합계	1,733,015	1,848,038	1,199,708	520,345	679,363	679,363	533,307	648,330	-115,023
2010	서울특별시	합계	남자	857,573	920,577	589,718	253,081	336,637	336,637	267,855	330,859	-63,004
2010	서울특별시	합계	여자	875,442	927,461	609,990	267,264	342,726	342,726	265,452	317,471	-52,019
2010	서울특별시	1월	합계	121,063	125,187	77,023	29,888	47,135	47,135	44,040	48,164	-4,124
2010	서울특별시	1월	남자	59,344	61,589	37,527	14,475	23,052	23,052	21,817	24,062	-2,245
2010	서울특별시	1월	여자	61,719	63,598	39,496	15,413	24,083	24,083	22,223	24,102	-1,879
2010	서울특별시	2월	합계	159,643	164,964	102,446	39,905	62,541	62,541	57,197	62,518	-5,321
2010	서울특별시	2월	남자	78,660	81,875	50,254	19,550	30,704	30,704	28,406	31,621	-3,215
2010	서울특별시	2월	여자	80,983	83,089	52,192	20,355	31,837	31,837	28,791	30,897	-2,106
2010	서울특별시	3월	합계	190,443	202,749	131,159	57,717	73,442	73,442	59,284	71,590	-12,306
2010	서울특별시	3월	남자	95,609	102,167	65,010	28,112	36,898	36,898	30,599	37,157	-6,558
2010	서울특별시	3월	여자	94,834	100,582	66,149	29,605	36,544	36,544	28,685	34,433	-5,748
2010	서울특별시	4월	합계	156,519	168,186	111,216	51,725	59,491	59,491	45,303	56,970	-11,667
2010	서울특별시	4월	남자	78,159	84,201	54,935	25,310	29,625	29,625	23,224	29,266	-6,042
2010	서울특별시	4월	여자	78,360	83,985	56,281	26,415	29,866	29,866	22,079	27,704	-5,625
2010	서울특별시	5월	합계	145,051	156,874	103,379	47,355	56,024	56,024	41,672	53,495	-11,823
2010	서울특별시	5월	남자	71,370	77,706	50,611	22,979	27,632	27,632	20,759	27,095	-6,336
2010	서울특별시	5월	여자	73,681	79,168	52,768	24,376	28,392	28,392	20,913	26,400	-5,487
2010	서울특별시	6월	합계	135,487	144,543	95,177	42,508	52,669	52,669	40,310	49,366	-9,056
2010	서울특별시	6월	남자	66,745	71,737	46,583	20,642	25,941	25,941	20,162	25,154	-4,992
2010	서울특별시	6월	여자	68,742	72,806	48,594	21,866	26,728	26,728	20,148	24,212	-4,064
2010	서울특별시	7월	합계	128,872	136,818	89,460	38,310	51,150	51,150	39,412	47,358	-7,946
2010	서울특별시	7월	남자	63,923	68,498	44,157	18,630	25,527	25,527	19,766	24,341	-4,575
2010	서울특별시	7월	여자	64,949	68,320	45,303	19,680	25,623	25,623	19,646	23,017	-3,371
2010	서울특별시	8월	합계	141,136	148,726	96,059	39,800	56,259	56,259	45,077	52,667	-7,590
2010	서울특별시	8월	남자	70,162	74,615	47,302	19,363	27,939	27,939	22,860	27,313	-4,453
2010	서울특별시	8월	여자	70,974	74,111	48,757	20,437	28,320	28,320	22,217	25,354	-3,137
2010	서울특별시	9월	합계	120,210	128,763	84,336	36,623	47,713	47,713	35,874	44,427	-8,553
2010	서울특별시	9월	남자	59,587	64,482	41,513	17,716	23,797	23,797	18,074	22,969	-4,895
2010	서울특별시	9월	여자	60,623	64,281	42,823	18,907	23,916	23,916	17,800	21,458	-3,658
2010	서울특별시	10월	합계	146,446	156,914	105,096	47,360	57,736	57,736	41,350	51,818	-10,468
2010	서울특별시	10월	남자	72,364	78,115	51,715	23,020	28,695	28,695	20,649	26,400	-5,751
