기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
2005	종로구	6월	여자	1,386	1,575	1,029	348	681	841	357	386	-189
2005	종로구	7월	합계	2,321	2,796	1,617	539	1,078	1,549	704	708	-475
2005	종로구	7월	남자	1,195	1,422	833	273	560	794	362	355	-227
2005	종로구	7월	여자	1,126	1,374	784	266	518	755	342	353	-248
2005	종로구	8월	합계	3,403	3,691	2,434	771	1,663	1,960	969	960	-288
2005	종로구	8월	남자	1,718	1,835	1,232	390	842	955	486	490	-117
2005	종로구	8월	여자	1,685	1,856	1,202	381	821	1,005	483	470	-171
2005	종로구	9월	합계	2,997	3,087	2,142	716	1,426	1,614	855	757	-90
2005	종로구	9월	남자	1,514	1,590	1,062	362	700	824	452	404	-76
2005	종로구	9월	여자	1,483	1,497	1,080	354	726	790	403	353	-14
2005	종로구	10월	합계	2,805	3,276	1,962	641	1,321	1,741	843	894	-471
2005	종로구	10월	남자	1,439	1,673	989	301	688	902	450	470	-234
2005	종로구	10월	여자	1,366	1,603	973	340	633	839	393	424	-237
2005	종로구	11월	합계	2,857	3,167	2,153	741	1,412	1,591	704	835	-310
2005	종로구	11월	남자	1,445	1,600	1,080	365	715	795	365	440	-155
2005	종로구	11월	여자	1,412	1,567	1,073	376	697	796	339	395	-155
2005	종로구	12월	합계	2,699	2,981	1,814	526	1,288	1,527	885	928	-282
2005	종로구	12월	남자	1,322	1,482	885	259	626	766	437	457	-160
2005	종로구	12월	여자	1,377	1,499	929	267	662	761	448	471	-122
