기간	자치구	월별	성별	총이동	총이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도내이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	구간이동	구간이동	시ㆍ도간이동	시ㆍ도간이동	순이동(전입-전출)
기간	자치구	월별	성별	총전입(시=④+⑤)(구=①+②+⑤)	총전출(시=④+⑥)(구=①+③+⑥)	시ㆍ도내이동(④=①+②)	구내이동(①)	전입(②)	전출(③)	전입(⑤)	전출(⑥)	순이동(전입-전출)
2000	서울특별시	합계	합계	2,219,407	2,266,346	1,582,429	705,781	876,648	876,648	636,978	683,917	-46,939
2000	서울특별시	합계	남자	1,104,005	1,127,156	782,000	347,801	434,199	434,199	322,005	345,156	-23,151
2000	서울특별시	합계	여자	1,115,402	1,139,190	800,429	357,980	442,449	442,449	314,973	338,761	-23,788
2000	서울특별시	1월	합계	136,239	135,267	89,037	35,898	53,139	53,139	47,202	46,230	972
2000	서울특별시	1월	남자	67,216	67,150	43,913	17,692	26,221	26,221	23,303	23,237	66
2000	서울특별시	1월	여자	69,023	68,117	45,124	18,206	26,918	26,918	23,899	22,993	906
2000	서울특별시	2월	합계	196,167	190,149	127,455	52,144	75,311	75,311	68,712	62,694	6,018
2000	서울특별시	2월	남자	97,218	94,421	62,599	25,454	37,145	37,145	34,619	31,822	2,797
2000	서울특별시	2월	여자	98,949	95,728	64,856	26,690	38,166	38,166	34,093	30,872	3,221
2000	서울특별시	3월	합계	231,933	237,393	165,298	74,362	90,936	90,936	66,635	72,095	-5,460
2000	서울특별시	3월	남자	116,070	118,794	81,801	36,360	45,441	45,441	34,269	36,993	-2,724
2000	서울특별시	3월	여자	115,863	118,599	83,497	38,002	45,495	45,495	32,366	35,102	-2,736
2000	서울특별시	4월	합계	205,487	207,976	149,282	69,776	79,506	79,506	56,205	58,694	-2,489
2000	서울특별시	4월	남자	102,842	103,557	73,935	34,477	39,458	39,458	28,907	29,622	-715
2000	서울특별시	4월	여자	102,645	104,419	75,347	35,299	40,048	40,048	27,298	29,072	-1,774
2000	서울특별시	5월	합계	209,053	212,656	149,987	67,905	82,082	82,082	59,066	62,669	-3,603
2000	서울특별시	5월	남자	105,171	106,340	74,625	33,636	40,989	40,989	30,546	31,715	-1,169
2000	서울특별시	5월	여자	103,882	106,316	75,362	34,269	41,093	41,093	28,520	30,954	-2,434
2000	서울특별시	6월	합계	174,700	181,783	126,409	56,488	69,921	69,921	48,291	55,374	-7,083
2000	서울특별시	6월	남자	86,706	89,813	62,146	27,842	34,304	34,304	24,560	27,667	-3,107
2000	서울특별시	6월	여자	87,994	91,970	64,263	28,646	35,617	35,617	23,731	27,707	-3,976
2000	서울특별시	7월	합계	151,431	152,659	107,506	47,663	59,843	59,843	43,925	45,153	-1,228
2000	서울특별시	7월	남자	75,294	76,111	53,022	23,530	29,492	29,492	22,272	23,089	-817
2000	서울특별시	7월	여자	76,137	76,548	54,484	24,133	30,351	30,351	21,653	22,064	-411
2000	서울특별시	8월	합계	173,899	174,256	123,546	54,548	68,998	68,998	50,353	50,710	-357
2000	서울특별시	8월	남자	86,219	86,408	60,669	26,775	33,894	33,894	25,550	25,739	-189
2000	서울특별시	8월	여자	87,680	87,848	62,877	27,773	35,104	35,104	24,803	24,971	-168
2000	서울특별시	9월	합계	167,077	169,657	122,077	55,084	66,993	66,993	45,000	47,580	-2,580
2000	서울특별시	9월	남자	83,495	84,673	60,525	27,090	33,435	33,435	22,970	24,148	-1,178
2000	서울특별시	9월	여자	83,582	84,984	61,552	27,994	33,558	33,558	22,030	23,432	-1,402
2000	서울특별시	10월	합계	206,559	217,304	152,615	70,033	82,582	82,582	53,944	64,689	-10,745
2000	서울특별시	10월	남자	103,694	108,756	76,123	34,680	41,443	41,443	27,571	32,633	-5,062
