연번,시도,시군구,읍면동,우편번호,주    소
267,경상남도,산청군,생비량면사무소,52256,경상남도 산청군 생비량면 비량로 38
268,경상남도,산청군,신등면사무소,52257,경상남도 산청군 신등면 신차로 576
269,경상남도,함양군,함양읍행정복지센터,50041,경상남도 함양군 함양읍 학사루길 11
270,경상남도,함양군,마천면사무소,50050,경상남도 함양군 마천면 당흥길 15
271,경상남도,함양군,휴천면사무소,50052,경상남도 함양군 휴천면 목현옥매로 3
272,경상남도,함양군,유림면사무소,50051,경상남도 함양군 유림면 천왕봉로 2872-3
273,경상남도,함양군,수동면사무소,50022,경상남도 함양군 수동면 수동길 27
274,경상남도,함양군,지곡면사무소,50018,경상남도 함양군 지곡면 함양로 1882
275,경상남도,함양군,안의면사무소,50009,경상남도 함양군 안의면 금성길 7
276,경상남도,함양군,서하면사무소,50003,경상남도 함양군 서하면 함양남서로 3937
277,경상남도,함양군,서상면사무소,50001,경상남도 함양군 서상면 서상로 308
278,경상남도,함양군,백전면사무소,50025,경상남도 함양군 백전면 구산대안로 10-3
279,경상남도,함양군,병곡면사무소,50027,경상남도 함양군 병곡면 함양남서로 1756
280,경상남도,거창군,거창읍행정복지센터,50131,경상남도 거창군 거창읍 거열로 90
281,경상남도,거창군,주상면행정복지센터,50115,경상남도 거창군 주상면 주곡로 655
282,경상남도,거창군,웅양면사무소,50113,경상남도 거창군 웅양면 웅양로 1431
283,경상남도,거창군,고제면사무소,50111,경상남도 거창군 고제면 입석1길 14
284,경상남도,거창군,북상면사무소,50102,경상남도 거창군 북상면 송계로 710
285,경상남도,거창군,위천면행정복지센터,50103,경상남도 거창군 위천면 원학길 324
286,경상남도,거창군,마리면사무소,50109,경상남도 거창군 마리면 빼재로 18
287,경상남도,거창군,남상면행정복지센터,50148,경상남도 거창군 남상면 인평길 36
288,경상남도,거창군,남하면사무소,50123,경상남도 거창군 남하면 영서로 41
289,경상남도,거창군,신원면사무소,50153,경상남도 거창군 신원면 신차로 3067
290,경상남도,거창군,가조면행정복지센터,50118,경상남도 거창군 가조면 장군봉 1길 8
291,경상남도,거창군,가북면사무소,50117,경상남도 거창군 가북면 용암로 17-16
292,경상남도,합천군,합천읍사무소,50235,경상남도 합천군 합천읍 중앙로 61
293,경상남도,합천군,봉산면사무소,50211,경상남도 합천군 봉산면 김봉길 17
294,경상남도,합천군,묘산면사무소,50209,경상남도 합천군 묘산면 묘산로 173-1
295,경상남도,합천군,가야면사무소,50201,경상남도 합천군 가야면 가야시장로 92
296,경상남도,합천군,야로면사무소,50206,경상남도 합천군 야로면 향교길 20
297,경상남도,합천군,율곡면사무소,50243,경상남도 합천군 율곡면 영전3길 26
298,경상남도,합천군,초계면사무소,50246,경상남도 합천군 초계면 초계중앙로 45
299,경상남도,합천군,쌍책면사무소,50252,경상남도 합천군 쌍책면 성산큰길 48
300,경상남도,합천군,덕곡면사무소,50248,경상남도 합천군 덕곡면 율지2길 11
301,경상남도,합천군,청덕면사무소,50253,경상남도 합천군 청덕면 동부로 1754
302,경상남도,합천군,적중면사무소,50247,경상남도 합천군 적중면 적중로 98
303,경상남도,합천군,대양면사무소,50240,경상남도 합천군 대양면 대한로 5
304,경상남도,합천군,쌍백면사무소,50218,경상남도 합천군 쌍백면 쌍백중앙로 63
305,경상남도,합천군,삼가면사무소,50222,경상남도 합천군 삼가면 삼가중앙2길 12-8
306,경상남도,합천군,가회면사무소,50226,경상남도 합천군 가회면 황매산로 52
307,경상남도,합천군,대병면사무소,50216,경상남도 합천군 대병면 신성동길 23
308,경상남도,합천군,용주면사무소,50213,경상남도 합천군 용주면 황계폭포로 1154
,,,,,
,,,,,
