"행정구역(시군구)별","이동규모별","항목","단위","2018. 02 월",
"전국","계","총전입","건","426551",
"전국","계","총전출","건","426551",
"전국","계","순이동","건","0",
"전국","계","시도내-시군구내이동","건","125392",
"전국","계","시도내-시군구간전입","건","124230",
"전국","계","시도내-시군구간전출","건","124230",
"전국","계","시도간전입","건","176929",
"전국","계","시도간전출","건","176929",
"전국","1인","총전입","건","293355",
"전국","1인","총전출","건","293355",
"전국","1인","순이동","건","0",
"전국","1인","시도내-시군구내이동","건","71807",
"전국","1인","시도내-시군구간전입","건","83722",
"전국","1인","시도내-시군구간전출","건","83722",
"전국","1인","시도간전입","건","137826",
"전국","1인","시도간전출","건","137826",
"전국","2인","총전입","건","49737",
"전국","2인","총전출","건","49737",
"전국","2인","순이동","건","0",
"전국","2인","시도내-시군구내이동","건","18903",
"전국","2인","시도내-시군구간전입","건","14852",
"전국","2인","시도내-시군구간전출","건","14852",
"전국","2인","시도간전입","건","15982",
"전국","2인","시도간전출","건","15982",
"전국","3인","총전입","건","39843",
"전국","3인","총전출","건","39843",
"전국","3인","순이동","건","0",
"전국","3인","시도내-시군구내이동","건","16012",
"전국","3인","시도내-시군구간전입","건","12385",
"전국","3인","시도내-시군구간전출","건","12385",
"전국","3인","시도간전입","건","11446",
"전국","3인","시도간전출","건","11446",
"전국","4인","총전입","건","34564",
"전국","4인","총전출","건","34564",
"전국","4인","순이동","건","0",
"전국","4인","시도내-시군구내이동","건","14571",
"전국","4인","시도내-시군구간전입","건","10706",
"전국","4인","시도내-시군구간전출","건","10706",
"전국","4인","시도간전입","건","9287",
"전국","4인","시도간전출","건","9287",
"전국","5인","총전입","건","7627",
"전국","5인","총전출","건","7627",
"전국","5인","순이동","건","0",
"전국","5인","시도내-시군구내이동","건","3437",
"전국","5인","시도내-시군구간전입","건","2176",
"전국","5인","시도내-시군구간전출","건","2176",
"전국","5인","시도간전입","건","2014",
"전국","5인","시도간전출","건","2014",
"전국","6인","총전입","건","1121",
"전국","6인","총전출","건","1121",
"전국","6인","순이동","건","0",
"전국","6인","시도내-시군구내이동","건","513",
"전국","6인","시도내-시군구간전입","건","314",
"전국","6인","시도내-시군구간전출","건","314",
"전국","6인","시도간전입","건","294",
"전국","6인","시도간전출","건","294",
"전국","7인","총전입","건","233",
"전국","7인","총전출","건","233",
"전국","7인","순이동","건","0",
"전국","7인","시도내-시군구내이동","건","115",
"전국","7인","시도내-시군구간전입","건","55",
"전국","7인","시도내-시군구간전출","건","55",
"전국","7인","시도간전입","건","63",
"전국","7인","시도간전출","건","63",
"전국","8인","총전입","건","49",
"전국","8인","총전출","건","49",
"전국","8인","순이동","건","0",
"전국","8인","시도내-시군구내이동","건","24",
"전국","8인","시도내-시군구간전입","건","14",
"전국","8인","시도내-시군구간전출","건","14",
"전국","8인","시도간전입","건","11",
"전국","8인","시도간전출","건","11",
"전국","9인","총전입","건","17",
"전국","9인","총전출","건","17",
"전국","9인","순이동","건","0",
"전국","9인","시도내-시군구내이동","건","8",
"전국","9인","시도내-시군구간전입","건","5",
"전국","9인","시도내-시군구간전출","건","5",
"전국","9인","시도간전입","건","4",
"전국","9인","시도간전출","건","4",
"전국","10인이상","총전입","건","5",
"전국","10인이상","총전출","건","5",
"전국","10인이상","순이동","건","0",
"전국","10인이상","시도내-시군구내이동","건","2",
"전국","10인이상","시도내-시군구간전입","건","1",
"전국","10인이상","시도내-시군구간전출","건","1",
"전국","10인이상","시도간전입","건","2",
"전국","10인이상","시도간전출","건","2",
"서울특별시","계","총전입","건","87805",
"서울특별시","계","총전출","건","87032",
"서울특별시","계","순이동","건","773",
"서울특별시","계","시도내-시군구내이동","건","18219",
"서울특별시","계","시도내-시군구간전입","건","32293",
"서울특별시","계","시도내-시군구간전출","건","32293",
"서울특별시","계","시도간전입","건","37293",
"서울특별시","계","시도간전출","건","36520",
"서울특별시","1인","총전입","건","64067",
"서울특별시","1인","총전출","건","59565",
"서울특별시","1인","순이동","건","4502",
"서울특별시","1인","시도내-시군구내이동","건","10635",
"서울특별시","1인","시도내-시군구간전입","건","22431",
"서울특별시","1인","시도내-시군구간전출","건","22431",
"서울특별시","1인","시도간전입","건","31001",
"서울특별시","1인","시도간전출","건","26499",
"서울특별시","2인","총전입","건","9031",
"서울특별시","2인","총전출","건","10182",
"서울특별시","2인","순이동","건","-1151",
"서울특별시","2인","시도내-시군구내이동","건","2747",
"서울특별시","2인","시도내-시군구간전입","건","3535",
"서울특별시","2인","시도내-시군구간전출","건","3535",
"서울특별시","2인","시도간전입","건","2749",
"서울특별시","2인","시도간전출","건","3900",
"서울특별시","3인","총전입","건","7237",
"서울특별시","3인","총전출","건","8558",
"서울특별시","3인","순이동","건","-1321",
"서울특별시","3인","시도내-시군구내이동","건","2324",
"서울특별시","3인","시도내-시군구간전입","건","3149",
"서울특별시","3인","시도내-시군구간전출","건","3149",
"서울특별시","3인","시도간전입","건","1764",
"서울특별시","3인","시도간전출","건","3085",
"서울특별시","4인","총전입","건","6066",
"서울특별시","4인","총전출","건","6975",
"서울특별시","4인","순이동","건","-909",
"서울특별시","4인","시도내-시군구내이동","건","1989",
"서울특별시","4인","시도내-시군구간전입","건","2611",
"서울특별시","4인","시도내-시군구간전출","건","2611",
"서울특별시","4인","시도간전입","건","1466",
"서울특별시","4인","시도간전출","건","2375",
"서울특별시","5인","총전입","건","1171",
"서울특별시","5인","총전출","건","1451",
"서울특별시","5인","순이동","건","-280",
"서울특별시","5인","시도내-시군구내이동","건","438",
"서울특별시","5인","시도내-시군구간전입","건","470",
"서울특별시","5인","시도내-시군구간전출","건","470",
"서울특별시","5인","시도간전입","건","263",
"서울특별시","5인","시도간전출","건","543",
"서울특별시","6인","총전입","건","169",
"서울특별시","6인","총전출","건","221",
"서울특별시","6인","순이동","건","-52",
"서울특별시","6인","시도내-시군구내이동","건","55",
"서울특별시","6인","시도내-시군구간전입","건","75",
"서울특별시","6인","시도내-시군구간전출","건","75",
"서울특별시","6인","시도간전입","건","39",
"서울특별시","6인","시도간전출","건","91",
"서울특별시","7인","총전입","건","49",
"서울특별시","7인","총전출","건","58",
"서울특별시","7인","순이동","건","-9",
"서울특별시","7인","시도내-시군구내이동","건","25",
"서울특별시","7인","시도내-시군구간전입","건","13",
"서울특별시","7인","시도내-시군구간전출","건","13",
"서울특별시","7인","시도간전입","건","11",
"서울특별시","7인","시도간전출","건","20",
"서울특별시","8인","총전입","건","12",
"서울특별시","8인","총전출","건","16",
"서울특별시","8인","순이동","건","-4",
"서울특별시","8인","시도내-시군구내이동","건","5",
"서울특별시","8인","시도내-시군구간전입","건","7",
"서울특별시","8인","시도내-시군구간전출","건","7",
"서울특별시","8인","시도간전입","건","0",
"서울특별시","8인","시도간전출","건","4",
"서울특별시","9인","총전입","건","2",
"서울특별시","9인","총전출","건","4",
"서울특별시","9인","순이동","건","-2",
"서울특별시","9인","시도내-시군구내이동","건","0",
"서울특별시","9인","시도내-시군구간전입","건","2",
"서울특별시","9인","시도내-시군구간전출","건","2",
"서울특별시","9인","시도간전입","건","0",
"서울특별시","9인","시도간전출","건","2",
"서울특별시","10인이상","총전입","건","1",
"서울특별시","10인이상","총전출","건","2",
"서울특별시","10인이상","순이동","건","-1",
"서울특별시","10인이상","시도내-시군구내이동","건","1",
"서울특별시","10인이상","시도내-시군구간전입","건","0",
"서울특별시","10인이상","시도내-시군구간전출","건","0",
"서울특별시","10인이상","시도간전입","건","0",
"서울특별시","10인이상","시도간전출","건","1",
"종로구","계","총전입","건","1702",
"종로구","계","총전출","건","1775",
"종로구","계","순이동","건","-73",
"종로구","계","시도내-시군구내이동","건","215",
"종로구","계","시도내-시군구간전입","건","725",
"종로구","계","시도내-시군구간전출","건","898",
"종로구","계","시도간전입","건","762",
"종로구","계","시도간전출","건","662",
"종로구","1인","총전입","건","1280",
"종로구","1인","총전출","건","1337",
"종로구","1인","순이동","건","-57",
"종로구","1인","시도내-시군구내이동","건","143",
"종로구","1인","시도내-시군구간전입","건","493",
"종로구","1인","시도내-시군구간전출","건","661",
"종로구","1인","시도간전입","건","644",
"종로구","1인","시도간전출","건","533",
"종로구","2인","총전입","건","163",
"종로구","2인","총전출","건","181",
"종로구","2인","순이동","건","-18",
"종로구","2인","시도내-시군구내이동","건","30",
"종로구","2인","시도내-시군구간전입","건","84",
"종로구","2인","시도내-시군구간전출","건","94",
"종로구","2인","시도간전입","건","49",
"종로구","2인","시도간전출","건","57",
"종로구","3인","총전입","건","107",
"종로구","3인","총전출","건","127",
"종로구","3인","순이동","건","-20",
"종로구","3인","시도내-시군구내이동","건","12",
"종로구","3인","시도내-시군구간전입","건","66",
"종로구","3인","시도내-시군구간전출","건","78",
"종로구","3인","시도간전입","건","29",
"종로구","3인","시도간전출","건","37",
"종로구","4인","총전입","건","127",
"종로구","4인","총전출","건","97",
"종로구","4인","순이동","건","30",
"종로구","4인","시도내-시군구내이동","건","21",
"종로구","4인","시도내-시군구간전입","건","73",
"종로구","4인","시도내-시군구간전출","건","50",
"종로구","4인","시도간전입","건","33",
"종로구","4인","시도간전출","건","26",
"종로구","5인","총전입","건","19",
"종로구","5인","총전출","건","26",
"종로구","5인","순이동","건","-7",
"종로구","5인","시도내-시군구내이동","건","7",
"종로구","5인","시도내-시군구간전입","건","7",
"종로구","5인","시도내-시군구간전출","건","10",
"종로구","5인","시도간전입","건","5",
"종로구","5인","시도간전출","건","9",
"종로구","6인","총전입","건","5",
"종로구","6인","총전출","건","6",
"종로구","6인","순이동","건","-1",
"종로구","6인","시도내-시군구내이동","건","1",
"종로구","6인","시도내-시군구간전입","건","2",
"종로구","6인","시도내-시군구간전출","건","5",
"종로구","6인","시도간전입","건","2",
"종로구","6인","시도간전출","건","0",
"종로구","7인","총전입","건","1",
"종로구","7인","총전출","건","1",
"종로구","7인","순이동","건","0",
"종로구","7인","시도내-시군구내이동","건","1",
"종로구","7인","시도내-시군구간전입","건","0",
"종로구","7인","시도내-시군구간전출","건","0",
"종로구","7인","시도간전입","건","0",
"종로구","7인","시도간전출","건","0",
"종로구","8인","총전입","건","0",
"종로구","8인","총전출","건","0",
"종로구","8인","순이동","건","0",
"종로구","8인","시도내-시군구내이동","건","0",
"종로구","8인","시도내-시군구간전입","건","0",
"종로구","8인","시도내-시군구간전출","건","0",
"종로구","8인","시도간전입","건","0",
"종로구","8인","시도간전출","건","0",
"종로구","9인","총전입","건","0",
"종로구","9인","총전출","건","0",
"종로구","9인","순이동","건","0",
"종로구","9인","시도내-시군구내이동","건","0",
"종로구","9인","시도내-시군구간전입","건","0",
"종로구","9인","시도내-시군구간전출","건","0",
"종로구","9인","시도간전입","건","0",
"종로구","9인","시도간전출","건","0",
"종로구","10인이상","총전입","건","0",
"종로구","10인이상","총전출","건","0",
"종로구","10인이상","순이동","건","0",
