,종가,오픈,고가,저가,거래량,변동 %,거래대금
2016년 05월 16일,"1,967.91","1,961.91","1,970.53","1,961.32",526.72M,0.05%,1036537.555K
2016년 05월 13일,"1,966.99","1,979.97","1,980.45","1,962.77",509.12M,-0.53%,1001433.949K
2016년 05월 12일,"1,977.49","1,973.28","1,981.49","1,970.54",462.88M,-0.13%,915340.5712K
2016년 05월 11일,"1,980.10","1,989.17","1,989.17","1,970.48",398.53M,-0.12%,789129.253K
2016년 05월 10일,"1,982.50","1,965.86","1,982.50","1,964.90",369.08M,0.75%,731701.1K
2016년 05월 09일,"1,967.81","1,974.52","1,976.14","1,962.92",342.19M,-0.45%,673364.9039K
2016년 05월 04일,"1,976.71","1,978.24","1,982.38","1,969.22",352.70M,-0.49%,697185.617K
2016년 05월 03일,"1,986.41","1,988.34","1,989.41","1,979.66",310.49M,0.42%,616760.4409K
2016년 05월 02일,"1,978.15","1,991.84","1,991.84","1,977.03",328.20M,-0.80%,649228.83K
2016년 04월 29일,"1,994.15","1,998.68","1,999.34","1,983.30",401.06M,-0.34%,799773.799K
2016년 04월 28일,"2,000.93","2,020.83","2,022.99","1,998.60",341.14M,-0.72%,682597.2602K
2016년 04월 27일,"2,015.40","2,019.31","2,019.86","2,012.75",412.80M,-0.21%,831957.12K
2016년 04월 26일,"2,019.63","2,013.26","2,021.59","2,011.85",509.28M,0.25%,1028557.166K
2016년 04월 25일,"2,014.55","2,016.05","2,016.65","2,007.18",397.68M,-0.05%,801146.244K
2016년 04월 22일,"2,015.49","2,014.93","2,017.90","2,010.94",480.47M,-0.33%,968382.4803K
2016년 04월 21일,"2,022.10","2,014.60","2,022.10","2,009.45",392.10M,0.81%,792865.41K
2016년 04월 20일,"2,005.83","2,017.05","2,023.77","2,005.82",423.96M,-0.27%,850391.6868K
2016년 04월 19일,"2,011.36","2,015.10","2,020.29","2,007.68",401.24M,0.11%,807038.0864K
2016년 04월 18일,"2,009.10","2,001.35","2,009.55","1,998.49",339.25M,-0.28%,681587.175K
2016년 04월 15일,"2,014.71","2,013.38","2,016.95","2,008.68",317.71M,-0.06%,640093.5141K
2016년 04월 14일,"2,015.93","2,004.15","2,016.03","2,000.83",473.52M,1.75%,954583.1736K
2016년 04월 12일,"1,981.32","1,970.50","1,981.73","1,968.50",387.32M,0.56%,767404.8624K
2016년 04월 11일,"1,970.37","1,972.25","1,973.90","1,963.21",379.54M,-0.09%,747834.2298K
2016년 04월 08일,"1,972.05","1,961.29","1,972.12","1,954.11",400.62M,-0.09%,790042.671K
2016년 04월 07일,"1,973.89","1,978.75","1,980.43","1,964.99",434.06M,0.13%,856786.6934K
2016년 04월 06일,"1,971.32","1,963.17","1,975.09","1,961.51",358.03M,0.44%,705791.6996K
2016년 04월 05일,"1,962.74","1,972.38","1,973.17","1,959.26",368.16M,-0.82%,722602.3584K
2016년 04월 04일,"1,978.97","1,974.73","1,979.03","1,969.35",363.32M,0.27%,718999.3804K
2016년 04월 01일,"1,973.57","1,994.77","1,994.77","1,970.17",392.26M,-1.12%,774152.5682K
2016년 03월 31일,"1,995.85","2,005.72","2,007.43","1,986.74",335.07M,-0.31%,668749.4595K
2016년 03월 30일,"2,002.14","2,005.24","2,009.10","1,998.51",368.30M,0.36%,737388.162K
2016년 03월 29일,"1,994.91","1,986.93","1,997.33","1,984.07",385.45M,0.62%,768938.0595K
2016년 03월 28일,"1,982.54","1,984.93","1,992.46","1,981.37",410.47M,-0.06%,813773.1938K
2016년 03월 25일,"1,983.81","1,991.06","1,991.06","1,981.53",463.42M,-0.11%,919337.2302K
2016년 03월 24일,"1,985.97","1,988.46","1,992.76","1,981.17",341.17M,-0.46%,677553.3849K
2016년 03월 23일,"1,995.12","1,996.47","2,001.67","1,989.84",367.55M,-0.08%,733306.356K
2016년 03월 22일,"1,996.81","1,993.37","1,997.76","1,986.87",383.75M,0.35%,766275.8375K
2016년 03월 21일,"1,989.76","1,999.25","2,003.12","1,982.70",323.26M,-0.12%,643209.8176K
2016년 03월 18일,"1,992.12","1,996.31","1,996.31","1,986.04",385.85M,0.21%,768659.502K
2016년 03월 17일,"1,987.99","1,984.69","2,000.30","1,984.33",291.58M,0.66%,579658.1242K
2016년 03월 16일,"1,974.90","1,971.58","1,982.08","1,969.66",294.46M,0.25%,581529.054K
2016년 03월 15일,"1,969.97","1,975.61","1,979.46","1,966.44",264.58M,-0.12%,521214.6626K
2016년 03월 14일,"1,972.27","1,985.74","1,985.90","1,970.56",357.08M,0.04%,704258.1716K
2016년 03월 11일,"1,971.41","1,968.30","1,975.87","1,966.65",303.42M,0.11%,598165.2222K
2016년 03월 10일,"1,969.33","1,958.87","1,976.19","1,955.67",352.32M,0.84%,693834.3456K
2016년 03월 09일,"1,952.95","1,940.55","1,952.95","1,938.32",355.39M,0.35%,694058.9005K
2016년 03월 08일,"1,946.12","1,958.94","1,958.94","1,935.55",358.68M,-0.60%,698034.3216K
2016년 03월 07일,"1,957.87","1,961.26","1,963.43","1,955.97",344.61M,0.11%,674701.5807K
2016년 03월 04일,"1,955.63","1,956.01","1,958.46","1,949.47",316.42M,-0.13%,618800.4446K
2016년 03월 03일,"1,958.17","1,957.83","1,958.17","1,946.57",420.98M,0.55%,824350.4066K
2016년 03월 02일,"1,947.42","1,944.27","1,949.94","1,942.24",323.35M,1.60%,629698.257K
2016년 02월 29일,"1,916.66","1,921.76","1,927.05","1,916.66",275.05M,-0.18%,527177.333K
2016년 02월 26일,"1,920.16","1,927.10","1,927.80","1,917.07",280.22M,0.08%,538067.2352K
2016년 02월 25일,"1,918.57","1,919.08","1,928.49","1,906.99",305.79M,0.32%,586679.5203K
2016년 02월 24일,"1,912.53","1,908.71","1,918.63","1,906.19",281.60M,-0.09%,538568.448K
2016년 02월 23일,"1,914.22","1,928.85","1,929.53","1,909.79",326.81M,-0.11%,625586.2382K
2016년 02월 22일,"1,916.36","1,911.56","1,921.14","1,905.85",267.86M,0.01%,513316.1896K
2016년 02월 19일,"1,916.24","1,904.50","1,916.24","1,902.24",312.20M,0.39%,598250.128K
2016년 02월 18일,"1,908.84","1,909.40","1,910.12","1,898.49",332.58M,1.32%,634842.0072K
2016년 02월 17일,"1,883.94","1,889.41","1,897.37","1,881.03",344.63M,-0.23%,649262.2422K
2016년 02월 16일,"1,888.30","1,870.10","1,892.15","1,868.11",388.32M,1.40%,733264.656K
2016년 02월 15일,"1,862.20","1,857.33","1,864.62","1,847.60",284.60M,1.47%,529982.12K
2016년 02월 12일,"1,835.28","1,850.67","1,857.12","1,817.97",470.50M,-1.41%,863499.24K
2016년 02월 11일,"1,861.54","1,872.68","1,877.77","1,858.90",386.43M,-2.93%,719354.9022K
2016년 02월 05일,"1,917.79","1,914.55","1,921.76","1,910.31",305.77M,0.08%,586402.6483K
2016년 02월 04일,"1,916.26","1,900.48","1,917.09","1,897.18",365.80M,1.35%,700967.908K
2016년 02월 03일,"1,890.67","1,893.83","1,894.72","1,882.75",408.60M,-0.84%,772527.762K
2016년 02월 02일,"1,906.60","1,914.96","1,920.02","1,906.06",412.27M,-0.95%,786033.982K
2016년 02월 01일,"1,924.82","1,919.62","1,926.11","1,912.85",440.32M,0.67%,847536.7424K
2016년 01월 29일,"1,912.06","1,905.01","1,912.07","1,888.48",386.56M,0.27%,739125.9136K
2016년 01월 28일,"1,906.94","1,885.38","1,907.56","1,877.78",354.31M,0.48%,675647.9114K
2016년 01월 27일,"1,897.87","1,888.07","1,902.03","1,883.39",348.90M,1.40%,662166.843K
2016년 01월 26일,"1,871.69","1,881.87","1,884.13","1,862.98",298.82M,-1.15%,559298.4058K
2016년 01월 25일,"1,893.43","1,890.15","1,901.22","1,882.74",315.30M,0.74%,596998.479K
2016년 01월 22일,"1,879.43","1,860.30","1,879.43","1,859.54",408.46M,2.11%,767671.9778K
2016년 01월 21일,"1,840.53","1,848.10","1,860.02","1,838.04",433.74M,-0.27%,798311.4822K
2016년 01월 20일,"1,845.45","1,885.36","1,885.36","1,830.06",407.30M,-2.34%,751651.785K
2016년 01월 19일,"1,889.64","1,879.80","1,889.90","1,866.76",335.32M,0.60%,633634.0848K
2016년 01월 18일,"1,878.45","1,856.03","1,882.21","1,854.55",276.94M,-0.02%,520217.943K
2016년 01월 15일,"1,878.87","1,915.83","1,918.30","1,873.35",312.36M,-1.11%,586883.8332K
2016년 01월 14일,"1,900.01","1,893.18","1,900.48","1,882.02",310.98M,-0.85%,590865.1098K
2016년 01월 13일,"1,916.28","1,904.33","1,921.00","1,902.49",265.22M,1.34%,508235.7816K
2016년 01월 12일,"1,890.86","1,907.61","1,910.59","1,888.94",295.14M,-0.21%,558068.4204K
2016년 01월 11일,"1,894.84","1,897.18","1,907.43","1,892.69",328.77M,-1.19%,622966.5468K
2016년 01월 08일,"1,917.62","1,889.42","1,918.25","1,883.82",430.20M,0.70%,824960.124K
2016년 01월 07일,"1,904.33","1,915.71","1,926.41","1,901.24",393.04M,-1.10%,748477.8632K
2016년 01월 06일,"1,925.43","1,934.25","1,934.25","1,911.61",594.61M,-0.26%,1144879.932K
2016년 01월 05일,"1,930.53","1,911.93","1,937.57","1,911.93",446.55M,0.61%,862078.1715K
2016년 01월 04일,"1,918.76","1,954.47","1,954.52","1,918.76",359.02M,-2.17%,688873.2152K
2015년 12월 30일,"1,961.31","1,973.03","1,974.67","1,958.78",304.46M,-0.25%,597140.4426K
2015년 12월 29일,"1,966.31","1,956.49","1,968.57","1,946.21",401.43M,0.11%,789335.8233K
2015년 12월 28일,"1,964.06","1,990.59","1,991.19","1,964.06",396.64M,-1.34%,779024.7584K
2015년 12월 24일,"1,990.65","2,009.34","2,009.99","1,990.65",504.62M,-0.43%,1004521.803K
2015년 12월 23일,"1,999.22","1,994.20","2,007.42","1,989.30",502.37M,0.33%,1004348.151K
2015년 12월 22일,"1,992.56","1,984.37","1,992.72","1,971.32",577.24M,0.57%,1150185.334K
2015년 12월 21일,"1,981.19","1,974.26","1,986.66","1,968.14",539.60M,0.30%,1069050.124K
2015년 12월 18일,"1,975.32","1,960.32","1,981.42","1,958.12",677.73M,-0.13%,1338733.624K
2015년 12월 17일,"1,977.96","1,984.06","1,987.83","1,967.64",379.57M,0.43%,750774.2772K
2015년 12월 16일,"1,969.40","1,950.15","1,975.63","1,950.05",475.10M,1.88%,935661.94K
2015년 12월 15일,"1,932.97","1,935.82","1,938.04","1,925.75",434.74M,0.27%,840339.3778K
2015년 12월 14일,"1,927.82","1,926.36","1,930.40","1,919.22",439.74M,-1.07%,847739.5668K
2015년 12월 11일,"1,948.62","1,952.82","1,961.00","1,943.67",380.71M,-0.18%,741859.1202K
2015년 12월 10일,"1,952.07","1,947.21","1,956.84","1,940.40",377.85M,0.20%,737589.6495K
2015년 12월 09일,"1,948.24","1,951.39","1,956.70","1,944.78",378.10M,-0.04%,736629.544K
2015년 12월 08일,"1,949.04","1,964.22","1,971.07","1,948.43",406.18M,-0.75%,791661.0672K
2015년 12월 07일,"1,963.67","1,987.62","1,988.04","1,963.66",382.13M,-0.54%,750377.2171K
2015년 12월 04일,"1,974.40","1,972.16","1,983.02","1,970.48",379.47M,-0.99%,749225.568K
2015년 12월 03일,"1,994.07","2,000.20","2,000.20","1,981.59",365.87M,-0.76%,729570.3909K
2015년 12월 02일,"2,009.29","2,026.08","2,026.19","2,009.29",631.32M,-0.72%,1268504.963K
2015년 12월 01일,"2,023.93","2,001.51","2,026.33","2,001.51",573.34M,1.60%,1160400.026K
2015년 11월 30일,"1,991.97","2,022.38","2,022.38","1,987.12",452.87M,-1.82%,902103.4539K
2015년 11월 27일,"2,028.99","2,038.71","2,038.72","2,026.40",481.95M,-0.08%,977871.7305K
2015년 11월 26일,"2,030.68","2,014.88","2,033.18","2,014.88",454.46M,1.06%,922862.8328K
2015년 11월 25일,"2,009.42","2,018.24","2,018.93","2,007.91",391.65M,-0.34%,786989.343K
2015년 11월 24일,"2,016.29","2,004.29","2,019.95","2,003.06",417.00M,0.63%,840792.93K
2015년 11월 23일,"2,003.70","1,995.92","2,008.34","1,992.86",383.23M,0.70%,767877.951K
2015년 11월 20일,"1,989.86","1,988.96","1,993.97","1,985.93",413.66M,0.05%,823125.4876K
2015년 11월 19일,"1,988.91","1,976.94","1,988.92","1,972.85",422.52M,1.33%,840354.2532K
2015년 11월 18일,"1,962.88","1,967.25","1,973.16","1,961.43",541.86M,-0.04%,1063606.157K
2015년 11월 17일,"1,963.58","1,967.36","1,974.08","1,959.22",417.56M,1.06%,819912.4648K
2015년 11월 16일,"1,943.02","1,945.68","1,956.09","1,942.85",433.43M,-1.53%,842163.1586K
2015년 11월 13일,"1,973.29","1,975.97","1,981.27","1,969.71",342.31M,-1.01%,675476.8999K
2015년 11월 12일,"1,993.36","1,997.32","1,998.66","1,991.28",389.44M,-0.20%,776294.1184K
2015년 11월 11일,"1,997.27","1,993.81","2,001.73","1,983.14",286.57M,0.03%,572357.6639K
2015년 11월 10일,"1,996.59","2,015.45","2,015.45","1,988.54",417.46M,-1.44%,833496.4614K
2015년 11월 09일,"2,025.70","2,038.59","2,038.59","2,022.52",435.39M,-0.75%,881969.523K
2015년 11월 06일,"2,041.07","2,048.17","2,055.14","2,038.46",465.03M,-0.41%,949158.7821K
2015년 11월 05일,"2,049.41","2,049.30","2,050.44","2,039.93",349.08M,-0.16%,715408.0428K
2015년 11월 04일,"2,052.77","2,053.51","2,056.12","2,042.38",545.09M,0.21%,1118944.399K
2015년 11월 03일,"2,048.40","2,042.60","2,053.24","2,040.75",591.74M,0.65%,1212120.216K
2015년 11월 02일,"2,035.24","2,033.15","2,036.05","2,028.20",366.38M,0.28%,745671.2312K
2015년 10월 30일,"2,029.47","2,034.78","2,038.56","2,027.80",380.67M,-0.23%,772558.3449K
2015년 10월 29일,"2,034.16","2,050.97","2,064.72","2,032.56",481.35M,-0.41%,979142.916K
2015년 10월 28일,"2,042.51","2,045.67","2,045.67","2,032.39",402.20M,-0.10%,821497.522K
2015년 10월 27일,"2,044.65","2,043.52","2,045.81","2,036.22",449.16M,-0.17%,918374.994K
2015년 10월 26일,"2,048.08","2,049.41","2,049.60","2,039.97",459.95M,0.38%,942014.396K
2015년 10월 23일,"2,040.40","2,043.67","2,054.82","2,036.92",649.00M,0.86%,1324219.6K
2015년 10월 22일,"2,023.00","2,040.43","2,042.57","2,019.53",695.81M,-0.98%,1407623.63K
2015년 10월 21일,"2,042.98","2,039.25","2,053.95","2,035.59",668.95M,0.18%,1366651.471K
2015년 10월 20일,"2,039.36","2,031.50","2,040.24","2,026.67",958.06M,0.45%,1953829.242K
2015년 10월 19일,"2,030.27","2,032.36","2,036.30","2,022.25",726.84M,0.00%,1475681.447K
2015년 10월 16일,"2,030.26","2,037.98","2,038.06","2,025.19",550.80M,-0.15%,1118267.208K
2015년 10월 15일,"2,033.27","2,008.29","2,035.80","2,007.46",498.90M,1.18%,1014398.403K
2015년 10월 14일,"2,009.55","2,014.47","2,016.14","2,002.63",644.80M,-0.47%,1295757.84K
2015년 10월 13일,"2,019.05","2,021.20","2,024.50","2,010.16",605.00M,-0.13%,1221525.25K
2015년 10월 12일,"2,021.63","2,022.33","2,030.92","2,015.43",635.08M,0.10%,1283896.78K
2015년 10월 08일,"2,019.53","2,016.36","2,020.19","1,998.66",700.99M,0.68%,1415670.335K
2015년 10월 07일,"2,005.84","1,995.87","2,006.24","1,994.55",761.72M,0.76%,1527888.445K
2015년 10월 06일,"1,990.65","1,996.29","1,998.02","1,985.17",661.64M,0.63%,1317093.666K
2015년 10월 05일,"1,978.25","1,981.60","1,994.65","1,975.55",545.63M,0.44%,1079392.548K
2015년 10월 02일,"1,969.68","1,979.41","1,985.57","1,969.68",1.03B,-0.49%,#VALUE!
2015년 10월 01일,"1,979.32","1,963.55","1,986.01","1,958.63",678.98M,0.84%,1343918.694K
2015년 09월 30일,"1,962.81","1,915.46","1,962.84","1,915.04",546.99M,1.03%,1073637.442K
2015년 09월 25일,"1,942.85","1,948.30","1,951.94","1,932.49",796.57M,-0.22%,1547616.025K
2015년 09월 24일,"1,947.10","1,956.94","1,958.73","1,944.31",921.27M,0.13%,1793804.817K
2015년 09월 23일,"1,944.64","1,960.33","1,968.16","1,944.51",856.99M,-1.89%,1666537.034K
2015년 09월 22일,"1,982.06","1,973.54","1,983.99","1,966.05",696.37M,0.88%,1380247.122K
2015년 09월 21일,"1,964.68","1,973.24","1,980.80","1,960.11",376.42M,-1.57%,739544.8456K
2015년 09월 18일,"1,995.95","1,978.39","1,996.47","1,964.12",523.80M,0.98%,1045478.61K
2015년 09월 17일,"1,976.49","1,989.07","1,989.07","1,972.93",510.17M,0.05%,1008345.903K
2015년 09월 16일,"1,975.45","1,949.49","1,978.68","1,949.15",584.76M,1.96%,1155164.142K
2015년 09월 15일,"1,937.56","1,930.44","1,938.90","1,927.62",390.82M,0.32%,757237.1992K
2015년 09월 14일,"1,931.46","1,947.65","1,948.02","1,921.45",362.92M,-0.51%,700965.4632K
2015년 09월 11일,"1,941.37","1,942.88","1,951.26","1,939.73",503.01M,-1.06%,976528.5237K
2015년 09월 10일,"1,962.11","1,918.42","1,962.11","1,915.44",460.34M,1.44%,903237.7174K
2015년 09월 09일,"1,934.20","1,903.28","1,934.20","1,902.93",516.17M,2.96%,998376.014K
2015년 09월 08일,"1,878.68","1,889.14","1,894.56","1,868.48",391.89M,-0.24%,736235.9052K
2015년 09월 07일,"1,883.22","1,883.36","1,895.99","1,870.59",288.16M,-0.15%,542668.6752K
2015년 09월 04일,"1,886.04","1,921.81","1,923.06","1,879.94",361.09M,-1.54%,681030.1836K
2015년 09월 03일,"1,915.53","1,929.78","1,931.19","1,911.17",297.28M,0.02%,569448.7584K
2015년 09월 02일,"1,915.22","1,886.14","1,920.62","1,883.50",342.02M,0.05%,655043.5444K
2015년 09월 01일,"1,914.23","1,934.44","1,939.67","1,914.22",324.48M,-1.40%,621129.3504K
2015년 08월 31일,"1,941.49","1,934.12","1,941.49","1,925.52",350.94M,0.20%,681346.5006K
2015년 08월 28일,"1,937.67","1,932.39","1,938.61","1,927.39",446.75M,1.56%,865654.0725K
2015년 08월 27일,"1,908.00","1,912.42","1,920.39","1,898.98",482.66M,0.73%,920915.28K
2015년 08월 26일,"1,894.09","1,843.70","1,895.45","1,835.58",453.39M,2.57%,858761.4651K
2015년 08월 25일,"1,846.63","1,840.94","1,864.30","1,806.79",451.59M,0.92%,833919.6417K
2015년 08월 24일,"1,829.81","1,860.03","1,872.86","1,800.75",415.18M,-2.47%,759700.5158K
2015년 08월 21일,"1,876.07","1,862.79","1,886.49","1,856.91",512.31M,-2.01%,961129.4217K
2015년 08월 20일,"1,914.55","1,929.43","1,933.79","1,912.55",397.53M,-1.28%,761091.0615K
2015년 08월 19일,"1,939.38","1,954.56","1,959.51","1,915.91",506.79M,-0.86%,982858.3902K
2015년 08월 18일,"1,956.26","1,977.61","1,979.33","1,954.35",472.77M,-0.62%,924861.0402K
2015년 08월 17일,"1,968.52","1,991.05","1,991.05","1,968.44",561.57M,-0.75%,1105461.776K
2015년 08월 13일,"1,983.46","1,975.47","1,990.70","1,966.02",376.59M,0.40%,746951.2014K
2015년 08월 12일,"1,975.47","1,980.04","1,989.10","1,948.91",524.25M,-0.56%,1035640.148K
2015년 08월 11일,"1,986.65","2,020.15","2,021.81","1,986.46",366.41M,-0.82%,727928.4265K
2015년 08월 10일,"2,003.17","2,008.44","2,008.55","1,993.96",308.33M,-0.35%,617637.4061K
2015년 08월 07일,"2,010.23","2,009.39","2,012.90","2,001.13",334.58M,-0.15%,672582.7534K
2015년 08월 06일,"2,013.29","2,037.26","2,038.41","2,011.60",340.51M,-0.81%,685545.3779K
2015년 08월 05일,"2,029.76","2,027.22","2,035.25","2,022.98",319.21M,0.09%,647919.6896K
2015년 08월 04일,"2,027.99","2,007.75","2,027.99","2,007.66",388.79M,0.97%,788462.2321K
2015년 08월 03일,"2,008.49","2,026.25","2,026.25","2,005.21",358.75M,-1.07%,720545.7875K
2015년 07월 31일,"2,030.16","2,026.98","2,030.16","2,004.70",448.19M,0.55%,909897.4104K
2015년 07월 30일,"2,019.03","2,040.24","2,044.93","2,019.03",509.32M,-0.91%,1028332.36K
2015년 07월 29일,"2,037.62","2,053.62","2,055.95","2,037.62",520.57M,-0.07%,1060723.843K
2015년 07월 28일,"2,039.10","2,026.33","2,045.55","2,015.91",498.53M,0.01%,1016552.523K
2015년 07월 27일,"2,038.81","2,034.82","2,048.15","2,032.44",543.24M,-0.35%,1107563.144K
2015년 07월 24일,"2,045.96","2,060.66","2,060.66","2,040.30",611.87M,-0.93%,1251861.545K
2015년 07월 23일,"2,065.07","2,068.93","2,069.20","2,053.52",739.79M,0.02%,1527718.135K
2015년 07월 22일,"2,064.73","2,071.06","2,075.94","2,059.45",1.16B,-0.91%,#VALUE!
2015년 07월 21일,"2,083.62","2,082.18","2,088.24","2,069.21",727.41M,0.50%,1515646.024K
2015년 07월 20일,"2,073.31","2,077.09","2,081.43","2,068.19",870.68M,-0.17%,1805189.551K
2015년 07월 17일,"2,076.79","2,101.22","2,101.22","2,068.36",819.23M,-0.53%,1701368.672K
2015년 07월 16일,"2,087.89","2,073.29","2,088.33","2,071.02",697.93M,0.72%,1457201.068K
2015년 07월 15일,"2,072.91","2,068.38","2,079.90","2,060.66",619.13M,0.66%,1283400.768K
2015년 07월 14일,"2,059.23","2,070.44","2,070.44","2,052.21",503.08M,-0.11%,1035957.428K
2015년 07월 13일,"2,061.52","2,033.25","2,063.28","2,030.21",426.29M,1.49%,878805.3608K
2015년 07월 10일,"2,031.17","2,036.89","2,037.84","2,024.76",381.31M,0.17%,774505.4327K
2015년 07월 09일,"2,027.81","2,000.19","2,027.81","1,983.78",408.46M,0.58%,828279.2726K
2015년 07월 08일,"2,016.21","2,045.88","2,046.33","2,010.83",453.12M,-1.18%,913585.0752K
2015년 07월 07일,"2,040.29","2,067.04","2,067.93","2,028.98",502.81M,-0.66%,1025878.215K
2015년 07월 06일,"2,053.93","2,076.06","2,089.86","2,052.23",474.04M,-2.40%,973644.9772K
2015년 07월 03일,"2,104.41","2,107.51","2,109.68","2,094.02",419.55M,-0.14%,882905.2155K
2015년 07월 02일,"2,107.33","2,107.11","2,110.81","2,098.76",565.34M,0.45%,1191357.942K
2015년 07월 01일,"2,097.89","2,077.27","2,100.34","2,072.54",471.57M,1.14%,989301.9873K
2015년 06월 30일,"2,074.20","2,054.83","2,075.02","2,049.44",392.41M,0.67%,813936.822K
2015년 06월 29일,"2,060.49","2,056.44","2,068.85","2,054.33",503.81M,-1.42%,1038095.467K
2015년 06월 26일,"2,090.26","2,083.40","2,097.01","2,080.79",492.77M,0.25%,1030017.42K
2015년 06월 25일,"2,085.06","2,077.84","2,088.16","2,073.95",575.91M,-0.02%,1200806.905K
2015년 06월 24일,"2,085.53","2,086.69","2,087.68","2,076.78",400.75M,0.21%,835776.1475K
2015년 06월 23일,"2,081.20","2,071.30","2,086.09","2,066.21",329.80M,1.27%,686379.76K
2015년 06월 22일,"2,055.16","2,059.60","2,068.07","2,050.30",266.96M,0.40%,548645.5136K
2015년 06월 19일,"2,046.96","2,056.54","2,057.71","2,044.71",400.33M,0.25%,819459.4968K
2015년 06월 18일,"2,041.88","2,046.19","2,052.00","2,036.78",390.97M,0.34%,798313.8236K
2015년 06월 17일,"2,034.86","2,035.48","2,037.12","2,021.50",354.72M,0.30%,721805.5392K
2015년 06월 16일,"2,028.72","2,045.01","2,045.77","2,008.46",381.41M,-0.67%,773774.0952K
2015년 06월 15일,"2,042.32","2,041.07","2,049.68","2,033.72",313.95M,-0.48%,641186.364K
2015년 06월 12일,"2,052.17","2,068.45","2,074.78","2,044.87",388.26M,-0.22%,796775.5242K
2015년 06월 11일,"2,056.61","2,065.07","2,065.07","2,051.10",457.02M,0.26%,939911.9022K
2015년 06월 10일,"2,051.32","2,079.13","2,080.03","2,049.13",427.36M,-0.62%,876652.1152K
2015년 06월 09일,"2,064.03","2,063.40","2,073.75","2,057.21",421.88M,-0.06%,870772.9764K
2015년 06월 08일,"2,065.19","2,068.51","2,068.51","2,056.50",393.56M,-0.14%,812776.1764K
2015년 06월 05일,"2,068.10","2,062.22","2,075.02","2,060.91",394.29M,-0.23%,815431.149K
2015년 06월 04일,"2,072.86","2,070.49","2,082.60","2,062.75",400.36M,0.47%,829890.2296K
2015년 06월 03일,"2,063.16","2,078.51","2,087.95","2,059.34",541.17M,-0.74%,1116520.297K
2015년 06월 02일,"2,078.64","2,102.62","2,107.17","2,076.16",520.06M,-1.13%,1081017.518K
2015년 06월 01일,"2,102.37","2,110.12","2,110.88","2,086.00",426.93M,-0.59%,897564.8241K
2015년 05월 29일,"2,114.80","2,109.38","2,123.39","2,106.70",456.14M,0.19%,964644.872K
2015년 05월 28일,"2,110.89","2,117.77","2,123.52","2,110.89",416.12M,0.16%,878383.5468K
2015년 05월 27일,"2,107.50","2,133.49","2,134.95","2,103.64",439.03M,-1.68%,925255.725K
2015년 05월 26일,"2,143.50","2,146.47","2,148.70","2,130.30",381.38M,-0.12%,817488.03K
2015년 05월 22일,"2,146.10","2,131.11","2,146.10","2,126.88",444.58M,1.10%,954113.138K
2015년 05월 21일,"2,122.81","2,139.68","2,140.60","2,121.49",398.15M,-0.78%,845196.8015K
2015년 05월 20일,"2,139.54","2,128.01","2,140.24","2,125.49",452.11M,0.88%,967307.4294K
2015년 05월 19일,"2,120.85","2,114.29","2,126.89","2,107.62",418.48M,0.34%,887533.308K
2015년 05월 18일,"2,113.72","2,108.15","2,113.72","2,099.48",445.16M,0.34%,940943.5952K
2015년 05월 15일,"2,106.50","2,132.53","2,134.36","2,104.77",491.71M,-0.65%,1035787.115K
2015년 05월 14일,"2,120.33","2,115.59","2,121.68","2,111.72",430.83M,0.29%,913501.7739K
2015년 05월 13일,"2,114.16","2,100.10","2,115.36","2,100.08",377.03M,0.83%,797101.7448K
2015년 05월 12일,"2,096.77","2,100.63","2,101.72","2,088.64",391.92M,-0.03%,821766.0984K
2015년 05월 11일,"2,097.38","2,106.12","2,110.79","2,097.38",329.70M,0.57%,691506.186K
2015년 05월 08일,"2,085.52","2,090.19","2,094.06","2,082.72",309.50M,-0.26%,645468.44K
2015년 05월 07일,"2,091.00","2,098.48","2,099.44","2,067.99",423.25M,-0.65%,885015.75K
2015년 05월 06일,"2,104.58","2,122.03","2,123.22","2,095.60",428.09M,-1.30%,900949.6522K
2015년 05월 04일,"2,132.23","2,134.51","2,139.30","2,128.72",355.62M,0.24%,758263.6326K
2015년 04월 30일,"2,127.17","2,134.94","2,136.90","2,121.29",509.13M,-0.72%,1083006.062K
2015년 04월 29일,"2,142.63","2,155.01","2,156.24","2,126.36",458.06M,-0.23%,981453.0978K
2015년 04월 28일,"2,147.67","2,162.50","2,164.52","2,144.85",415.06M,-0.46%,891411.9102K
2015년 04월 27일,"2,157.54","2,169.14","2,169.14","2,152.09",392.34M,-0.10%,846489.2436K
2015년 04월 24일,"2,159.80","2,181.24","2,189.54","2,154.27",508.42M,-0.63%,1098085.516K
2015년 04월 23일,"2,173.41","2,156.94","2,174.72","2,139.33",521.59M,1.38%,1133628.922K
2015년 04월 22일,"2,143.89","2,146.59","2,161.23","2,125.88",769.39M,-0.04%,1649487.527K
2015년 04월 21일,"2,144.79","2,153.42","2,153.84","2,140.12",561.78M,-0.09%,1204900.126K
2015년 04월 20일,"2,146.71","2,126.55","2,146.73","2,126.55",509.04M,0.15%,1092761.258K
2015년 04월 17일,"2,143.50","2,142.72","2,144.76","2,134.10",464.63M,0.17%,995934.405K
2015년 04월 16일,"2,139.90","2,134.14","2,139.90","2,125.54",476.42M,0.94%,1019491.158K
2015년 04월 15일,"2,119.96","2,114.56","2,122.72","2,110.25",451.40M,0.39%,956949.944K
